cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
6, , ,Přešťovice,Přešťovice,0,"[49.27160948348253, 13.978171364874537]"
50, , ,Přešťovice,Kbelnice,61275739010,"[49.29496344947182, 13.983612117435802]"
79, , ,Přešťovice,Přešťovice,0,"[49.26903695683513, 13.98009400807036]"
47, , ,Přešťovice,Kbelnice,28966520010,"[49.297117360283835, 13.983304524794072]"
151, , ,Přešťovice,Přešťovice,29068106010,"[49.28337337256659, 13.996081896456515]"
149, , ,Přešťovice,Přešťovice,438423307,"[49.283009227975334, 13.994717615513116]"
150, , ,Přešťovice,Přešťovice,427202307,"[49.27403685640653, 13.979746492428847]"
48, , ,Přešťovice,Kbelnice,455447307,"[49.29271088769832, 13.982716088145265]"
148, , ,Přešťovice,Přešťovice,24646502010,"[49.27606769730366, 13.972261620574526]"
36, , ,Přešťovice,Přešťovice,15782248010,"[49.27748266171707, 13.973977986670032]"
147, , ,Přešťovice,Přešťovice,14527781010,"[49.27536809885398, 13.979412685939602]"
46, , ,Přešťovice,Kbelnice,21158088010,"[49.29433214592619, 13.985471367330218]"
146, , ,Přešťovice,Přešťovice,481409307,"[49.27306304803263, 13.98030727010605]"
145, , ,Přešťovice,Přešťovice,20031001010,"[49.274344540207466, 13.979637319202622]"
44, , ,Přešťovice,Kbelnice,399761307,"[49.294902814126395, 13.984776692478006]"
144, , ,Přešťovice,Přešťovice,390660307,"[49.276313172940355, 13.974776268205636]"
45, , ,Přešťovice,Kbelnice,279654307,"[49.29486222654057, 13.985021713433804]"
24, , ,Přešťovice,Brusy,273278307,"[49.302894495759936, 14.01469799588757]"
64, , ,Přešťovice,Přešťovice,288111307,"[49.274383531095076, 13.975743756805198]"
48, , ,Přešťovice,Přešťovice,288099307,"[49.27525865018446, 13.975007803193412]"
72, , ,Přešťovice,Přešťovice,288045307,"[49.27822921666069, 13.974722379927696]"
