cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
62, ,U Skalky,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.05053202656904, 14.770116166825815]"
32, ,Ke Hřišti,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05009183440214, 14.764047312139313]"
13, ,Limuzská,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05402973569591, 14.763521123716657]"
63, ,Skřivanská,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.05041942354232, 14.770654259818263]"
54, ,Na Horkách,28201,Přišimasy,Horka,Horka,736295,"[50.04939605754885, 14.767558136945926]"
56, ,Luční,28201,Přišimasy,Horka,Horka,736295,"[50.04896997985373, 14.76817867114611]"
31, ,Jana Čermáka,28201,Přišimasy,Horka,Horka,736295,"[50.04860751266092, 14.764344343364998]"
20, ,K Lánům,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.05086998246783, 14.773167852804447]"
92, ,Skřivanská,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.05006966513352, 14.771956158397654]"
95, ,Limuzská,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.054210773868896, 14.764165299064269]"
43, ,Na Vyhlídce,28201,Přišimasy,Horka,Horka,736295,"[50.051763487151526, 14.766124246133995]"
81, ,Úvalská,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05371326680301, 14.760668098164134]"
15, ,Jana Čermáka,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05256505759413, 14.76025613009687]"
75, ,Jana Čermáka,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05037159924453, 14.762681047383495]"
116, ,Lipová,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05218778433379, 14.761219579654405]"
27, ,Jana Čermáka,28201,Přišimasy,Horka,Horka,736295,"[50.04893956531698, 14.76440143387856]"
125, ,Lipová,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05292161036363, 14.761114074401661]"
98, ,Limuzská,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05378013235056, 14.762681066902644]"
156, ,Jana Čermáka,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.051725877843836, 14.76183873768139]"
39, ,Skřivanská,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.04955036705416, 14.772305715238467]"
61, ,Jana Čermáka,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.04997906729646, 14.763811828409263]"
49, ,Skřivanská,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.04902418659832, 14.771936470609724]"
53, ,Skřivanská,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.04938036785782, 14.772833515195055]"
40, ,Horákova,28201,Přišimasy,Horka,Horka,736295,"[50.04993471072565, 14.76482154386131]"
45, ,Na Parkáni,28201,Přišimasy,Horka,Horka,736295,"[50.04956972037402, 14.765815464389242]"
41, ,Na Parkáni,28201,Přišimasy,Horka,Horka,736295,"[50.04928576843139, 14.766364844206201]"
50, ,Jana Čermáka,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05067742205125, 14.762758054615489]"
162, ,Jana Čermáka,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.040582291889734, 14.761910243552647]"
11, ,Ke Hřišti,28201,Přišimasy,Horka,Horka,736295,"[50.05109613076339, 14.763930098816656]"
4, ,Skřivanská,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.049736738899696, 14.769281701796148]"
57, ,Jana Čermáka,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05133231144263, 14.761187221387589]"
23, ,Horákova,28201,Přišimasy,Horka,Horka,736295,"[50.04949465939368, 14.764425715829473]"
126, ,Lipová,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05278646258806, 14.760818544552443]"
89, ,Úzká,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.04862826052792, 14.773568294210861]"
32, ,Jana Čermáka,28201,Přišimasy,Horka,Horka,736295,"[50.04846413673468, 14.764419865548092]"
133, ,Habrová,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.04330598170232, 14.763729510235164]"
74, ,Limuzská,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.053882917765065, 14.762120848021011]"
26, ,Skřivanská,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.05107606840452, 14.766851456302229]"
9, ,Ke Kostelu,28201,Přišimasy,Horka,Horka,736295,"[50.050877350157485, 14.764714119083612]"
164, ,U Pramene,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.045186238395246, 14.762607476337827]"
1, ,Skřivanská,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.05000926740258, 14.76815771905275]"
72, ,Limuzská,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.05385056942918, 14.76194748957268]"
97, ,Ke Klepci,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.04844043076389, 14.776518126846822]"
59, ,Jana Čermáka,28201,Přišimasy,Přišimasy,Přišimasy,736295,"[50.041686277693664, 14.762286632237416]"
32, ,U Skalky,28201,Přišimasy,Skřivany,Skřivany,736295,"[50.04974767530577, 14.76996502058248]"
