cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
19, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.671612012763845, 14.391445371812983]"
77, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.672471215727356, 14.388269531364742]"
105, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67395570407442, 14.385184292165206]"
95, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67123463227602, 14.38844866336658]"
85, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.673714809934886, 14.387459485662124]"
25, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.6723154304956, 14.392204901649558]"
94, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.672259931900584, 14.38874805922127]"
51, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.671019312211506, 14.393949041581413]"
141, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67415280341098, 14.384345081347156]"
10, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67296432352747, 14.390024864173377]"
144, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.66859400706579, 14.393219947760864]"
145, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67429299163754, 14.385504158213083]"
127, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.670970927229625, 14.38651872163788]"
70, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67156591333408, 14.391070553390964]"
64, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.66996609904792, 14.39445266683647]"
32, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67133054317813, 14.389519187866032]"
33, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.672149234705714, 14.391666799914622]"
47, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.673428676982894, 14.389128849017288]"
35, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67119413433136, 14.393392570633715]"
83, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.670991880450245, 14.388259878987052]"
135, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.66912108932563, 14.393429551380573]"
2, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.671572163061406, 14.393230096373205]"
142, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.668796446119735, 14.393960089558153]"
72, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67385473157396, 14.385995208147405]"
45, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.673188679852096, 14.38875498144521]"
128, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.66962082752048, 14.393435188418596]"
13, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67292432031525, 14.388970384647108]"
14, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67275604020944, 14.389523686031502]"
16, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.672118674868, 14.389197700880786]"
54, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67040932563425, 14.394638158188636]"
22, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67118387592077, 14.392137820948403]"
132, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.671480962693884, 14.393934809421088]"
36, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.671407535942514, 14.393418946953828]"
137, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67475463391181, 14.388832803790223]"
148, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.66797022038556, 14.392491081023948]"
46, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67314845269879, 14.388927043885703]"
71, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.671286201738354, 14.39317900823872]"
104, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67333302719275, 14.387554696403514]"
68, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.671452858764184, 14.39058060232404]"
66, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.66963752166879, 14.394803488634738]"
106, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.6708139991137, 14.387419389851464]"
101, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.6714066255524, 14.389095865554372]"
86, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.670809969653156, 14.389631589376934]"
11, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67163325227878, 14.392391920102483]"
139, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67421872052592, 14.386093435805265]"
59, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.670531864409426, 14.394080645013712]"
116, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.669782144419145, 14.395946279079219]"
29, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67323389304448, 14.388441010956825]"
53, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.670901983089394, 14.394057901931875]"
76, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.672447332486826, 14.388320068375752]"
52, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.671002197845176, 14.394492819859522]"
65, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.6698076146413, 14.394710129042464]"
7, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67226294670341, 14.39150541138721]"
110, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67060250894996, 14.38677318988341]"
23, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67180247307717, 14.391950334685795]"
18, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67179489659449, 14.391194867075562]"
100, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67003303860315, 14.393781106784992]"
74, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.6735442924073, 14.38615217874638]"
58, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.673861518364916, 14.387146714745251]"
92, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67271935642694, 14.38779714469139]"
62, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67103757186136, 14.390466963313209]"
24, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.6717413697174, 14.392382916436006]"
12, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67333921024109, 14.388028933758058]"
90, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67333956459352, 14.389679303070736]"
91, , ,26401,Příčovy,Příčovy,Příčovy,735833,"[49.67373515181741, 14.388294375404433]"
