cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
110, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.781533370148345, 14.428265676379052]"
154, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79115197226651, 14.427048859566927]"
213, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79014175675964, 14.425676595010117]"
47, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81275841384742, 14.437687638807882]"
171, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79049135318858, 14.422736269997651]"
27, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79684576120576, 14.44494923992778]"
93, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.80012947296441, 14.442002356568183]"
61, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.798603146935605, 14.450683541201402]"
26, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.80585671555533, 14.429616933676451]"
172, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81664660868822, 14.43365057750368]"
19, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79858333569053, 14.443688793820685]"
38, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.80831737818981, 14.429745580555837]"
83, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79004409714794, 14.419704662915246]"
52, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81291288696831, 14.430573430810906]"
77, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79864183922243, 14.451573968639632]"
6, , ,25744,Rabyně,Blaženice,Blaženice,737216,"[49.789641633368106, 14.467742750976026]"
64, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79629171255261, 14.443742617227908]"
60, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81429232273252, 14.435950776171929]"
179, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81621740046766, 14.43510908728141]"
11, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81353605098327, 14.429810270496871]"
212, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.78992868344365, 14.42598585267171]"
157, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81597825833755, 14.433653818348647]"
202, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81639898196976, 14.435026056957765]"
10, , ,25744,Rabyně,Blaženice,Blaženice,737216,"[49.7894707704233, 14.470441109033988]"
57, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81380483733528, 14.437803492860198]"
147, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.78931912384463, 14.432346905284652]"
72, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.801027051048436, 14.453873620856154]"
38, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81286645142432, 14.430206558019444]"
130, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79199274440741, 14.423653188125082]"
68, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.810754244241444, 14.42752203992432]"
203, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81650442945524, 14.434947273041129]"
204, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81256112796441, 14.427594295075183]"
104, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81219139524899, 14.431161799793232]"
203, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79041336678939, 14.425490607115085]"
1, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.811847831489985, 14.426086072268703]"
121, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81236477930641, 14.432222205436226]"
59, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79777233226579, 14.46143091550201]"
187, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79139697817623, 14.423432101320016]"
73, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.798498533942954, 14.452039003968173]"
131, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81604633539268, 14.433422222244417]"
239, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.8156549221237, 14.43433813155932]"
9, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.80610203605804, 14.448080207640748]"
75, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79819046305069, 14.462096003013633]"
74, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79006585450616, 14.419919305421844]"
206, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.7896147193244, 14.424882916922854]"
177, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.7912249322106, 14.420591907240217]"
231, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.805901024377086, 14.430127109691]"
44, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79861776268154, 14.451723912388331]"
81, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79704748073575, 14.444426936315741]"
182, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.810958817849645, 14.425681329206839]"
6, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79479500911941, 14.440914725031393]"
125, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.78975906523856, 14.421317926297577]"
26, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.80922702045706, 14.429656098293746]"
12, , ,25744,Rabyně,Blaženice,Blaženice,737216,"[49.78888509486562, 14.468194113319196]"
200, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79143450166326, 14.427605292906916]"
3, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81213308374732, 14.4259798563368]"
187, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.80646982193672, 14.428308502948457]"
110, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81283781494351, 14.432588362436645]"
205, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81541981967181, 14.433111078862872]"
107, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79017859657614, 14.42870301508937]"
10, , ,25744,Rabyně,Blaženice,Blaženice,737216,"[49.7908614639213, 14.46644796875384]"
24, , ,25744,Rabyně,Nedvězí,Nedvězí,737267,"[49.804583352010766, 14.467283408964258]"
189, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.791051447805636, 14.423129519127365]"
263, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.782197754862935, 14.4297631852423]"
158, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.815942910265875, 14.433826843145436]"
102, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.797947192870154, 14.461790680299929]"
283, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.790045641219066, 14.428345299346747]"
166, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81163768750408, 14.429906321524824]"
6, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81439905377625, 14.435367899822557]"
292, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79026177417231, 14.420696127380339]"
293, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.790523711767655, 14.422505497466265]"
23, , ,25744,Rabyně,Nedvězí,Nedvězí,737267,"[49.806733505327294, 14.466943147199308]"
237, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79145528747122, 14.426866234608818]"
111, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.80139714102814, 14.453547279475094]"
24, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.79780461933377, 14.453299490539596]"
10, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.8129372260199, 14.430905164706605]"
39, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.806644393274134, 14.428858605064697]"
16, , ,25744,Rabyně,Nedvězí,Nedvězí,737267,"[49.80558170689196, 14.466494631059126]"
219, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79061526896865, 14.4270302503353]"
3, , ,25744,Rabyně,Nedvězí,Nedvězí,737267,"[49.80495319670171, 14.465525056757707]"
149, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.788634602457954, 14.431508671789192]"
199, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.791443831079796, 14.427884409709993]"
23, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79716974419413, 14.444067581706472]"
145, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.794488134850454, 14.44060731018988]"
102, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.78900587117259, 14.43127674880768]"
89, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79634258057402, 14.444505920233544]"
276, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.78345911595721, 14.430812700695977]"
8, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.812488948282414, 14.431413185242112]"
16, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.80015526434283, 14.442797962882937]"
242, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79065317353253, 14.426568100497748]"
256, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.78382056731873, 14.415980405079317]"
13, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79452335958763, 14.440221564776074]"
270, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.78249323599457, 14.429380427154337]"
258, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.790797943599216, 14.41993036743078]"
234, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81199858171716, 14.431496040667515]"
138, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81659504683021, 14.435072224245294]"
299, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79011736570185, 14.420272306135125]"
144, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.78985148684701, 14.425263707655306]"
2, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81197741160501, 14.42603272189852]"
126, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.816171884445055, 14.434793190907198]"
206, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.8129662152149, 14.426254407439483]"
145, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.790487600695336, 14.423071157698162]"
159, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.815753443452586, 14.43374771970978]"
57, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81326272663405, 14.430382124094642]"
104, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79856712909849, 14.44978651757162]"
123, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.790115702603806, 14.426818133761872]"
210, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81535446418774, 14.433483483102455]"
20, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.805592503698996, 14.43030231905251]"
24, , ,25744,Rabyně,Blaženice,Blaženice,737216,"[49.788908277141196, 14.470552798316943]"
56, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81326046182785, 14.430624976690092]"
65, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79019201514595, 14.420018102011365]"
132, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81635048209426, 14.4353247506229]"
177, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.815642687842036, 14.433084075397494]"
21, , ,25744,Rabyně,Blaženice,Blaženice,737216,"[49.78865773005062, 14.470155955961035]"
12, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.796651144475284, 14.444407665054062]"
219, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81601365823181, 14.434608118420309]"
5, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.798520715060754, 14.45352041910956]"
238, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.78762889925054, 14.414583831505176]"
18, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79687151728665, 14.463956220995277]"
200, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.814382130767775, 14.436151356708443]"
32, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.80797493686357, 14.43090033307316]"
16, , ,25744,Rabyně,Blaženice,Blaženice,737216,"[49.78901383636271, 14.470139365824148]"
150, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79083940080509, 14.425165395487506]"
62, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.8136944184898, 14.437570119257709]"
105, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79729317747632, 14.455649393435841]"
140, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79163920983277, 14.423059983669077]"
25, , ,25744,Rabyně,Nedvězí,Nedvězí,737267,"[49.804583248272124, 14.467123572445047]"
26, , ,25744,Rabyně,Nedvězí,Nedvězí,737267,"[49.80598684867151, 14.475267752731762]"
37, , ,25744,Rabyně,Blaženice,Blaženice,737216,"[49.78828372176403, 14.470994275553162]"
1, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.814182930193915, 14.434485819343656]"
236, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.791553857397574, 14.419179979055674]"
34, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.809156047151276, 14.427250184459595]"
72, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.77853018875666, 14.435000691076976]"
2, , ,25744,Rabyně,Nedvězí,Nedvězí,737267,"[49.8049433773239, 14.466818635693013]"
70, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.811092797821004, 14.428333981456888]"
208, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81377509711167, 14.43074145678205]"
44, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81177828446478, 14.429257633830286]"
221, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.78498493807308, 14.41544024305344]"
4, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.797870577427354, 14.455413208684659]"
16, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.80649485256403, 14.429658623680844]"
50, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81214770364808, 14.430057573928362]"
8, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81362574145312, 14.435710537220311]"
152, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.816022537293875, 14.435647021356992]"
31, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.805126407383845, 14.43152295436506]"
36, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81284216001949, 14.429983516035248]"
138, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.789832555380976, 14.428525006604374]"
295, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.7910133929687, 14.42066968217184]"
52, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.80093000027785, 14.45268549395324]"
35, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81277814084673, 14.42961897757694]"
31, , ,25744,Rabyně,Nedvězí,Nedvězí,737267,"[49.805832632638996, 14.4667145444552]"
183, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.7912861870483, 14.422529628111832]"
70, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.77908670653726, 14.433619451266287]"
19, , ,25744,Rabyně,Nedvězí,Nedvězí,737267,"[49.79779153423889, 14.481045604125587]"
10, , ,25744,Rabyně,Nedvězí,Nedvězí,737267,"[49.81619384438318, 14.456227182785913]"
115, , ,25744,Rabyně,Blaženice,Blaženice,737216,"[49.79088252776613, 14.430217912504657]"
48, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79656554007009, 14.44503348889448]"
129, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.788731941251335, 14.42578265954119]"
163, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.816207367098635, 14.434023574633034]"
108, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.789932520184244, 14.429467468140075]"
147, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81447618269842, 14.431232666825936]"
114, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.789982107942784, 14.427460427612921]"
135, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79008892531587, 14.430059096346442]"
7, , ,25744,Rabyně,Blaženice,Blaženice,737216,"[49.790671192685366, 14.468162619759873]"
46, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79764499227634, 14.453616543071094]"
131, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.791312724067005, 14.420343596513156]"
185, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79155573921742, 14.424050853210865]"
47, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79815297145371, 14.460401936276053]"
50, , ,25208,Rabyně,Loutí,Loutí,737267,"[49.79753918867763, 14.444917843269767]"
73, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.813923049458516, 14.43745481162826]"
19, , ,25208,Rabyně,Rabyně,Rabyně,737267,"[49.81010406791712, 14.429933705982725]"
225, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.789471431621116, 14.425336747907934]"
168, , ,25744,Rabyně,Měřín,Měřín,737216,"[49.79013163671551, 14.423017266020667]"
