cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
124, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09306158572226, 15.056652496417652]"
181, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08773656894556, 15.063562996509605]"
51, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09132118842873, 15.059495550667739]"
71, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08899685020235, 15.061638140539738]"
136, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.090777628493875, 15.057533119843654]"
77, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09053051201096, 15.05816038506841]"
65, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09162281403858, 15.058125459813555]"
76, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.090660537029045, 15.057979321076687]"
6, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09206659931566, 15.057006984366858]"
108, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09110614608423, 15.056903619438367]"
75, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09075315868116, 15.058003027577104]"
234, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08853733705326, 15.066154530137824]"
267, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08764607170941, 15.064698596759982]"
135, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08938572635706, 15.061954754284288]"
12, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09266634861345, 15.056914927983481]"
84, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.090400861895674, 15.06162453512089]"
126, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09230954059359, 15.059607466839443]"
199, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08833763277194, 15.064811865146726]"
202, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.088391735504345, 15.061569309225177]"
123, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09299888168001, 15.056552334730673]"
150, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09046437773126, 15.05758182404392]"
48, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09197076979666, 15.057876608976397]"
231, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.088366484511354, 15.066061936486994]"
3, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.091807401501754, 15.057707147958391]"
102, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.090887518091, 15.05732790748781]"
29, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.092403566074914, 15.060194552290044]"
163, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08887200899381, 15.061663154937635]"
153, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.089064595890086, 15.063329501523228]"
272, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09168972266148, 15.061365848267599]"
159, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.088915133142365, 15.061964501803415]"
111, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.089598128854576, 15.062207251932469]"
79, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.0908956595499, 15.061032205550418]"
156, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08844553985927, 15.063735321767394]"
155, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08872588467065, 15.061650162777642]"
151, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09035622172414, 15.057589414263184]"
147, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.090456910925035, 15.057273320956352]"
58, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.092098263659196, 15.05629606615407]"
1, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09155995834893, 15.059095415458273]"
4, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09178926562069, 15.058034883050023]"
145, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.090313400259966, 15.056527092059058]"
23, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09322197645752, 15.060416216265683]"
40, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08926858258556, 15.061868179369547]"
2, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.091424830509595, 15.057685201043794]"
47, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.092213509791, 15.059549211435769]"
144, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09410638462892, 15.061051081355478]"
137, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09058490099353, 15.057614027434402]"
271, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09086480310742, 15.062081117092376]"
9, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09223913910951, 15.05821243838147]"
73, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09286509343899, 15.057452838647595]"
49, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09128431701486, 15.060362496742801]"
80, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09078001543618, 15.0611681067789]"
13, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.092819941021446, 15.057236425007034]"
17, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09270539327147, 15.058696727126106]"
106, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09115561594387, 15.05706279520947]"
98, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09103205543569, 15.060272141345926]"
64, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09202116214201, 15.056677900619496]"
38, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.091217114070936, 15.058459578139686]"
246, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.091238337573735, 15.06229147408722]"
41, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08916164601491, 15.061985561558634]"
61, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09079420538105, 15.059699806699463]"
154, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.088965861154115, 15.063259385225898]"
89, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09087281445577, 15.058134043146415]"
270, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08720246060236, 15.065252413680682]"
247, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09062629188403, 15.056451116584238]"
96, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.091038790789234, 15.058058499606155]"
157, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.088351402916274, 15.06374797994188]"
122, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09285563905269, 15.056355587865843]"
94, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.090241780476255, 15.06178322778815]"
92, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09022571176748, 15.061288903635633]"
68, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09088229654336, 15.058357598578661]"
158, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.08830572664319, 15.063785310188976]"
44, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09224495689707, 15.05653439230108]"
46, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.091892519403196, 15.058296011102092]"
90, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.0926847653513, 15.05669986215773]"
62, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09071649087898, 15.060758532230702]"
55, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09069552832597, 15.059930947088104]"
56, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.091285021583104, 15.057966867995654]"
36, , ,28911,Ratenice,Ratenice,Ratenice,739740,"[50.09099561672227, 15.058630795569897]"
