cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
39, , ,Rašovice,Jindice,249950205,"[49.9141587913891, 15.089724185095996]"
49, , ,Rašovice,Rašovice,249685205,"[49.8821832292747, 15.102388549367882]"
33, , ,Rašovice,Netušil,249753205,"[49.88380694522731, 15.100928990323508]"
259, , ,Rašovice,Rašovice,239255712,"[49.12186594778794, 16.946744213831195]"
35, , ,Rašovice,Rašovice,249712205,"[49.87896427810616, 15.104092745861516]"
62, , ,Rašovice,Rašovice,249788205,"[49.88285397807703, 15.101976668232243]"
102, , ,Rašovice,Rašovice,61026509010,"[49.87693407246564, 15.105187383891586]"
294, , ,Rašovice,Rašovice,60651344010,"[49.12016820438079, 16.94599757053509]"
39, , ,Rašovice,Netušil,29651703010,"[49.88873939029545, 15.096734799087319]"
38, , ,Rašovice,Mančice,60721361010,"[49.89608873969192, 15.091273617701729]"
114, , ,Rašovice,Jindice,60595360010,"[49.912164748598855, 15.089064299170019]"
11, , ,Rašovice,Rašovice,239194712,"[49.12308243100571, 16.9462009395631]"
54, , ,Rašovice,Rašovice,239097712,"[49.120526201781985, 16.948229787672783]"
55, , ,Rašovice,Rašovice,239090712,"[49.12062060260958, 16.948421504368454]"
264, , ,Rašovice,Rašovice,377945712,"[49.12447008941438, 16.94573393011809]"
265, , ,Rašovice,Rašovice,481422712,"[49.127142327057314, 16.939829138170367]"
35, , ,Rašovice,Mančice,14959222010,"[49.898683957314255, 15.091649006498379]"
33, , ,Rašovice,Rašovice,249709205,"[49.878734691501585, 15.104145639512796]"
34, , ,Rašovice,Rašovice,249690205,"[49.878862075845774, 15.104260622502963]"
10, , ,Rašovice,Rašovice,249740205,"[49.880780607271106, 15.103346469697481]"
34, , ,Rašovice,Mančice,15799736010,"[49.89856931080304, 15.09125078641975]"
92, , ,Rašovice,Rašovice,387653205,"[49.88351544116879, 15.099814866566067]"
295, , ,Rašovice,Rašovice,49891313010,"[49.12252211966429, 16.94766686476315]"
296, , ,Rašovice,Rašovice,45049169010,"[49.12092693225793, 16.94893791204819]"
38, , ,Rašovice,Netušil,44011103010,"[49.88708512435086, 15.096621978108052]"
97, , ,Rašovice,Rašovice,44636126010,"[49.87677227417966, 15.105405100409161]"
96, , ,Rašovice,Rašovice,38628062010,"[49.8747818609123, 15.102938801246404]"
293, , ,Rašovice,Rašovice,29669193010,"[49.12802202571942, 16.939869240406214]"
112, , ,Rašovice,Jindice,29630366010,"[49.92039109106923, 15.086134829547943]"
291, , ,Rašovice,Rašovice,26854322010,"[49.12579315812168, 16.941791824010892]"
286, , ,Rašovice,Rašovice,26409356010,"[49.12332957942919, 16.947043527436925]"
288, , ,Rašovice,Rašovice,25105755010,"[49.12340028365128, 16.94781754409586]"
284, , ,Rašovice,Rašovice,24245854010,"[49.122569711832426, 16.945441609023337]"
18, , ,Rašovice,Rašovice,382425712,"[49.124060704529484, 16.942506268699727]"
52, , ,Rašovice,Rašovice,239085712,"[49.12052367372208, 16.947527701426054]"
15, , ,Rašovice,Rašovice,239086712,"[49.123397784271184, 16.94445682665894]"
40, , ,Rašovice,Rašovice,239089712,"[49.12070809419414, 16.947181787911802]"
93, , ,Rašovice,Rašovice,239118712,"[49.121187927174205, 16.949585448057814]"
28, , ,Rašovice,Rašovice,239122712,"[49.122673019217665, 16.945232452033846]"
206, , ,Rašovice,Rašovice,239147712,"[49.119437876384936, 16.950839503921785]"
36, , ,Rašovice,Rašovice,238961712,"[49.121371261429076, 16.947228640566188]"
34, , ,Rašovice,Rašovice,238978712,"[49.121740137849564, 16.946936253654247]"
287, , ,Rašovice,Rašovice,24224491010,"[49.120311766503384, 16.951858671520384]"
269, , ,Rašovice,Rašovice,495298712,"[49.126895644902035, 16.94032272520149]"
271, , ,Rašovice,Rašovice,475156712,"[49.12663074225977, 16.94068142490699]"
272, , ,Rašovice,Rašovice,487297712,"[49.122102886487326, 16.94708561913387]"
273, , ,Rašovice,Rašovice,495393712,"[49.12598497939326, 16.941554887578775]"
274, , ,Rašovice,Rašovice,14752171010,"[49.125902022369125, 16.941664422034638]"
275, , ,Rašovice,Rašovice,501107712,"[49.12675471264771, 16.940510303426638]"
277, , ,Rašovice,Rašovice,21143902010,"[49.126542550706056, 16.940846893383405]"
278, , ,Rašovice,Rašovice,14927743010,"[49.12643554203535, 16.94100155778654]"
279, , ,Rašovice,Rašovice,500668712,"[49.12293459640001, 16.94535645533212]"
280, , ,Rašovice,Rašovice,475249712,"[49.12521474414043, 16.94126328088053]"
245, , ,Rašovice,Rašovice,239026712,"[49.1242361867457, 16.94482036010332]"
253, , ,Rašovice,Rašovice,238933712,"[49.12477496167114, 16.94410162316825]"
90, , ,Rašovice,Rašovice,238934712,"[49.12096082744138, 16.94850555962177]"
31, , ,Rašovice,Rašovice,239064712,"[49.12225793392459, 16.94604181788225]"
247, , ,Rašovice,Rašovice,239036712,"[49.1243413467791, 16.944638452787174]"
256, , ,Rašovice,Rašovice,239037712,"[49.12517857826641, 16.940731743749748]"
218, , ,Rašovice,Rašovice,239038712,"[49.11864860192563, 16.94734153137639]"
74, , ,Rašovice,Rašovice,239041712,"[49.11973887185881, 16.946356797946653]"
199, , ,Rašovice,Rašovice,238945712,"[49.12330866035132, 16.944608648961747]"
159, , ,Rašovice,Rašovice,239071712,"[49.11900732302806, 16.947298692767514]"
16, , ,Rašovice,Rašovice,239075712,"[49.124290760984245, 16.94216687716975]"
242, , ,Rašovice,Rašovice,239027712,"[49.12407397374011, 16.945093925735872]"
246, , ,Rašovice,Rašovice,239030712,"[49.12428429438675, 16.944730112679107]"
144, , ,Rašovice,Rašovice,239031712,"[49.1211028462089, 16.950328912057415]"
270, , ,Rašovice,Rašovice,238921712,"[49.12543040894158, 16.94695988479]"
219, , ,Rašovice,Rašovice,238998712,"[49.11891231486551, 16.947231044054618]"
22, , ,Rašovice,Rašovice,239151712,"[49.123587660069695, 16.94339371128461]"
20, , ,Rašovice,Rašovice,239196712,"[49.12384886290825, 16.942980532706432]"
38, , ,Rašovice,Rašovice,239198712,"[49.120930825345305, 16.94753231655416]"
260, , ,Rašovice,Rašovice,239199712,"[49.122798289813645, 16.94561214724936]"
225, , ,Rašovice,Rašovice,239200712,"[49.123817555799306, 16.94717313301278]"
108, , ,Rašovice,Rašovice,238918712,"[49.1254241253209, 16.94088581404339]"
161, , ,Rašovice,Rašovice,239186712,"[49.12536091313501, 16.94101978082745]"
100, , ,Rašovice,Rašovice,239188712,"[49.119786498967855, 16.95224454750499]"
68, , ,Rašovice,Rašovice,239189712,"[49.12109850605653, 16.949999012716955]"
76, , ,Rašovice,Rašovice,239079712,"[49.120883562890086, 16.950694089233355]"
67, , ,Rašovice,Rašovice,239266712,"[49.122369260483225, 16.945817622958284]"
12, , ,Rašovice,Rašovice,239153712,"[49.12285256252574, 16.94547960531479]"
151, , ,Rašovice,Rašovice,239154712,"[49.12167763056254, 16.9481445048946]"
198, , ,Rašovice,Rašovice,238929712,"[49.126026621802694, 16.93950947915852]"
41, , ,Rašovice,Rašovice,238930712,"[49.12060659969307, 16.947018741019146]"
174, , ,Rašovice,Rašovice,238931712,"[49.1197071247577, 16.950411360032714]"
200, , ,Rašovice,Rašovice,238932712,"[49.11954484622547, 16.949886004345892]"
196, , ,Rašovice,Rašovice,238925712,"[49.12591775993821, 16.93963688617461]"
164, , ,Rašovice,Rašovice,238926712,"[49.11890061655428, 16.951847092588054]"
250, , ,Rašovice,Rašovice,239053712,"[49.12461367731504, 16.94438882317378]"
98, , ,Rašovice,Rašovice,239274712,"[49.120392249389816, 16.9514465277078]"
127, , ,Rašovice,Rašovice,239276712,"[49.12410122229387, 16.943367713795823]"
49, , ,Rašovice,Rašovice,239146712,"[49.12020899809798, 16.946888655514698]"
146, , ,Rašovice,Rašovice,239148712,"[49.12124744401275, 16.949396990488914]"
165, , ,Rašovice,Rašovice,238991712,"[49.12435304730507, 16.94201928578495]"
132, , ,Rašovice,Rašovice,238992712,"[49.12422672490748, 16.943086163721492]"
106, , ,Rašovice,Rašovice,238994712,"[49.124792269200576, 16.94196368875034]"
195, , ,Rašovice,Rašovice,238995712,"[49.119801203084606, 16.94660866645202]"
7, , ,Rašovice,Rašovice,239270712,"[49.122311965041234, 16.94657050387364]"
175, , ,Rašovice,Rašovice,239017712,"[49.120214230665304, 16.95068948579826]"
171, , ,Rašovice,Rašovice,239018712,"[49.121575851007044, 16.948243213682208]"
23, , ,Rašovice,Rašovice,239020712,"[49.12346739343446, 16.943619329587037]"
9, , ,Rašovice,Rašovice,239260712,"[49.1226104897081, 16.946041264390843]"
197, , ,Rašovice,Rašovice,239262712,"[49.12576973894951, 16.939853134437048]"
133, , ,Rašovice,Rašovice,239263712,"[49.12431584680966, 16.942934335883205]"
124, , ,Rašovice,Rašovice,239001712,"[49.12428607334052, 16.94701653159852]"
216, , ,Rašovice,Rašovice,239003712,"[49.125671676361584, 16.940006385408736]"
143, , ,Rašovice,Rašovice,239152712,"[49.11997459440539, 16.951154283286304]"
33, , ,Rašovice,Rašovice,239272712,"[49.121993335286675, 16.946538149326248]"
167, , ,Rašovice,Rašovice,239273712,"[49.12553074459367, 16.94019395990875]"
148, , ,Rašovice,Rašovice,239140712,"[49.11966495431855, 16.951919369943194]"
135, , ,Rašovice,Rašovice,239142712,"[49.11939904809476, 16.95146545205936]"
249, , ,Rašovice,Rašovice,239056712,"[49.12456556994366, 16.94447907152666]"
