cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
8, , ,Rodná,Nahořany,312495308,"[49.50192157805665, 14.851634897201306]"
5, , ,Rodná,Rodná,318501308,"[49.48946941184834, 14.842690746721859]"
2, , ,Rodná,Nahořany,312501308,"[49.502662628602685, 14.8531100471597]"
13, , ,Rodná,Nahořany,22856191010,"[49.50280692374481, 14.853206196066614]"
35, , ,Rodná,Rodná,16358129010,"[49.491303710618205, 14.838810651331759]"
18, , ,Rodná,Blanička,295109308,"[49.47801362235683, 14.842684844437905]"
6, , ,Rodná,Blanička,295107308,"[49.47777025025261, 14.841119425982445]"
4, , ,Rodná,Blanička,295108308,"[49.47779931040491, 14.839874692123438]"
2, , ,Rodná,Blanička,295104308,"[49.477101367939376, 14.838930274479832]"
8, , ,Rodná,Blanička,295106308,"[49.48468983921127, 14.830878145195118]"
10, , ,Rodná,Blanička,295111308,"[49.47863077668092, 14.841000902568416]"
14, , ,Rodná,Blanička,295112308,"[49.47831424501919, 14.840800504466777]"
15, , ,Rodná,Blanička,295100308,"[49.478019181762456, 14.841166471552842]"
11, , ,Rodná,Blanička,295102308,"[49.47672418036998, 14.841400778337798]"
5, , ,Rodná,Blanička,295103308,"[49.478212541188505, 14.840250382193867]"
13, , ,Rodná,Blanička,295095308,"[49.47773743509019, 14.841265265292252]"
17, , ,Rodná,Blanička,295096308,"[49.47801625490426, 14.841765611725995]"
12, , ,Rodná,Blanička,295094308,"[49.47764825228928, 14.840016632429698]"
9, , ,Rodná,Blanička,295099308,"[49.47813086322128, 14.841199542368882]"
15, , ,Rodná,Rodná,318495308,"[49.49083836312856, 14.841522499280316]"
16, , ,Rodná,Blanička,295101308,"[49.47866700681109, 14.840367171839615]"
3, , ,Rodná,Blanička,295110308,"[49.47768914182409, 14.84144207680895]"
1, , ,Rodná,Blanička,295097308,"[49.47693411631275, 14.841205168600048]"
34, , ,Rodná,Rodná,603593308,"[49.49020044336348, 14.83927079599579]"
