cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
20, , ,67505,Rohy,Rohy,Rohy,740535,"[49.305447312358005, 16.0020236377544]"
5, , ,67505,Rohy,Rohy,Rohy,740535,"[49.305741585588315, 16.00552428869969]"
23, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30524771916816, 16.005830097326804]"
8, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30552394555776, 16.00410401758974]"
6, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30596585768429, 16.005273304101056]"
1, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30551243736223, 16.00630569253875]"
42, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30582466364233, 16.004010837786026]"
14, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30487991862284, 16.004206431172374]"
44, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30582548183378, 16.003545094583064]"
54, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30405184320596, 16.010303115080816]"
29, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30494304577408, 16.004679768049424]"
33, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30622669188608, 16.00140923883039]"
49, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30468124113032, 16.005999974612756]"
56, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30754474172608, 15.998711276544903]"
40, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30391749825538, 16.008101540211953]"
15, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30482047918465, 16.004853837982694]"
22, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30535275825029, 16.006140240773338]"
17, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30460223398959, 16.006151625398505]"
36, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30565583871631, 16.0073150970844]"
65, , ,67505,Rohy,Rohy,Rohy,740535,"[49.308093115939634, 15.997529511777243]"
43, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30486533018645, 16.005205822545]"
11, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30578086019916, 16.003017512001282]"
35, , ,67505,Rohy,Rohy,Rohy,740535,"[49.3054958050552, 16.006533621978686]"
60, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30626204443998, 16.004212629375125]"
13, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30516693394746, 16.003174121803365]"
26, , ,67505,Rohy,Rohy,Rohy,740535,"[49.305107783798206, 16.00605916808543]"
39, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30599697038844, 16.001886190691938]"
18, , ,67505,Rohy,Rohy,Rohy,740535,"[49.304088446393735, 16.008520277023386]"
4, , ,67505,Rohy,Rohy,Rohy,740535,"[49.306192466903475, 16.005634533565022]"
63, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30717098746698, 16.000272887080865]"
64, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30556286669691, 16.005331071488044]"
9, , ,67505,Rohy,Rohy,Rohy,740535,"[49.305164872675455, 16.004531251989008]"
58, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30773655446345, 15.998213344072626]"
41, , ,67505,Rohy,Rohy,Rohy,740535,"[49.3058250738429, 16.004135367265352]"
51, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30465941457344, 16.010867490227525]"
7, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30580287265739, 16.004498444443737]"
48, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30619552365965, 16.005942867363405]"
45, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30578616798075, 16.005247226150324]"
31, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30571487787824, 16.006483483869953]"
3, , ,67505,Rohy,Rohy,Rohy,740535,"[49.305863567141294, 16.006786706636266]"
12, , ,67505,Rohy,Rohy,Rohy,740535,"[49.305446486742355, 16.00293586919526]"
16, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30473216345895, 16.005478684975213]"
50, , ,67505,Rohy,Rohy,Rohy,740535,"[49.304120102648504, 16.00878807558766]"
52, , ,67505,Rohy,Rohy,Rohy,740535,"[49.30429440932036, 16.006747074819188]"
32, , ,67505,Rohy,Rohy,Rohy,740535,"[49.3065108567751, 16.001604466819625]"
61, , ,67505,Rohy,Rohy,Rohy,740535,"[49.305992710950406, 16.004077884250734]"
