cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
238, , ,Rokytno,Rokytno,62460982010,"[50.105137494236224, 15.895130688793332]"
15, , ,Rokytno,Bohumileč,0,"[50.09999017018647, 15.85829082296417]"
175, , ,Rokytno,Rokytno,532539606,"[50.107507769702785, 15.884160771046636]"
44, , ,Rokytno,Rokytno,532421606,"[50.10640449673314, 15.89534229179825]"
239, , ,Rokytno,Rokytno,62497275010,"[50.10483016512223, 15.896968553142585]"
169, , ,Rokytno,Rokytno,532509606,"[50.1030406388148, 15.889959777243293]"
94, , ,Rokytno,Bohumileč,62582329010,"[50.09709268701479, 15.85760604885257]"
125, , ,Rokytno,Rokytno,532448606,"[50.10589440154136, 15.893086528369459]"
2, , ,Rokytno,Bohumileč,504569606,"[50.09909435288514, 15.859037767701885]"
93, , ,Rokytno,Bohumileč,62103844010,"[50.097569784002275, 15.855436016925866]"
233, , ,Rokytno,Rokytno,61472658010,"[50.10265232631896, 15.884343078757377]"
63, , ,Rokytno,Bohumileč,504511606,"[50.10554394179234, 15.857159921982813]"
90, , ,Rokytno,Bohumileč,58829644010,"[50.09959609244442, 15.85947988455627]"
93, , ,Rokytno,Rokytno,532408606,"[50.10657409802578, 15.88905328946825]"
48, , ,Rokytno,Rokytno,532463606,"[50.105661875375, 15.891711665817537]"
227, , ,Rokytno,Rokytno,57590784010,"[50.10821093272539, 15.896565979482245]"
89, ,Zástava,Rokytno,Bohumileč,47213185010,"[50.112093494908656, 15.834897785329007]"
221, , ,Rokytno,Rokytno,34991004010,"[50.10646535401527, 15.882598259725613]"
225, , ,Rokytno,Rokytno,39433065010,"[50.10578730754053, 15.889422531934422]"
224, , ,Rokytno,Rokytno,36839048010,"[50.10491291995232, 15.893059207174097]"
222, , ,Rokytno,Rokytno,36489037010,"[50.105797446162754, 15.894220462410411]"
87, , ,Rokytno,Bohumileč,36496207010,"[50.10278656273913, 15.856669956893898]"
223, , ,Rokytno,Rokytno,36839039010,"[50.10586873390493, 15.883087606980046]"
217, , ,Rokytno,Rokytno,29467181010,"[50.10607104302698, 15.883965479038476]"
84, ,Zástava,Rokytno,Bohumileč,29110157010,"[50.11238274253044, 15.835604756172627]"
216, , ,Rokytno,Rokytno,27028397010,"[50.104020559559515, 15.894545539342937]"
214, , ,Rokytno,Rokytno,25784883010,"[50.10402213845075, 15.894925276524122]"
80, , ,Rokytno,Bohumileč,25555874010,"[50.106050437843216, 15.856731842416588]"
209, , ,Rokytno,Rokytno,23209948010,"[50.107660441098616, 15.89886253111897]"
211, , ,Rokytno,Rokytno,23235940010,"[50.107945158227395, 15.894489093042804]"
79, , ,Rokytno,Bohumileč,24763737010,"[50.10014439284659, 15.859308809791392]"
212, , ,Rokytno,Rokytno,24613834010,"[50.10708159213111, 15.891451841207427]"
213, , ,Rokytno,Rokytno,24610768010,"[50.10467101473191, 15.886994775165409]"
8, , ,Rokytno,Bohumileč,504549606,"[50.10281829421648, 15.857325677546543]"
107, , ,Rokytno,Rokytno,532359606,"[50.10713049858578, 15.893652821043622]"
156, , ,Rokytno,Rokytno,532496606,"[50.104072981915564, 15.89069344661709]"
161, , ,Rokytno,Rokytno,532497606,"[50.10401628326196, 15.891379429447538]"
111, , ,Rokytno,Rokytno,532323606,"[50.10513345447892, 15.890949767415849]"
70, , ,Rokytno,Rokytno,532340606,"[50.10728178140417, 15.894694916443921]"
103, , ,Rokytno,Rokytno,532312606,"[50.10667038600464, 15.89355402170278]"
131, , ,Rokytno,Rokytno,532314606,"[50.10625960749934, 15.891954169651193]"
165, , ,Rokytno,Rokytno,532488606,"[50.10395905133748, 15.891938831763541]"
52, , ,Rokytno,Rokytno,532468606,"[50.10469963263637, 15.891676629199523]"
58, , ,Rokytno,Rokytno,532443606,"[50.105371412627555, 15.891581840495094]"
29, , ,Rokytno,Rokytno,532450606,"[50.106083342181094, 15.886398348901636]"
109, , ,Rokytno,Rokytno,532451606,"[50.10468901324587, 15.889145013214954]"
189, , ,Rokytno,Rokytno,661129606,"[50.10822929405791, 15.898125079277584]"
100, , ,Rokytno,Rokytno,532360606,"[50.10428473826791, 15.893371199427687]"
115, , ,Rokytno,Rokytno,532458606,"[50.106462402771825, 15.897026555616746]"
128, , ,Rokytno,Rokytno,532345606,"[50.106782790437705, 15.897671746069078]"
120, , ,Rokytno,Rokytno,532473606,"[50.10525899125197, 15.891053470931027]"
9, , ,Rokytno,Drahoš,532358606,"[50.094492325028064, 15.913878343205482]"
