cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
22, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40441348536487, 14.829282840962074]"
5, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40657908473204, 14.831304376976655]"
32, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40772675671927, 14.832869405065132]"
8, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.4064368019546, 14.831660127283577]"
33, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40789542490252, 14.832933896494271]"
10, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.406395057456656, 14.832562686838095]"
13, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.4050716510557, 14.830849552644294]"
17, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.406894537148744, 14.832033831478736]"
12, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.406756958284674, 14.832445368161347]"
34, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40843825738006, 14.833133956956832]"
18, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40707347253889, 14.831897542718767]"
1, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.407661973408004, 14.833606466364303]"
7, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40517257009509, 14.830218571633488]"
31, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.406486123329735, 14.830202607407474]"
4, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.406535872570466, 14.831114650006327]"
30, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40613180641716, 14.829764987720848]"
24, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40605697271359, 14.829737880424744]"
25, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40770105192773, 14.832349690071137]"
14, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.405059032784195, 14.831022428540093]"
26, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40748396687331, 14.831926267154095]"
27, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.4075034988063, 14.831297880870164]"
20, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.4072101633536, 14.832550413281934]"
9, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40643897837925, 14.83190089905459]"
15, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.406733281655285, 14.831627263436044]"
28, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40729129181038, 14.83071736846421]"
3, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40756157818583, 14.833598821379926]"
19, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40547663062445, 14.829630752565171]"
29, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.405645050660056, 14.832164215496167]"
21, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40749587640947, 14.832604917060397]"
16, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40689892071896, 14.831763323148554]"
48, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40531144848261, 14.83111217757591]"
35, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40587731734044, 14.831477720543074]"
9, , ,29430,Rokytovec,Malé Horky,Malé Horky,741124,"[50.39551272057867, 14.82482272657453]"
37, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40514212693736, 14.830395130655816]"
36, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40576209535407, 14.832154228909255]"
42, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40628147379928, 14.82981920256928]"
41, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.406349702157435, 14.831380140218863]"
8, , ,29430,Rokytovec,Malé Horky,Malé Horky,741124,"[50.39647717008593, 14.825290180401426]"
40, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40458871484434, 14.829317582063451]"
39, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40513155421788, 14.82951758751138]"
57, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.404451300036506, 14.83026825491205]"
38, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.408532909487, 14.833611059639118]"
55, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.404397494793486, 14.829953025004404]"
6, , ,29430,Rokytovec,Malé Horky,Malé Horky,741124,"[50.39610584211389, 14.824544094929198]"
5, , ,29430,Rokytovec,Malé Horky,Malé Horky,741124,"[50.39648791687797, 14.824450942921073]"
1, , ,29430,Rokytovec,Malé Horky,Malé Horky,741124,"[50.397357008948845, 14.824540871233088]"
60, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.40460262106576, 14.831201844081113]"
2, , ,29430,Rokytovec,Malé Horky,Malé Horky,741124,"[50.396013832087924, 14.823669355086258]"
4, , ,29430,Rokytovec,Malé Horky,Malé Horky,741124,"[50.39593548396319, 14.824352318191595]"
61, , ,29430,Rokytovec,Rokytovec,Rokytovec,741124,"[50.404620771233006, 14.831524440988224]"
