cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
93, ,Plavská,37007,Roudné,Roudné,Roudné,741612,"[48.92039885837339, 14.482329959119921]"
276, ,U Kapličky,37007,Roudné,Roudné,Roudné,741612,"[48.939610426258525, 14.475957090646434]"
407, ,Polní,37007,Roudné,Roudné,Roudné,741612,"[48.93585406190655, 14.477326635177649]"
232, ,U Kapličky,37007,Roudné,Roudné,Roudné,741612,"[48.940420162830925, 14.474664147727877]"
157, ,Roudenská,37007,Roudné,Roudné,Roudné,741612,"[48.93304334866203, 14.483004081628371]"
423, ,Luční,37007,Roudné,Roudné,Roudné,741612,"[48.935938652282225, 14.477950063529363]"
105, ,Plavská,37007,Roudné,Roudné,Roudné,741612,"[48.939029128152875, 14.478897918933951]"
79, ,Komenského,37007,Roudné,Roudné,Roudné,741612,"[48.93344765361044, 14.484038718957738]"
909, ,Za Dvořáků,37007,Roudné,Roudné,Roudné,741612,"[48.939133547196576, 14.476646466372545]"
638, ,Pšeničná,37007,Roudné,Roudné,Roudné,741612,"[48.932208732716106, 14.477689529534995]"
364, , ,37007,Roudné,Roudné,Roudné,741612,"[48.93719571568984, 14.485555516574982]"
129, ,Roudenská,37007,Roudné,Roudné,Roudné,741612,"[48.93546180367256, 14.487967390512026]"
347, ,Zahradní,37007,Roudné,Roudné,Roudné,741612,"[48.93550855405947, 14.479226143948923]"
108, ,Plavská,37007,Roudné,Roudné,Roudné,741612,"[48.938555743589355, 14.479189074608547]"
106, ,Plavská,37007,Roudné,Roudné,Roudné,741612,"[48.93911610549649, 14.478867048242066]"
921, ,Za Dvořáků,37007,Roudné,Roudné,Roudné,741612,"[48.938882564639954, 14.477303661183042]"
107, ,Plavská,37007,Roudné,Roudné,Roudné,741612,"[48.94371383923543, 14.480350666777179]"
922, ,Za Dvořáků,37007,Roudné,Roudné,Roudné,741612,"[48.938877493055415, 14.47745887586227]"
300, ,Boršovská,37007,Roudné,Roudné,Roudné,741612,"[48.937367450301046, 14.478002489621677]"
640, , ,37007,Roudné,Roudné,Roudné,741612,"[48.931877048324466, 14.478273981205472]"
109, ,Plavská,37007,Roudné,Roudné,Roudné,741612,"[48.94388276492004, 14.480561533946622]"
352, , ,37007,Roudné,Roudné,Roudné,741612,"[48.94125019429495, 14.478747438267396]"
383, ,Lesní,37007,Roudné,Roudné,Roudné,741612,"[48.93303127568109, 14.476912236120468]"
353, ,Jakubova,37007,Roudné,Roudné,Roudné,741612,"[48.93774075050639, 14.484434289710457]"
426, ,Luční,37007,Roudné,Roudné,Roudné,741612,"[48.93575986222342, 14.478352933438723]"
357, ,Zahradní,37007,Roudné,Roudné,Roudné,741612,"[48.93526054771117, 14.477454967367715]"
250, ,U Kapličky,37007,Roudné,Roudné,Roudné,741612,"[48.94098682678037, 14.47716221003709]"
312, ,Polní,37007,Roudné,Roudné,Roudné,741612,"[48.936719647908134, 14.478716828098316]"
207, ,U Rybníčku,37007,Roudné,Roudné,Roudné,741612,"[48.93122443060838, 14.484358531781426]"
110, ,Jakubova,37007,Roudné,Roudné,Roudné,741612,"[48.93842020400545, 14.47980712593543]"
623, ,Pšeničná,37007,Roudné,Roudné,Roudné,741612,"[48.93203313923538, 14.480012186070631]"
1, ,Roudenská,37007,Roudné,Roudné,Roudné,741612,"[48.935194529903605, 14.487054137730524]"
431, ,Luční,37007,Roudné,Roudné,Roudné,741612,"[48.936246451256096, 14.47831610405664]"
117, ,Roudenská,37007,Roudné,Roudné,Roudné,741612,"[48.93288666223981, 14.483757298877602]"
222, ,U Kapličky,37007,Roudné,Roudné,Roudné,741612,"[48.941221612781874, 14.47663041773446]"
224, ,U Kapličky,37007,Roudné,Roudné,Roudné,741612,"[48.941133436179115, 14.476066911252017]"
185, ,Jakubova,37007,Roudné,Roudné,Roudné,741612,"[48.93873741029454, 14.479378121704404]"
637, ,Pšeničná,37007,Roudné,Roudné,Roudné,741612,"[48.93239694024235, 14.477680208361383]"
33, ,Vidovská,37007,Roudné,Roudné,Roudné,741612,"[48.93477666919962, 14.48902872457075]"
402, ,Lesní,37007,Roudné,Roudné,Roudné,741612,"[48.93325643053905, 14.476466005694581]"
310, ,Polní,37007,Roudné,Roudné,Roudné,741612,"[48.936821169728134, 14.477870422715462]"
