cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
683,13,Zahradní,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20382971754247, 16.87594986288788]"
1252,32,Velešovická,68301,Rousínov,Slavíkovice,Slavíkovice,741922,"[49.19122135376666, 16.867090959108282]"
196,22,V nové čtvrti,68301,Rousínov,Rousínov,Rousínov,741922,"[49.205642803725745, 16.8786017447778]"
159, , ,68301,Rousínov,Královopolské Vážany,Královopolské Vážany,777315,"[49.215736373838865, 16.870183236745707]"
85, , ,68301,Rousínov,Kroužek,Kroužek,675083,"[49.19407747537886, 16.89255741307193]"
1300,11,Mlékařská,68301,Rousínov,Slavíkovice,Slavíkovice,741922,"[49.19678296532259, 16.869307888861847]"
334,31,Čechyňská,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20700417885868, 16.890401982643258]"
153,19,Tyršova,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20518167508942, 16.879362208399947]"
193,16,V nové čtvrti,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20554104895742, 16.878409745215905]"
1227,1A,Šíby,68301,Rousínov,Slavíkovice,Slavíkovice,741922,"[49.196089142112555, 16.86977654717552]"
180, , ,68301,Rousínov,Čechyně,Čechyně,618934,"[49.208076520749515, 16.89829082359304]"
649,9,Zahradní,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20365687283113, 16.87631329873239]"
75, , ,68301,Rousínov,Královopolské Vážany,Královopolské Vážany,777315,"[49.216694437488826, 16.86867027742697]"
182, , ,68301,Rousínov,Čechyně,Čechyně,618934,"[49.20988775202339, 16.89158562072276]"
1267,30,Trávníky,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20178820924936, 16.884734462420756]"
128,41,Skálova,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20126839424439, 16.882250483175966]"
931,32,U náhonu,68301,Rousínov,Rousínovec,Rousínovec,741922,"[49.19967444609446, 16.8862164773676]"
105, , ,68301,Rousínov,Královopolské Vážany,Královopolské Vážany,777315,"[49.21676783915149, 16.867283826713745]"
68, , ,68301,Rousínov,Vítovice,Vítovice,777323,"[49.21733004336872, 16.85185248465072]"
102, , ,68301,Rousínov,Kroužek,Kroužek,675083,"[49.19445913126229, 16.891130877776497]"
49,27,Sušilovo náměstí,68301,Rousínov,Rousínov,Rousínov,741922,"[49.204369133388965, 16.884528747828735]"
154, , ,68301,Rousínov,Čechyně,Čechyně,618934,"[49.207469541402666, 16.89863978387295]"
1284,47,Trávníky,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20197311776372, 16.884001295477482]"
657,20,Krejčířova,68301,Rousínov,Rousínovec,Rousínovec,741922,"[49.194193728041064, 16.885268528076345]"
1333,13,Hlinky,68301,Rousínov,Slavíkovice,Slavíkovice,741922,"[49.19430612280318, 16.867324296734818]"
185,19,Čsl. armády,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20444059554644, 16.87705248753422]"
622,13,Rudé armády,68301,Rousínov,Rousínovec,Rousínovec,741922,"[49.20202516534624, 16.87797439951591]"
637,35,Kalouskova,68301,Rousínov,Rousínovec,Rousínovec,741922,"[49.19929885214905, 16.884342628961296]"
1293,26,Hlinky,68301,Rousínov,Slavíkovice,Slavíkovice,741922,"[49.193858611706, 16.865993797452248]"
322,34,Čechyňská,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20663134403411, 16.890628606543004]"
25, , ,68301,Rousínov,Kroužek,Kroužek,675083,"[49.194297028812464, 16.898151109051817]"
421,45,Sušilovo náměstí,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20294379534775, 16.881265197014624]"
105,38,Čechyňská,68301,Rousínov,Rousínov,Rousínov,741922,"[49.20673163047454, 16.89098328302338]"
33, , ,68301,Rousínov,Čechyně,Čechyně,618934,"[49.20402261184132, 16.90144236046746]"
160, , ,68301,Rousínov,Královopolské Vážany,Královopolské Vážany,777315,"[49.20720992052108, 16.87191824211706]"
585,8,Rudé armády,68301,Rousínov,Rousínovec,Rousínovec,741922,"[49.202461129808874, 16.87828831818555]"
625,25,Kalouskova,68301,Rousínov,Rousínovec,Rousínovec,741922,"[49.19989319018114, 16.883850409710387]"
