cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
16, , ,Rovečné,Malé Tresné,71921745,"[49.567096017777864, 16.368125843277312]"
47, , ,Rovečné,Rovečné,74232745,"[49.57485810149189, 16.361370942137135]"
247, , ,Rovečné,Rovečné,58039778010,"[49.57467043242376, 16.3614030959615]"
239, , ,Rovečné,Rovečné,33721947010,"[49.576257338653, 16.361952094174484]"
234, , ,Rovečné,Rovečné,112317745,"[49.575189205505836, 16.358698531150576]"
237, , ,Rovečné,Rovečné,26235294010,"[49.581355572014914, 16.363137947966973]"
4, , ,Rovečné,Rovečné,74075745,"[49.577249422869194, 16.36240823905705]"
224, , ,Rovečné,Rovečné,74358745,"[49.578164118491244, 16.358299943852092]"
81, , ,Rovečné,Rovečné,74238745,"[49.57680474242959, 16.36338880485752]"
115, , ,Rovečné,Rovečné,74389745,"[49.58640303259444, 16.33655525727293]"
123, , ,Rovečné,Rovečné,74100745,"[49.581466107497775, 16.359668103606275]"
236, , ,Rovečné,Rovečné,74266745,"[49.575573423373314, 16.358382239616372]"
187, , ,Rovečné,Rovečné,74271745,"[49.576048356490965, 16.359692182919762]"
70, , ,Rovečné,Rovečné,74094745,"[49.57292892868457, 16.362466648850344]"
156, , ,Rovečné,Rovečné,74304745,"[49.5735705143269, 16.363080200867984]"
155, , ,Rovečné,Rovečné,74305745,"[49.57376212017375, 16.362852601629875]"
171, , ,Rovečné,Rovečné,74307745,"[49.581693127257566, 16.362801818151745]"
76, , ,Rovečné,Rovečné,74405745,"[49.58208154699338, 16.358672050280582]"
53, , ,Rovečné,Rovečné,74139745,"[49.57659408538875, 16.362603991355066]"
153, , ,Rovečné,Rovečné,74145745,"[49.579683947411546, 16.360919722935886]"
110, , ,Rovečné,Rovečné,74106745,"[49.58217373702291, 16.36281688148332]"
157, , ,Rovečné,Rovečné,74105745,"[49.58209527539681, 16.362732918517427]"
137, , ,Rovečné,Rovečné,74219745,"[49.57999306127856, 16.36243909453086]"
225, , ,Rovečné,Rovečné,74387745,"[49.57344146457727, 16.363297083121868]"
52, , ,Rovečné,Rovečné,74218745,"[49.57633390417082, 16.362509429064055]"
114, , ,Rovečné,Rovečné,74133745,"[49.581180215138396, 16.36009280509489]"
23, , ,Rovečné,Rovečné,74303745,"[49.57993570911246, 16.36377079621171]"
217, , ,Rovečné,Rovečné,22893337010,"[49.5750341786384, 16.363052086686388]"
24, , ,Rovečné,Malé Tresné,71952745,"[49.56440208210727, 16.368531290510546]"
58, , ,Rovečné,Rovečné,74269745,"[49.57858899190656, 16.36254050449887]"
3, , ,Rovečné,Rovečné,103248745,"[49.57726833828853, 16.362669359445672]"
65, , ,Rovečné,Rovečné,74190745,"[49.58076540096136, 16.361360565724475]"
127, , ,Rovečné,Rovečné,74298745,"[49.581765806348535, 16.358809662864182]"
91, , ,Rovečné,Rovečné,74174745,"[49.58034737163127, 16.361460025397694]"
235, , ,Rovečné,Rovečné,116063745,"[49.57513074183337, 16.35926507935701]"
40, , ,Rovečné,Rovečné,74386745,"[49.57777653979064, 16.362555720555957]"
149, , ,Rovečné,Rovečné,74108745,"[49.58669267527461, 16.339708171373474]"
73, , ,Rovečné,Rovečné,74285745,"[49.57967750774812, 16.362593063216785]"
86, , ,Rovečné,Rovečné,74104745,"[49.57590053277733, 16.36245455550767]"
161, , ,Rovečné,Rovečné,74172745,"[49.578925052126365, 16.362714601047397]"
94, , ,Rovečné,Rovečné,74151745,"[49.58010154855672, 16.361672322156867]"
165, , ,Rovečné,Rovečné,74210745,"[49.58617925735437, 16.339804736670956]"
208, , ,Rovečné,Rovečné,74212745,"[49.574599537017924, 16.360093784258893]"
201, , ,Rovečné,Rovečné,74356745,"[49.576574776391844, 16.35967139717455]"
140, , ,Rovečné,Rovečné,74211745,"[49.57316394731946, 16.36266596354988]"
192, , ,Rovečné,Rovečné,74199745,"[49.58111085861907, 16.359355375051763]"
136, , ,Rovečné,Rovečné,74300745,"[49.57743500543563, 16.363177878520183]"
102, , ,Rovečné,Rovečné,74107745,"[49.58187648522622, 16.35840426834954]"
189, , ,Rovečné,Rovečné,74170745,"[49.57547643635672, 16.359332306497397]"
88, , ,Rovečné,Rovečné,74289745,"[49.57577758499096, 16.36210872398436]"
27, , ,Rovečné,Malé Tresné,71927745,"[49.564065658121265, 16.36854825196211]"
175, , ,Rovečné,Rovečné,74392745,"[49.58008209741571, 16.363002545309026]"
33, , ,Rovečné,Rovečné,74134745,"[49.58043346446971, 16.360129502190095]"
38, , ,Rovečné,Rovečné,74227745,"[49.57867424158504, 16.36196877713582]"
