cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
312, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.56199984225682, 15.496690934572857]"
115, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.57037511862299, 15.503137108398452]"
391, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.55739442758292, 15.498831194499187]"
397, , ,51401,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.544686941906214, 15.48754683332062]"
179, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.57025190925925, 15.500334403022562]"
335, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.58076353950523, 15.513677802511218]"
112, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.56350266391458, 15.499457931367177]"
184, , ,51401,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.56813455582163, 15.497539883953523]"
48, , ,51401,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.55118814997254, 15.48724890945349]"
67, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.57853710945181, 15.507905558401326]"
304, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.557358648812375, 15.49290580543179]"
96, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.56723723181478, 15.49995997233996]"
3, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.5629479535751, 15.499892043558162]"
140, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.568956394756725, 15.501789694997198]"
91, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.57184423383864, 15.501772747152566]"
401, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.562722905186384, 15.498799373606536]"
208, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.56782726761057, 15.500179408541106]"
235, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.569574158648734, 15.500888306944798]"
271, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.56764997216574, 15.499723021688029]"
394, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.56688515303841, 15.501478404993914]"
279, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.57090064130541, 15.499437657256335]"
51, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.56800644724732, 15.499894111785967]"
2, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.56430777235975, 15.500255234653205]"
191, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.56510930644638, 15.49950329562014]"
315, , ,51401,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.5498318723289, 15.479891386028713]"
416, , ,51231,Roztoky u Jilemnice,Roztoky u Jilemnice,Roztoky u Jilemnice,742562,"[50.57094110424893, 15.502615464553644]"
