cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
11, , ,Rožná,Zlatkov,78039745,"[49.49078385632243, 16.256360529909067]"
10, , ,Rožná,Zlatkov,78027745,"[49.490276090925754, 16.255984782088063]"
86, , ,Rožná,Zlatkov,62275970010,"[49.49270743171048, 16.255581137676046]"
27, , ,Rožná,Rožná,75079745,"[49.47975833783574, 16.237037902106298]"
28, , ,Rožná,Rožná,74840745,"[49.47976424166441, 16.236995211122164]"
26, , ,Rožná,Rožná,75080745,"[49.47974349882215, 16.23708214386726]"
12, , ,Rožná,Rožná,75007745,"[49.47363894339212, 16.24389071730492]"
65, , ,Rožná,Rožná,0,"[49.484743372963024, 16.231741620094024]"
187, , ,Rožná,Rožná,0,"[49.49565192385135, 16.228234878796794]"
84, , ,Rožná,Zlatkov,50029329010,"[49.48707629608683, 16.253103169350453]"
206, , ,Rožná,Rožná,43433102010,"[49.47926165752198, 16.23926295043909]"
204, , ,Rožná,Rožná,33482946010,"[49.48160504464512, 16.236800709765077]"
108, , ,Rožná,Rožná,74815745,"[49.474345893775315, 16.244048234450666]"
107, , ,Rožná,Rožná,74815745,"[49.47444717491376, 16.24390346648619]"
79, , ,Rožná,Zlatkov,29786399010,"[49.4879961642655, 16.259708560500425]"
80, , ,Rožná,Zlatkov,29757374010,"[49.48768220911424, 16.25863777908188]"
48, , ,Rožná,Josefov,16385394010,"[49.47783442438291, 16.267105814368104]"
49, , ,Rožná,Josefov,26777358010,"[49.47786273830809, 16.266628739158318]"
78, , ,Rožná,Zlatkov,26561414010,"[49.48765937141277, 16.259558508828764]"
203, , ,Rožná,Rožná,26316287010,"[49.48277125280178, 16.241084618259517]"
76, , ,Rožná,Zlatkov,15917980010,"[49.48796982720576, 16.25922694840829]"
27, , ,Rožná,Rožná,74833745,"[49.477996341715546, 16.238301994102855]"
57, , ,Rožná,Rožná,74778745,"[49.47820233372263, 16.240238384555152]"
9, , ,Rožná,Josefov,71059745,"[49.48047223187216, 16.260760933746155]"
51, , ,Rožná,Zlatkov,78081745,"[49.49213224190598, 16.257130944710575]"
4, , ,Rožná,Rožná,74928745,"[49.471844103808515, 16.247659628101175]"
202, , ,Rožná,Rožná,24183580010,"[49.48312796364921, 16.239661546937718]"
143, , ,Rožná,Rožná,75065745,"[49.47510546019189, 16.241317232642622]"
4, , ,Rožná,Josefov,71072745,"[49.48168342432792, 16.258648530454792]"
12, , ,Rožná,Josefov,71037745,"[49.47989121422322, 16.261597572008426]"
27, , ,Rožná,Josefov,71039745,"[49.4737113064487, 16.259389675891146]"
1, , ,Rožná,Josefov,71040745,"[49.482238349094104, 16.257580227292095]"
14, , ,Rožná,Josefov,71048745,"[49.479398518270365, 16.269182394616255]"
37, , ,Rožná,Josefov,71034745,"[49.47371271776267, 16.25977825615019]"
22, , ,Rožná,Josefov,71079745,"[49.47826268331488, 16.265420775396244]"
3, , ,Rožná,Josefov,71080745,"[49.4816641383567, 16.258262981247732]"
110, , ,Rožná,Rožná,74825745,"[49.474853725195075, 16.240111039886205]"
149, , ,Rožná,Rožná,74897745,"[49.47475007066473, 16.241406651243356]"
81, , ,Rožná,Rožná,74935745,"[49.47761773631608, 16.23967317592418]"
90, , ,Rožná,Rožná,74804745,"[49.47956740084727, 16.239973775928625]"
152, , ,Rožná,Rožná,74909745,"[49.474753338377866, 16.240836706398138]"
48, , ,Rožná,Rožná,74933745,"[49.479518130805, 16.23869067960574]"
171, , ,Rožná,Rožná,75002745,"[49.474886184733464, 16.242271828472468]"
174, , ,Rožná,Rožná,75012745,"[49.473988709602644, 16.241635918940275]"
175, , ,Rožná,Rožná,75017745,"[49.474057315670265, 16.241707341865858]"
178, , ,Rožná,Rožná,75019745,"[49.47423834760299, 16.24195368495359]"
179, , ,Rožná,Rožná,75023745,"[49.474290092835375, 16.242041920092305]"
144, , ,Rožná,Rožná,75028745,"[49.47493538210237, 16.24109676190369]"
147, , ,Rožná,Rožná,74895745,"[49.47509224499955, 16.24187501910931]"
148, , ,Rožná,Rožná,74896745,"[49.47492216797192, 16.241654546501866]"
20, , ,Rožná,Zlatkov,78038745,"[49.492348020510306, 16.256496221494583]"
47, , ,Rožná,Zlatkov,78007745,"[49.492321670140214, 16.256014568481824]"
22, , ,Rožná,Zlatkov,78014745,"[49.487680893956615, 16.25652663921167]"
146, , ,Rožná,Rožná,74886745,"[49.48186902724398, 16.23903274223971]"
8, , ,Rožná,Zlatkov,78015745,"[49.48757958000321, 16.2565025137805]"
19, , ,Rožná,Rožná,74889745,"[49.478386078067814, 16.23867879040519]"
43, , ,Rožná,Rožná,74785745,"[49.483927082044765, 16.23171671666372]"
55, , ,Rožná,Rožná,74789745,"[49.48465901925904, 16.233298088622416]"
66, , ,Rožná,Rožná,74826745,"[49.47734508853479, 16.241623137230942]"
53, , ,Rožná,Zlatkov,78061745,"[49.49383010220305, 16.253391574144334]"
20, , ,Rožná,Rožná,74772745,"[49.47459166810942, 16.245891908386287]"
85, , ,Rožná,Rožná,74780745,"[49.473387123267656, 16.245878534857102]"
62, , ,Rožná,Rožná,75039745,"[49.47756038057673, 16.238280428289876]"
67, , ,Rožná,Rožná,74847745,"[49.47883763845435, 16.237683793928525]"
119, , ,Rožná,Rožná,75064745,"[49.477148044010335, 16.232685649786447]"
36, , ,Rožná,Josefov,71070745,"[49.481750060447, 16.25783143873583]"
19, , ,Rožná,Josefov,71078745,"[49.478327842523704, 16.264090165104378]"
18, , ,Rožná,Josefov,116193745,"[49.47850515619498, 16.263670630042192]"
163, , ,Rožná,Rožná,74989745,"[49.483053209408524, 16.23864668377242]"
13, , ,Rožná,Zlatkov,78013745,"[49.487327509888516, 16.256643402471877]"
98, , ,Rožná,Rožná,74809745,"[49.47896148146831, 16.243051029407198]"
33, , ,Rožná,Rožná,23158375010,"[49.47400159509618, 16.242425245189878]"
75, , ,Rožná,Zlatkov,16479629010,"[49.48945051884147, 16.256595210823587]"
74, , ,Rožná,Zlatkov,16066768010,"[49.488553320057804, 16.259778792188133]"
72, , ,Rožná,Rožná,74814745,"[49.472449328674415, 16.245555076004806]"
73, , ,Rožná,Zlatkov,17117047010,"[49.5056487612258, 16.259555570327827]"
72, , ,Rožná,Zlatkov,0,"[49.48859960942654, 16.259423508555475]"
71, , ,Rožná,Zlatkov,0,"[49.48837608846646, 16.259337190202846]"
198, , ,Rožná,Rožná,106965745,"[49.474268396789974, 16.242976118957447]"
32, , ,Rožná,Rožná,15792433010,"[49.475113777477695, 16.24081584454967]"
69, , ,Rožná,Zlatkov,15018831010,"[49.48773333930966, 16.25908731480688]"
70, , ,Rožná,Zlatkov,15247025010,"[49.48831797497703, 16.259777863661007]"
9, , ,Rožná,Rožná,75025745,"[49.48532434051281, 16.247586482735883]"
7, , ,Rožná,Zlatkov,78104745,"[49.49020781303825, 16.255217165744508]"
6, , ,Rožná,Josefov,71082745,"[49.48100255593878, 16.259828051279154]"
32, , ,Rožná,Zlatkov,78073745,"[49.4885824146909, 16.256107411299208]"
114, , ,Rožná,Rožná,74973745,"[49.48058236100152, 16.237130994563632]"
154, , ,Rožná,Rožná,74908745,"[49.47199801682587, 16.242962816050536]"
25, , ,Rožná,Rožná,74829745,"[49.47816210629701, 16.23752423313387]"
165, , ,Rožná,Rožná,75027745,"[49.477967862114106, 16.24220799126381]"
20, , ,Rožná,Rožná,74946745,"[49.47866328093568, 16.238507082287654]"
96, , ,Rožná,Rožná,74885745,"[49.48042808897787, 16.238966387432246]"
74, , ,Rožná,Rožná,75031745,"[49.4740636461759, 16.244605022995938]"
