cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
51, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.61465476175103, 13.905647353081884]"
10, , ,41501,Rtyně nad Bílinou,Velvěty,Velvěty,743127,"[50.60511214977025, 13.89162887577162]"
76, , ,41762,Rtyně nad Bílinou,Rtyně nad Bílinou,Rtyně nad Bílinou,743101,"[50.60039988931862, 13.910273416484513]"
13, , ,41501,Rtyně nad Bílinou,Vrahožily,Vrahožily,743101,"[50.59989454027165, 13.924757155141519]"
26, , ,41501,Rtyně nad Bílinou,Malhostice,Malhostice,743097,"[50.610175531714454, 13.923952079511347]"
23, , ,41501,Rtyně nad Bílinou,Vrahožily,Vrahožily,743101,"[50.59866933997177, 13.926632154494508]"
77, , ,41501,Rtyně nad Bílinou,Velvěty,Velvěty,743127,"[50.60573618855793, 13.890416285503017]"
35, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.61400004666211, 13.90321169300758]"
11, , ,41501,Rtyně nad Bílinou,Vrahožily,Vrahožily,743101,"[50.59971429495833, 13.925069200192656]"
37, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.61374895650468, 13.902654890236573]"
23, , ,41501,Rtyně nad Bílinou,Kozlíky,Kozlíky,743127,"[50.615516276887575, 13.884763373060036]"
42, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.614152814751286, 13.903391109384572]"
59, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.613814023081275, 13.904710043974532]"
4, , ,41501,Rtyně nad Bílinou,Vrahožily,Vrahožily,743101,"[50.59979787589979, 13.926077801574571]"
34, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.613753802620124, 13.905865989826014]"
39, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.61340414017846, 13.903547042380016]"
1, , ,41501,Rtyně nad Bílinou,Vrahožily,Vrahožily,743101,"[50.59944938847689, 13.92594276323158]"
22, , ,41501,Rtyně nad Bílinou,Vrahožily,Vrahožily,743101,"[50.599478014015226, 13.926649847823235]"
41, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.61327174135752, 13.903391550150548]"
14, , ,41501,Rtyně nad Bílinou,Vrahožily,Vrahožily,743101,"[50.59988802370847, 13.924587372802696]"
15, , ,41501,Rtyně nad Bílinou,Vrahožily,Vrahožily,743101,"[50.60001296900763, 13.924958640389573]"
13, , ,41501,Rtyně nad Bílinou,Kozlíky,Kozlíky,743127,"[50.615262127326645, 13.884864089852432]"
7, , ,41501,Rtyně nad Bílinou,Vrahožily,Vrahožily,743101,"[50.59976265086376, 13.926977766313934]"
40, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.613405091373544, 13.903261298728037]"
38, , ,41501,Rtyně nad Bílinou,Malhostice,Malhostice,743097,"[50.60963746347681, 13.925016286548015]"
74, , ,41501,Rtyně nad Bílinou,Velvěty,Velvěty,743127,"[50.60992217064359, 13.88478105426262]"
24, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.613648679755464, 13.903934016889997]"
23, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.61372758154769, 13.904001738262021]"
21, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.613931778728535, 13.907010481189328]"
19, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.614033511442024, 13.907030189486123]"
17, , ,41501,Rtyně nad Bílinou,Sezemice,Sezemice,743127,"[50.61406792488695, 13.90365311078262]"
65, , ,41762,Rtyně nad Bílinou,Rtyně nad Bílinou,Rtyně nad Bílinou,743101,"[50.60042638285597, 13.910151650643456]"
163, , ,41762,Rtyně nad Bílinou,Rtyně nad Bílinou,Rtyně nad Bílinou,743101,"[50.60062768624973, 13.913928757665966]"
