cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
189, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.387472337399224, 15.237261504560268]"
12, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39234865546527, 15.23427752717137]"
36, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38722715398135, 15.232700293470254]"
156, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.393239047149194, 15.232817998076618]"
17, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38993746352071, 15.236230288505775]"
172, , ,39301,Rynárec,Rynárec,Rynárec,744646,"[49.38382312579614, 15.235412024708422]"
157, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38740720584423, 15.231496691166395]"
117, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38716117461178, 15.23060372134064]"
80, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.388621953677195, 15.233582519093801]"
192, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38798682046114, 15.233083226564318]"
61, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38874502778274, 15.23381816460027]"
72, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39140937868522, 15.233982696678577]"
144, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38681821753996, 15.233595600076605]"
161, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38569676228864, 15.233077201781693]"
155, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38379432813675, 15.235611979384815]"
252, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.3886752032587, 15.237970286294724]"
4, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.37403923331707, 15.22955412227891]"
37, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.386993311899126, 15.232972381187318]"
222, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.386841900532836, 15.23717322235501]"
77, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39205044801959, 15.233733397195804]"
199, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38731444905806, 15.23027810333979]"
176, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38946298407641, 15.237192746196941]"
154, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.3893513327583, 15.24165764489211]"
145, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.385994692614986, 15.231856607715649]"
131, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38606385420031, 15.232652793306286]"
19, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38972454496271, 15.235531340303128]"
68, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38739911098898, 15.232736645433548]"
7, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.37452424801598, 15.23629831216474]"
168, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38539785900437, 15.23417648070452]"
26, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.389150557606044, 15.23245166424586]"
179, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.392866776115405, 15.233630622022497]"
259, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38591515521021, 15.23286823716165]"
11, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38982818656947, 15.234619107639777]"
221, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38701682453659, 15.236986583577963]"
250, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38879299603527, 15.237530902035374]"
100, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39016188672456, 15.234530932362444]"
165, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.385815449865895, 15.23352625162205]"
82, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38812694022622, 15.236751387047205]"
56, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.392106588631755, 15.234988779738206]"
246, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38699170549284, 15.238657597717648]"
203, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38459186369442, 15.228154377050801]"
35, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38757928879753, 15.233359425252091]"
30, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38784663932883, 15.232289676209282]"
108, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38782983681997, 15.23083848957096]"
69, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38814328501832, 15.233000119456442]"
18, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.3900401067246, 15.235772163517417]"
148, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.393444704635435, 15.232589807346466]"
2, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.387162231894536, 15.235592426797004]"
60, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.387432125959585, 15.230084352598599]"
92, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39048742070716, 15.235344403769211]"
191, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38816263381518, 15.237574089419107]"
200, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38645903771748, 15.230706322004577]"
177, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38948781969352, 15.237493407291646]"
54, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38921841611338, 15.235768325928415]"
188, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.387668226712684, 15.23736376767595]"
159, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38533223740353, 15.228996508682503]"
99, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.385842813780194, 15.230000705897412]"
67, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.391752167243496, 15.235156374123243]"
31, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.387047856935524, 15.233454708537565]"
241, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.387420568620634, 15.239240938715168]"
171, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39314847456525, 15.231007002292559]"
146, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38574507512243, 15.23220867169332]"
62, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.388943396861556, 15.232509200179246]"
158, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39281064995396, 15.233280463911688]"
15, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.391272910553845, 15.23600608115453]"
41, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38393510752587, 15.235368656022489]"
102, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.3857343571982, 15.22969421321337]"
262, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38796539108628, 15.231870923016679]"
219, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38620095805096, 15.236436636325376]"
162, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38550976333189, 15.233446687179239]"
151, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38836746191771, 15.235479410630454]"
85, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39117197462981, 15.23538773912931]"
42, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38625842587837, 15.233978371358221]"
175, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38804519427096, 15.233416668918638]"
242, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38749037470939, 15.238769216263576]"
95, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39038231482013, 15.234401403061375]"
143, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.386070619630516, 15.233200747805341]"
238, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38771405221458, 15.239392330065128]"
257, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39041416439346, 15.232578850481111]"
29, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.388057551054, 15.232688783862786]"
81, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38625461575115, 15.230971320708704]"
105, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38563609991042, 15.230917740413945]"
93, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39194696211172, 15.235045700132329]"
86, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.3909052068568, 15.235532360730387]"
118, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38663985521471, 15.23039591529077]"
109, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38560146702268, 15.229402458637594]"
210, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38482698240841, 15.22779372659998]"
216, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.393452762525506, 15.231562032032485]"
111, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38646580441126, 15.231556826286697]"
97, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.390658201011156, 15.235641906360971]"
78, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38853116323604, 15.233374493409363]"
5, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38910555073951, 15.235554160633052]"
32, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38764345325945, 15.232394204292547]"
53, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.388082851876895, 15.23562748272706]"
43, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38629063538446, 15.233572948082555]"
22, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38911724276103, 15.23498260047641]"
21, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.389348396855205, 15.23525714040387]"
180, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.391287370389456, 15.234926016483648]"
166, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38572099336461, 15.233713678905131]"
34, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38778048843466, 15.233394274216813]"
261, , ,39301,Rynárec,Rynárec,Rynárec,744646,"[49.3962360973498, 15.241414543308686]"
66, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39447106892308, 15.231450863174768]"
10, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.3763159478108, 15.23099460712037]"
196, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39099036232488, 15.235886181456587]"
164, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38514388224189, 15.23383641697791]"
233, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38782544417425, 15.238107229112794]"
12, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39028798695088, 15.237963138145563]"
13, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.390241704039404, 15.237402805866463]"
129, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.386177630544665, 15.232479804030193]"
51, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38940162963349, 15.234791242509859]"
130, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38612118108718, 15.232564478138949]"
122, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38702958943985, 15.231985643122682]"
90, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.388163217758716, 15.236146760530344]"
124, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38692265286978, 15.232117461164284]"
215, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39329850315008, 15.231780395948102]"
195, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39025171018889, 15.235096984270136]"
25, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38907798153946, 15.233644180933156]"
181, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39196625273173, 15.233932049587857]"
225, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38629578822461, 15.237584538985065]"
163, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38531248569633, 15.233582131947706]"
49, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38934993890003, 15.234686712114598]"
167, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38554503028296, 15.233948010938535]"
230, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38729028912172, 15.238322034700323]"
220, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.3920375042813, 15.234351198545536]"
98, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38606767800954, 15.230519126724563]"
178, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.392685869995155, 15.233415755101506]"
183, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38747171252087, 15.234593538015023]"
194, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38974779102193, 15.235190668113093]"
6, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.3742722120036, 15.23094660271249]"
245, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38694189100032, 15.239042134137868]"
91, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.390823802587626, 15.235205307305495]"
208, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.384535003430244, 15.227137987380454]"
254, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.388619856316296, 15.238397564355553]"
113, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38680355854923, 15.230155889089001]"
1, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.387214594827405, 15.236267898479078]"
212, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39234675133367, 15.234653794025428]"
38, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38677891787486, 15.233339414062922]"
193, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38726429714142, 15.231743789780822]"
59, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38877883169376, 15.234945746205247]"
33, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.386815342027624, 15.230819233763741]"
9, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38870155230562, 15.236423939648665]"
150, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39248128026564, 15.233490150169377]"
84, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39152398874636, 15.23523269597425]"
140, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38994544327646, 15.232733217632115]"
45, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38590737139741, 15.231373706372993]"
134, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39018344181161, 15.237136391210807]"
202, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38487655966327, 15.228418474541375]"
121, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.387079726712955, 15.23193426464731]"
126, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38682350763247, 15.232233882863454]"
248, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.386713587385486, 15.238253314597674]"
28, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38822307675914, 15.232114332340263]"
152, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.392985848057336, 15.233138864750861]"
119, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.386401832312856, 15.229901423834203]"
11, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.37878803207838, 15.23173750883719]"
217, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39366220273945, 15.231509043633356]"
147, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38633016122948, 15.234051238857536]"
88, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39017624190909, 15.23551318641444]"
73, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.391805177280666, 15.233836508442918]"
135, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.392263802450756, 15.233984461057396]"
27, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38889097719342, 15.23217654137774]"
47, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38524204520411, 15.231235204802596]"
94, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39065060227826, 15.234260925302175]"
251, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38904415469676, 15.237976386898621]"
211, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38504279362196, 15.228045780882129]"
104, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.39146776535775, 15.235676697976352]"
234, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.387842594070335, 15.23853433276474]"
190, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38791749335829, 15.237575649407527]"
256, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.388543279475385, 15.238787301047525]"
260, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38562734344598, 15.230417104244163]"
123, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.38698058166312, 15.232050687088952]"
153, , ,39401,Rynárec,Rynárec,Rynárec,744646,"[49.385473522055165, 15.22915736927579]"
