cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
104, , ,Sazená,Sazená,56475231,"[50.30878964248237, 14.285945462405527]"
157, , ,Sazená,Sazená,57667681010,"[50.30696073046574, 14.280329604947932]"
154, , ,Sazená,Sazená,32604945010,"[50.30727280379345, 14.279453662278705]"
50, , ,Sazená,Sazená,56351231,"[50.30912826871256, 14.285895966598753]"
121, , ,Sazená,Sazená,56446231,"[50.3101361487572, 14.285492217866292]"
148, , ,Sazená,Sazená,15319233010,"[50.30392559315219, 14.28578145296042]"
222, , ,Sazená,Sazená,122327231,"[50.30765862656468, 14.28580490634512]"
68, , ,Sazená,Sazená,16493543010,"[50.30485151346777, 14.28446012124527]"
146, , ,Sazená,Sazená,122742231,"[50.308157736117266, 14.284888265734198]"
15, , ,Sazená,Sazená,56403231,"[50.30947288231121, 14.285282271449919]"
56, , ,Sazená,Sazená,56385231,"[50.303844388602016, 14.286295204615008]"
151, , ,Sazená,Sazená,122150231,"[50.30786615825216, 14.285079333182338]"
147, , ,Sazená,Sazená,123566231,"[50.308710240225935, 14.284569498631965]"
145, , ,Sazená,Sazená,14710847010,"[50.30823660509981, 14.285466431765371]"
139, , ,Sazená,Sazená,56501231,"[50.30622374684245, 14.288478885893444]"
138, , ,Sazená,Sazená,56492231,"[50.307644420486234, 14.279916580223668]"
17, , ,Sazená,Sazená,56409231,"[50.3046860668934, 14.286796260516246]"
26, , ,Sazená,Sazená,56460231,"[50.30946089216587, 14.28485934441778]"
27, , ,Sazená,Sazená,56390231,"[50.30458061180518, 14.284041174337167]"
2, , ,Sazená,Sazená,56402231,"[50.30583701076756, 14.28928891945452]"
6, , ,Sazená,Sazená,56406231,"[50.30519752877616, 14.287325141448283]"
31, , ,Sazená,Sazená,56372231,"[50.30501102220967, 14.285484739125978]"
32, , ,Sazená,Sazená,56398231,"[50.30515023273844, 14.285742440353747]"
33, , ,Sazená,Sazená,56464231,"[50.30523406237179, 14.286015319230806]"
8, , ,Sazená,Sazená,56407231,"[50.30464218634813, 14.28742917174392]"
10, , ,Sazená,Sazená,56472231,"[50.30424603955501, 14.287371265588929]"
19, , ,Sazená,Sazená,56491231,"[50.30437642689828, 14.283704508815136]"
34, , ,Sazená,Sazená,56465231,"[50.3052435436535, 14.286491481311115]"
3, , ,Sazená,Sazená,56383231,"[50.30535511152248, 14.288640612034653]"
11, , ,Sazená,Sazená,56487231,"[50.30375143576351, 14.287681758654005]"
13, , ,Sazená,Sazená,56400231,"[50.30394384308245, 14.287218780662531]"
18, , ,Sazená,Sazená,56410231,"[50.304844824017195, 14.286843905148753]"
21, , ,Sazená,Sazená,56412231,"[50.30473502260593, 14.285543275519817]"
22, , ,Sazená,Sazená,56413231,"[50.30462821358376, 14.285241811933675]"
35, , ,Sazená,Sazená,56419231,"[50.30533980789985, 14.286876179454572]"
37, , ,Sazená,Sazená,56394231,"[50.307015022464235, 14.28801804796893]"
38, , ,Sazená,Sazená,56389231,"[50.30682557297496, 14.28677779060381]"
68, , ,Sazená,Sazená,56461231,"[50.30954720343805, 14.284625368845658]"
93, , ,Sazená,Sazená,56430231,"[50.30379794234531, 14.288131419872764]"
119, , ,Sazená,Sazená,56458231,"[50.30386594699847, 14.284483533120863]"
126, , ,Sazená,Sazená,56448231,"[50.30693393471488, 14.28384717091119]"
128, , ,Sazená,Sazená,56364231,"[50.31050652361001, 14.284865099723776]"
131, , ,Sazená,Sazená,56451231,"[50.3036345156212, 14.28139917884645]"
5, , ,Sazená,Sazená,56470231,"[50.30549214369824, 14.287974234287972]"
9, , ,Sazená,Sazená,56365231,"[50.30441881978039, 14.287360440112508]"
36, , ,Sazená,Sazená,56404231,"[50.30551045084154, 14.287309035982647]"
40, , ,Sazená,Sazená,56411231,"[50.30695648386607, 14.281770519407985]"
41, , ,Sazená,Sazená,56347231,"[50.3079696526199, 14.286418133589384]"
45, , ,Sazená,Sazená,56421231,"[50.3069443695599, 14.291454674916624]"
47, , ,Sazená,Sazená,56392231,"[50.306699428003476, 14.291444195231787]"
55, , ,Sazená,Sazená,56373231,"[50.30386500091951, 14.286578863390162]"
64, , ,Sazená,Sazená,56424231,"[50.306657984542255, 14.28824970464996]"
79, , ,Sazená,Sazená,56435231,"[50.307205072193376, 14.285235337908045]"
82, , ,Sazená,Sazená,56405231,"[50.30473117466757, 14.287342049082985]"
96, , ,Sazená,Sazená,56456231,"[50.30327014338915, 14.288991252984461]"
99, , ,Sazená,Sazená,56483231,"[50.309359075369954, 14.285869097393354]"
107, , ,Sazená,Sazená,56444231,"[50.3065727220497, 14.28982544170119]"
115, , ,Sazená,Sazená,56380231,"[50.30716538669795, 14.28495056802559]"
116, , ,Sazená,Sazená,56442231,"[50.30386214251497, 14.283773276077916]"
127, , ,Sazená,Sazená,56346231,"[50.30677341742235, 14.283106080336918]"
137, , ,Sazená,Sazená,56484231,"[50.30617423349101, 14.288902413231886]"
61, , ,Sazená,Sazená,56423231,"[50.303453572884926, 14.288201986944475]"
72, , ,Sazená,Sazená,56367231,"[50.303516263747476, 14.287060994595967]"
73, , ,Sazená,Sazená,56345231,"[50.305094973273214, 14.285183691322544]"
75, , ,Sazená,Sazená,56358231,"[50.30334555781189, 14.285613077779312]"
80, , ,Sazená,Sazená,56426231,"[50.30497926828991, 14.285076360277804]"
87, , ,Sazená,Sazená,56384231,"[50.31003946246288, 14.285814355939442]"
92, , ,Sazená,Sazená,56429231,"[50.3099498780342, 14.28580636329592]"
101, , ,Sazená,Sazená,56348231,"[50.303202131983085, 14.289166921801769]"
109, , ,Sazená,Sazená,56381231,"[50.302822491959205, 14.290178453174205]"
111, , ,Sazená,Sazená,56343231,"[50.30699472898622, 14.288371296185787]"
117, , ,Sazená,Sazená,56443231,"[50.30705897343557, 14.286259502706937]"
123, , ,Sazená,Sazená,56445231,"[50.303763210121176, 14.282968646623244]"
134, , ,Sazená,Sazená,56467231,"[50.30717831253206, 14.280860809881053]"
1, , ,Sazená,Sazená,56500231,"[50.306033566125855, 14.289986728999247]"
12, , ,Sazená,Sazená,56453231,"[50.303607168452714, 14.287453791260376]"
28, , ,Sazená,Sazená,56416231,"[50.304715085332745, 14.284202102294271]"
39, , ,Sazená,Sazená,56486231,"[50.30660754829768, 14.289257697766057]"
51, , ,Sazená,Sazená,56344231,"[50.303644093460356, 14.287293956251737]"
65, , ,Sazená,Sazená,56490231,"[50.306757748299695, 14.29284721884073]"
67, , ,Sazená,Sazená,56425231,"[50.30656375236276, 14.288603453305194]"
70, , ,Sazená,Sazená,56357231,"[50.30670631855124, 14.288606012421482]"
83, , ,Sazená,Sazená,56353231,"[50.306995672279086, 14.287474988736031]"
98, , ,Sazená,Sazená,56359231,"[50.30638396681159, 14.287813967632818]"
108, , ,Sazená,Sazená,56369231,"[50.30778538830615, 14.286388798119578]"
120, , ,Sazená,Sazená,56439231,"[50.308097808080824, 14.286351816439247]"
135, , ,Sazená,Sazená,56462231,"[50.303908346517574, 14.284945002932195]"
43, , ,Sazená,Sazená,56420231,"[50.306689018178126, 14.290802811619262]"
46, , ,Sazená,Sazená,56362231,"[50.30742067357963, 14.291974409149104]"
52, , ,Sazená,Sazená,56371231,"[50.307131488578534, 14.287157963816282]"
54, , ,Sazená,Sazená,56387231,"[50.30356218820658, 14.286766112432716]"
59, , ,Sazená,Sazená,56391231,"[50.30358172199129, 14.2859287487086]"
63, , ,Sazená,Sazená,56355231,"[50.307081602852364, 14.28767385787873]"
78, , ,Sazená,Sazená,56386231,"[50.30645459398714, 14.287692002480508]"
85, , ,Sazená,Sazená,56428231,"[50.309794139993166, 14.285833188221122]"
90, , ,Sazená,Sazená,56366231,"[50.30927523849711, 14.285878706081089]"
105, , ,Sazená,Sazená,56433231,"[50.30333962983998, 14.288674522265271]"
110, , ,Sazená,Sazená,56441231,"[50.307328545248524, 14.286133053978245]"
112, , ,Sazená,Sazená,56350231,"[50.30699055400112, 14.288508562076657]"
122, , ,Sazená,Sazená,56447231,"[50.3037338967705, 14.28233367883592]"
