cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
36, , ,Sebečice,Sebečice,318440408,"[49.868817701229645, 13.691906995991754]"
46, , ,Sebečice,Sebečice,15109308010,"[49.86871008168508, 13.695067342474895]"
41, , ,Sebečice,Sebečice,318391408,"[49.87021074727257, 13.69383891082327]"
10, , ,Sebečice,Sebečice,318394408,"[49.86730514575091, 13.698158058986344]"
8, , ,Sebečice,Sebečice,318389408,"[49.86761955106023, 13.697833219194527]"
32, , ,Sebečice,Sebečice,318447408,"[49.868352382091906, 13.694938056468063]"
15, , ,Sebečice,Sebečice,318397408,"[49.867282716420306, 13.697446052960396]"
13, , ,Sebečice,Sebečice,318395408,"[49.86723808048942, 13.697835891223784]"
14, , ,Sebečice,Sebečice,318396408,"[49.867405649266395, 13.697305512150201]"
3, , ,Sebečice,Sebečice,318387408,"[49.867818407677404, 13.698870572735785]"
48, , ,Sebečice,Sebečice,318379408,"[49.86864081269623, 13.69529407766822]"
44, , ,Sebečice,Sebečice,318380408,"[49.86857943635634, 13.693887852622582]"
1, , ,Sebečice,Sebečice,318381408,"[49.86978607689315, 13.690434377968222]"
11, , ,Sebečice,Sebečice,318388408,"[49.86753863016865, 13.69755639509272]"
2, , ,Sebečice,Sebečice,318383408,"[49.86827542595954, 13.698611626876502]"
1, , ,Sebečice,Sebečice,318384408,"[49.86848919880039, 13.698661283994488]"
16, , ,Sebečice,Sebečice,318398408,"[49.867286810858, 13.697107648430986]"
17, , ,Sebečice,Sebečice,318399408,"[49.867129609335095, 13.697270070093452]"
25, , ,Sebečice,Sebečice,318459408,"[49.86931449999695, 13.69092173018237]"
13, , ,Sebečice,Sebečice,318458408,"[49.86945203096777, 13.692268409180206]"
18, , ,Sebečice,Sebečice,318412408,"[49.86893450875311, 13.692274061393219]"
7, , ,Sebečice,Sebečice,318419408,"[49.870417960426664, 13.692961936144794]"
45, , ,Sebečice,Sebečice,318420408,"[49.86842326061144, 13.6939656859277]"
8, , ,Sebečice,Sebečice,318443408,"[49.87047672742113, 13.693482887901808]"
22, , ,Sebečice,Sebečice,318411408,"[49.869353153976995, 13.691517571809499]"
28, , ,Sebečice,Sebečice,318445408,"[49.868379948722335, 13.694369298723954]"
20, , ,Sebečice,Sebečice,318402408,"[49.86701486420915, 13.696733804939134]"
35, , ,Sebečice,Sebečice,318430408,"[49.86863075679525, 13.694902644756114]"
5, , ,Sebečice,Sebečice,318431408,"[49.87024588703407, 13.692396541319571]"
12, , ,Sebečice,Sebečice,318432408,"[49.86978742636201, 13.69302150400372]"
35, , ,Sebečice,Sebečice,318433408,"[49.86949343685871, 13.691654288188772]"
28, , ,Sebečice,Sebečice,318434408,"[49.86747731371106, 13.699201495218071]"
29, , ,Sebečice,Sebečice,318437408,"[49.86737917927936, 13.699125454935611]"
18, , ,Sebečice,Sebečice,318400408,"[49.86717161939258, 13.696852708467457]"
49, , ,Sebečice,Sebečice,318416408,"[49.8684137644663, 13.695486512723452]"
2, , ,Sebečice,Sebečice,318417408,"[49.870306968688084, 13.691131052445254]"
10, , ,Sebečice,Sebečice,318404408,"[49.870068425309235, 13.693013605324388]"
17, , ,Sebečice,Sebečice,318407408,"[49.86875077741415, 13.692920664053919]"
15, , ,Sebečice,Sebečice,318422408,"[49.86935870710861, 13.692528768627072]"
38, , ,Sebečice,Sebečice,318424408,"[49.87047220689465, 13.693244860782162]"
4, , ,Sebečice,Sebečice,318425408,"[49.870253904319156, 13.692099403450435]"
33, , ,Sebečice,Sebečice,318427408,"[49.868136273568254, 13.694959256569357]"
29, , ,Sebečice,Sebečice,318429408,"[49.868133217984855, 13.694355306020515]"
31, , ,Sebečice,Sebečice,318455408,"[49.87014307304728, 13.691604403651807]"
6, , ,Sebečice,Sebečice,318456408,"[49.87044989520795, 13.693868694647728]"
26, , ,Sebečice,Sebečice,318438408,"[49.86743169009236, 13.698818188626554]"
31, , ,Sebečice,Sebečice,318439408,"[49.86859245613209, 13.698314308097194]"
24, , ,Sebečice,Sebečice,318436408,"[49.867640378927334, 13.698433104563216]"
20, , ,Sebečice,Sebečice,318460408,"[49.86903774688249, 13.69192706868584]"
23, , ,Sebečice,Sebečice,318461408,"[49.86921257754286, 13.691282489309806]"
42, , ,Sebečice,Sebečice,318442408,"[49.86797937569214, 13.694362296710299]"
43, , ,Sebečice,Sebečice,318465408,"[49.87027009643064, 13.692841006640219]"
12, , ,Sebečice,Sebečice,368319408,"[49.86729612349815, 13.69768203513672]"
52, , ,Sebečice,Sebečice,441822408,"[49.86757343968476, 13.698588990329863]"
51, , ,Sebečice,Sebečice,433193408,"[49.86837526953955, 13.695368743497777]"
16, , ,Sebečice,Sebečice,318421408,"[49.86917220172942, 13.692669779446625]"
6, , ,Sebečice,Sebečice,318392408,"[49.86773658757299, 13.699156405420396]"
36, , ,Sebečice,Sebečice,318382408,"[49.86962684727513, 13.690766040494482]"
27, , ,Sebečice,Sebečice,318415408,"[49.86970605186681, 13.692168230463688]"
40, , ,Sebečice,Sebečice,318375408,"[49.86851114782591, 13.696603281344638]"
24, , ,Sebečice,Sebečice,318413408,"[49.869327626824806, 13.691059353292237]"
21, , ,Sebečice,Sebečice,318376408,"[49.86912946362916, 13.691554580789978]"
4, , ,Sebečice,Sebečice,318390408,"[49.86785193897911, 13.699031659162648]"
21, , ,Sebečice,Sebečice,318403408,"[49.866897336841774, 13.69654970600157]"
22, , ,Sebečice,Sebečice,318408408,"[49.86866677828239, 13.694613188666612]"
50, , ,Sebečice,Sebečice,318409408,"[49.8704220402852, 13.694339107656672]"
11, , ,Sebečice,Sebečice,318405408,"[49.87012558811779, 13.693422421971244]"
47, , ,Sebečice,Sebečice,318374408,"[49.86863774595274, 13.695547888293053]"
19, , ,Sebečice,Sebečice,318377408,"[49.869093308418044, 13.692223746348592]"
25, , ,Sebečice,Sebečice,318435408,"[49.86755388696233, 13.698860616044273]"
7, , ,Sebečice,Sebečice,318385408,"[49.86772957729318, 13.699368924801982]"
26, , ,Sebečice,Sebečice,318410408,"[49.86825565369621, 13.697069369948892]"
5, , ,Sebečice,Sebečice,318386408,"[49.86790457225532, 13.699202449178559]"
19, , ,Sebečice,Sebečice,318401408,"[49.867060206235635, 13.69701874365654]"
9, , ,Sebečice,Sebečice,318457408,"[49.870584052126205, 13.693655260756882]"
9, , ,Sebečice,Sebečice,318393408,"[49.8674110253307, 13.697838614442032]"
20, , ,Sebečice,Biskoupky,300556408,"[49.87492620023718, 13.680484741847726]"
10, , ,Sebečice,Biskoupky,300535408,"[49.8757374333627, 13.682127654675599]"
16, , ,Sebečice,Biskoupky,300526408,"[49.874555042190465, 13.680119534621548]"
15, , ,Sebečice,Biskoupky,300527408,"[49.87528441544511, 13.68119044963163]"
12, , ,Sebečice,Biskoupky,300524408,"[49.87547230887565, 13.681921029042096]"
21, , ,Sebečice,Biskoupky,300528408,"[49.87475507068319, 13.678597099596999]"
19, , ,Sebečice,Biskoupky,300553408,"[49.87391157683282, 13.67928215774916]"
14, , ,Sebečice,Biskoupky,300554408,"[49.875236194761136, 13.68163745530316]"
2, , ,Sebečice,Biskoupky,300543408,"[49.874356692250224, 13.682611966745574]"
36, , ,Sebečice,Biskoupky,300544408,"[49.87493095291907, 13.679963289106055]"
27, , ,Sebečice,Biskoupky,300545408,"[49.876133544969306, 13.682754402642198]"
23, , ,Sebečice,Biskoupky,300536408,"[49.874607287934126, 13.678096455594543]"
26, , ,Sebečice,Biskoupky,300538408,"[49.87504797959142, 13.68204613419407]"
1, , ,Sebečice,Biskoupky,300540408,"[49.87441944676164, 13.683174238907737]"
9, , ,Sebečice,Biskoupky,300529408,"[49.87584972871068, 13.682256696356273]"
8, , ,Sebečice,Biskoupky,300530408,"[49.875988708732955, 13.682379640163697]"
23, , ,Sebečice,Biskoupky,300532408,"[49.874082089985514, 13.678497800935238]"
18, , ,Sebečice,Biskoupky,300533408,"[49.8737532838956, 13.678671414478073]"
13, , ,Sebečice,Biskoupky,300552408,"[49.87535243199868, 13.681807785833648]"
3, , ,Sebečice,Biskoupky,300546408,"[49.87433830055146, 13.682419277600628]"
30, , ,Sebečice,Biskoupky,300549408,"[49.87362905974047, 13.67879825799891]"
17, , ,Sebečice,Biskoupky,300555408,"[49.874235127432165, 13.679053494254058]"
7, , ,Sebečice,Biskoupky,300534408,"[49.87608452760697, 13.68252651271872]"
53, , ,Sebečice,Sebečice,21579973010,"[49.86809909950622, 13.693139734674228]"
4, , ,Sebečice,Biskoupky,300542408,"[49.8746971397151, 13.682334599867024]"
14, , ,Sebečice,Sebečice,318464408,"[49.868839107861255, 13.691691180871063]"
34, , ,Sebečice,Sebečice,318378408,"[49.86948725546369, 13.692102169568214]"
5, , ,Sebečice,Biskoupky,300548408,"[49.87471249002818, 13.682530657613492]"
6, , ,Sebečice,Biskoupky,300547408,"[49.87474634481049, 13.682790133734386]"
11, , ,Sebečice,Biskoupky,300560408,"[49.87562776537578, 13.682026141317232]"
28, , ,Sebečice,Biskoupky,60241250010,"[49.87552015455595, 13.68006094526723]"
29, , ,Sebečice,Biskoupky,61525709010,"[49.874491225478565, 13.679481559524682]"
