cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
104, , ,Sedlejov,Sedlejov,62106780010,"[49.22655664897387, 15.50059256424074]"
87, , ,Sedlejov,Sedlejov,50128739,"[49.232575402704136, 15.492483198623594]"
100, , ,Sedlejov,Sedlejov,62035737010,"[49.22652480874492, 15.49995321479916]"
95, , ,Sedlejov,Sedlejov,61063572010,"[49.23258802124736, 15.491523701328052]"
105, , ,Sedlejov,Sedlejov,60650344010,"[49.22666450096276, 15.500398425473577]"
97, , ,Sedlejov,Sedlejov,49867275010,"[49.22974520220892, 15.496874687829006]"
85, , ,Sedlejov,Sedlejov,49144387010,"[49.23277066180378, 15.491021178185045]"
38, , ,Sedlejov,Sedlejov,37489120010,"[49.22550563875712, 15.497781762961617]"
92, , ,Sedlejov,Sedlejov,26638404010,"[49.23203882877572, 15.492058045482286]"
93, , ,Sedlejov,Sedlejov,26602380010,"[49.23191895027696, 15.491582515903904]"
96, , ,Sedlejov,Sedlejov,26609942010,"[49.227091369816435, 15.498908762322582]"
86, , ,Sedlejov,Sedlejov,49808739,"[49.23176860937387, 15.492302530819119]"
91, , ,Sedlejov,Sedlejov,26456288010,"[49.232489322084284, 15.491240093251148]"
94, , ,Sedlejov,Sedlejov,41947056010,"[49.23220908068467, 15.491472634460436]"
67, , ,Sedlejov,Sedlejov,25402739,"[49.23029090634373, 15.49397758285469]"
68, , ,Sedlejov,Sedlejov,25384739,"[49.22766597145175, 15.499630866569705]"
69, , ,Sedlejov,Sedlejov,25394739,"[49.23049384809729, 15.494022451809123]"
70, , ,Sedlejov,Sedlejov,25399739,"[49.23104253234254, 15.494085354245774]"
71, , ,Sedlejov,Sedlejov,25421739,"[49.230905770587796, 15.494636777001295]"
72, , ,Sedlejov,Sedlejov,25449739,"[49.227994925979196, 15.497078992297624]"
73, , ,Sedlejov,Sedlejov,25411739,"[49.23001148213475, 15.494445130275977]"
74, , ,Sedlejov,Sedlejov,25447739,"[49.23051746143768, 15.494765085602772]"
75, , ,Sedlejov,Sedlejov,25530739,"[49.22769360236112, 15.498961657130463]"
76, , ,Sedlejov,Sedlejov,25452739,"[49.23034582675093, 15.494658992153648]"
77, , ,Sedlejov,Sedlejov,45039739,"[49.22998525278778, 15.494906597798423]"
78, , ,Sedlejov,Sedlejov,25453739,"[49.230196980801956, 15.495060495635393]"
79, , ,Sedlejov,Sedlejov,25456739,"[49.23016636528655, 15.494568204766464]"
80, , ,Sedlejov,Sedlejov,25454739,"[49.23040431538692, 15.495159881871496]"
82, , ,Sedlejov,Sedlejov,42727739,"[49.23110102137698, 15.492787722088911]"
83, , ,Sedlejov,Sedlejov,25423739,"[49.22810230778713, 15.49683747704803]"
61, , ,Sedlejov,Sedlejov,39545739,"[49.23172715136911, 15.493361785990379]"
89, , ,Sedlejov,Sedlejov,49235739,"[49.230106317619125, 15.497083534890209]"
84, , ,Sedlejov,Sedlejov,0,"[49.231633079256866, 15.491857615671291]"
90, , ,Sedlejov,Sedlejov,0,"[49.230279609558856, 15.496760454013685]"
88, , ,Sedlejov,Sedlejov,14452910010,"[49.23237715163974, 15.491759249389162]"
81, , ,Sedlejov,Sedlejov,38725739,"[49.22981980022537, 15.494315137331592]"
1, , ,Sedlejov,Sedlejov,25387739,"[49.227374389449324, 15.498260758038265]"
2, , ,Sedlejov,Sedlejov,25417739,"[49.227535324416046, 15.498009189646329]"
3, , ,Sedlejov,Sedlejov,25427739,"[49.22780116409984, 15.497710246300796]"
4, , ,Sedlejov,Sedlejov,25409739,"[49.22782039424397, 15.497499126614182]"
5, , ,Sedlejov,Sedlejov,25450739,"[49.22792228662072, 15.497189475178548]"
6, , ,Sedlejov,Sedlejov,25531739,"[49.22689983492878, 15.498668064643175]"
7, , ,Sedlejov,Sedlejov,25422739,"[49.22824964189832, 15.496754462521283]"
8, , ,Sedlejov,Sedlejov,25407739,"[49.228369382435005, 15.496441453313494]"
9, , ,Sedlejov,Sedlejov,25393739,"[49.22852248649723, 15.496205178471033]"
10, , ,Sedlejov,Sedlejov,25401739,"[49.228642086171305, 15.496002865151548]"
11, , ,Sedlejov,Sedlejov,25428739,"[49.228673532944775, 15.495830947603828]"
12, , ,Sedlejov,Sedlejov,25429739,"[49.22899319504297, 15.495300524398454]"
13, , ,Sedlejov,Sedlejov,25390739,"[49.22901351907034, 15.495103026526062]"
14, , ,Sedlejov,Sedlejov,25398739,"[49.22909082648374, 15.494825649666023]"
15, , ,Sedlejov,Sedlejov,25424739,"[49.22907723704425, 15.494094987929888]"
16, , ,Sedlejov,Sedlejov,25396739,"[49.22879424472031, 15.493843816341647]"
17, , ,Sedlejov,Sedlejov,25385739,"[49.22749214561248, 15.49949750723797]"
18, , ,Sedlejov,Sedlejov,25386739,"[49.22888843711471, 15.494337980657631]"
19, , ,Sedlejov,Sedlejov,25418739,"[49.22837462996161, 15.494033345084553]"
20, , ,Sedlejov,Sedlejov,25430739,"[49.228141892351886, 15.493731231225041]"
21, , ,Sedlejov,Sedlejov,25457739,"[49.22882306279097, 15.495775184717933]"
22, , ,Sedlejov,Sedlejov,25406739,"[49.22790970379658, 15.493885536945255]"
23, , ,Sedlejov,Sedlejov,25392739,"[49.22572040489505, 15.49729875886374]"
