cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
36, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.43954561670003, 17.065157862706126]"
64, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44239029372817, 17.06480708946995]"
120, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44051125723652, 17.06731358940256]"
138, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.4445756754237, 17.065831447724864]"
154, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44202786085672, 17.066928767377266]"
182, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44506144456552, 17.065789694993125]"
175, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.441897694471976, 17.058410174769502]"
301, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.4425841718057, 17.047939806596165]"
76, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44028984321344, 17.06688192722771]"
119, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44050670393622, 17.06716764967516]"
220, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44365109097432, 17.050154915536165]"
127, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.43800387588468, 17.067258845933072]"
9, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.4420286178364, 17.063119176167827]"
206, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.439492204733384, 17.05281126200777]"
27, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44098897372147, 17.06353081273722]"
236, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.45453837909031, 17.03046311247771]"
149, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44287556894878, 17.065418303000907]"
41, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.43983374917207, 17.065285220225068]"
103, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.439442990593044, 17.06478095833117]"
211, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.443544903284355, 17.050551252271]"
240, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44489710159278, 17.052984446816318]"
80, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.4429524031646, 17.065040604573195]"
13, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44119227165055, 17.06203273147166]"
26, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44107658954218, 17.0631780517339]"
86, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44298153190824, 17.062443300176433]"
155, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.43795897631895, 17.06704174306554]"
156, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.439974618226955, 17.06260544748272]"
202, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.43906140256777, 17.05368215169617]"
172, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.4416753779934, 17.0593978396012]"
242, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44486755920446, 17.053759427471174]"
123, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44286639840761, 17.06368255860775]"
48, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44025789739422, 17.065906938314498]"
291, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.441612018240434, 17.050484934267924]"
139, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44396058104488, 17.065944166323458]"
200, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.443192109268814, 17.055368929424755]"
47, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.440223676982406, 17.065453624620574]"
264, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.4441186708739, 17.05212842502313]"
152, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.43988931862217, 17.06396429614453]"
91, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44119063178145, 17.062219980038357]"
143, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44244056005084, 17.065184999612722]"
244, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.44487949344009, 17.053310346207446]"
180, , ,79804,Seloutky,Seloutky,Seloutky,774715,"[49.43910814646348, 17.06652908060371]"
