cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
35, , ,29446,Semčice,Semčice,Semčice,747165,"[50.37050252582105, 15.006048574404948]"
22, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36895266468317, 15.004959517700392]"
89, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36843738592792, 15.009131852919747]"
234, , ,29446,Semčice,Semčice,Semčice,747165,"[50.372001587392695, 15.010586799598768]"
220, , ,29446,Semčice,Semčice,Semčice,747165,"[50.37182245138546, 15.010133927698885]"
27, , ,29446,Semčice,Semčice,Semčice,747165,"[50.37029811855815, 15.005551384438753]"
93, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36916730617429, 15.009735159385988]"
141, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36843937903277, 15.007515641786165]"
74, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36507511851028, 15.003350333993575]"
189, , ,29446,Semčice,Semčice,Semčice,747165,"[50.372355835091255, 15.008625368134066]"
75, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36599581465466, 15.008549435485353]"
76, , ,29446,Semčice,Semčice,Semčice,747165,"[50.366288211183026, 15.009014588452594]"
237, , ,29446,Semčice,Semčice,Semčice,747165,"[50.37133190333451, 15.01075282425269]"
121, , ,29446,Semčice,Semčice,Semčice,747165,"[50.37006813129649, 15.00583897074061]"
96, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36744592905333, 15.009091807731235]"
82, , ,29446,Semčice,Semčice,Semčice,747165,"[50.3686137176612, 15.009181163866815]"
85, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36880457202331, 15.009624399519906]"
84, , ,29446,Semčice,Semčice,Semčice,747165,"[50.369521794618564, 15.009308978356504]"
109, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36816493351927, 15.010547730213885]"
190, , ,29446,Semčice,Semčice,Semčice,747165,"[50.37200334432666, 15.009135798456473]"
217, , ,29446,Semčice,Semčice,Semčice,747165,"[50.365803295811666, 15.009070327988653]"
165, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36785478355089, 15.002106393608456]"
143, , ,29446,Semčice,Semčice,Semčice,747165,"[50.369081422347044, 15.003997928397027]"
78, , ,29446,Semčice,Semčice,Semčice,747165,"[50.368239757336596, 15.005982815677603]"
239, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36659415585212, 15.00823146166278]"
203, , ,29446,Semčice,Semčice,Semčice,747165,"[50.367066154760636, 15.004293119230594]"
2, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36890480949972, 15.006896875946955]"
229, , ,29446,Semčice,Semčice,Semčice,747165,"[50.37313382743176, 15.009693840858901]"
126, , ,29446,Semčice,Semčice,Semčice,747165,"[50.36409092565884, 15.002380632735052]"
