cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
2, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65606912625196, 12.990252794199769]"
32, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.64976269424137, 12.99922976463807]"
38, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.647375131243805, 12.998843553321267]"
46, , ,34901,Skapce,Skapce,Skapce,748196,"[49.657500589988196, 12.990255056478723]"
35, , ,34901,Skapce,Skapce,Skapce,748196,"[49.656351881842696, 12.989824311852624]"
22, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.6471957715683, 12.998713545273924]"
33, , ,34901,Skapce,Skapce,Skapce,748196,"[49.658779243570045, 12.990855976031202]"
12, , ,34901,Skapce,Skapce,Skapce,748196,"[49.657275888847714, 12.986804427706906]"
27, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65844920857116, 12.989829104592268]"
37, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.647401837166676, 12.998569930725237]"
30, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.649691851163155, 12.998992900327547]"
8, , ,34901,Skapce,Krtín,Krtín,748188,"[49.65529064080273, 13.006786022571834]"
1, , ,34901,Skapce,Krtín,Krtín,748188,"[49.65416411174236, 13.006806006345458]"
1, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65756105156342, 12.987814926716487]"
28, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.64846128927192, 12.995360362388295]"
10, , ,34901,Skapce,Skapce,Skapce,748196,"[49.656995617634436, 12.987447124419287]"
3, , ,34901,Skapce,Krtín,Krtín,748188,"[49.65569876444146, 13.007933241351544]"
7, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65831743355642, 12.987645784128055]"
3, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.64625977143173, 12.995961388055859]"
21, , ,34901,Skapce,Skapce,Skapce,748196,"[49.656983413566145, 12.990605424792623]"
6, , ,34901,Skapce,Krtín,Krtín,748188,"[49.654588837030225, 13.007290723212675]"
14, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65773066477544, 12.986890576444768]"
11, , ,34901,Skapce,Skapce,Skapce,748196,"[49.656970598584714, 12.986934440529156]"
38, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65856266595369, 12.99111955559793]"
26, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.648656200891615, 12.996166584052384]"
40, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.64752307196001, 12.996300544917938]"
24, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.647329539603746, 12.999300599172402]"
1, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.647258838736086, 12.997457792141846]"
16, , ,34901,Skapce,Skapce,Skapce,748196,"[49.658165310453256, 12.990302607021775]"
34, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.647298630571335, 12.995527838148856]"
1, , ,34901,Skapce,Skapce,Skapce,748196,"[49.656482319727004, 12.990756595951169]"
36, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65568229511114, 12.987064162489142]"
20, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.650137736760726, 12.999270538397498]"
19, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.64742112728202, 12.998079015952678]"
21, , ,34901,Skapce,Krtín,Krtín,748188,"[49.654233159058954, 13.007048661365873]"
6, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.64716815144604, 12.996568627649875]"
2, , ,34901,Skapce,Krtín,Krtín,748188,"[49.65536228238166, 13.008114529815943]"
45, , ,34901,Skapce,Skapce,Skapce,748196,"[49.657886693754286, 12.989222222216567]"
39, , ,34901,Skapce,Skapce,Skapce,748196,"[49.6575625989983, 12.988543602890266]"
35, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.65005337660935, 12.998901109937927]"
30, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65617370026777, 12.989917360519804]"
2, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.647090900292376, 12.995900485537902]"
33, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.64655452177872, 12.996352635071835]"
10, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.65031488443424, 12.999591312540458]"
6, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65834811248892, 12.986965372710593]"
7, , ,34901,Skapce,Krtín,Krtín,748188,"[49.65570397248365, 13.007359021339942]"
36, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.64812870830803, 12.995557452187958]"
4, , ,34901,Skapce,Krtín,Krtín,748188,"[49.6543896776746, 13.007144004326063]"
4, , ,34901,Skapce,Krtín,Krtín,748188,"[49.65389397143478, 13.00674514038312]"
44, , ,34901,Skapce,Skapce,Skapce,748196,"[49.6580790687866, 12.98968037490358]"
43, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65810660569419, 12.989771850031744]"
9, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.6469101166183, 13.000107223387268]"
19, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65764219107299, 12.99060632925365]"
28, , ,34901,Skapce,Skapce,Skapce,748196,"[49.6577719694344, 12.988633108826878]"
5, , ,34901,Skapce,Krtín,Krtín,748188,"[49.653799372365306, 13.006263338726976]"
22, , ,34901,Skapce,Krtín,Krtín,748188,"[49.655439731795376, 13.006820076569397]"
40, , ,34901,Skapce,Skapce,Skapce,748196,"[49.6575381568074, 12.988058814301647]"
8, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65705393074334, 12.989802391773539]"
13, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65751469992396, 12.986914836672074]"
20, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65731584240009, 12.990496064903825]"
41, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65735649741464, 12.990379810079748]"
14, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.64972609424995, 12.99839153153691]"
4, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65809471870194, 12.987068799194704]"
3, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65625573722971, 12.990309260038588]"
47, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65771742617204, 12.989347327277217]"
29, , ,34901,Skapce,Zálezly,Zálezly,748196,"[49.649556361131395, 12.998712939716567]"
37, , ,34901,Skapce,Skapce,Skapce,748196,"[49.658237277886876, 12.991264924137795]"
31, , ,34901,Skapce,Skapce,Skapce,748196,"[49.65744968940082, 12.989820418017029]"
