cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
54, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67921540972982, 13.702456442423651]"
146, , ,33843,Skořice,Skořice,Skořice,748544,"[49.676097146282316, 13.703483533671333]"
5, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67815132175357, 13.702544094997101]"
9, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67563569915548, 13.704179933488046]"
101, , ,33843,Skořice,Skořice,Skořice,748544,"[49.677167533869486, 13.709364332887807]"
93, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67473269802532, 13.715364983252611]"
82, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67855123353295, 13.708531977193074]"
6, , ,33843,Skořice,Skořice,Skořice,748544,"[49.672295902929136, 13.697866079353679]"
86, , ,33843,Skořice,Skořice,Skořice,748544,"[49.673539463203035, 13.716573995926684]"
19, , ,33843,Skořice,Skořice,Skořice,748544,"[49.677911457178205, 13.705357792253373]"
116, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67658347451544, 13.705323232299824]"
33, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67749720264776, 13.706348250879397]"
75, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67807043996833, 13.703598927738078]"
4, , ,33843,Skořice,Skořice,Skořice,748544,"[49.675573230866355, 13.712177170996336]"
71, , ,33843,Skořice,Skořice,Skořice,748544,"[49.678871853914025, 13.70238041568688]"
61, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67458834224198, 13.716041957497442]"
57, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67941054286647, 13.702216021583695]"
27, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67745568760356, 13.708290494711719]"
60, , ,33843,Skořice,Skořice,Skořice,748544,"[49.678102298006905, 13.71011069897026]"
42, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67839623407672, 13.709477567008804]"
72, , ,33843,Skořice,Skořice,Skořice,748544,"[49.67395968509258, 13.716786772948641]"
15, , ,33843,Skořice,Skořice,Skořice,748544,"[49.679992349397416, 13.702081467508599]"
