cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
27, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.601509422441836, 14.615470070591678]"
16, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60177410231886, 14.617258736320762]"
9, , ,25786,Smilkov,Oldřichovec,Oldřichovec,750956,"[49.598798418700234, 14.665572861940761]"
6, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60417688330969, 14.615377663407296]"
12, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60363805276438, 14.613786307516083]"
58, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60389325709385, 14.614626816750441]"
12, , ,25789,Smilkov,Líštěnec,Líštěnec,750956,"[49.617754927459224, 14.637996044461271]"
9, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.6046715123566, 14.613362222730437]"
21, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.603063773393224, 14.619187143139936]"
2, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60073269599577, 14.61522651817582]"
15, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60146276885433, 14.616709117782053]"
26, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60320269791125, 14.626413592102946]"
41, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60056573282565, 14.618068028054818]"
67, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60069002629243, 14.61586442859128]"
52, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.603018617551704, 14.616616408827536]"
25, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.604596990301246, 14.621035497158388]"
43, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60195490822682, 14.615699490302985]"
15, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60091717784961, 14.615454291378578]"
17, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60161610731835, 14.617319461352647]"
24, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.600837017942716, 14.617229933254812]"
18, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.601464618421986, 14.617350914282506]"
61, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60034369151368, 14.615665797477398]"
2, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60277377940624, 14.617483956396566]"
31, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60117846313183, 14.61748976123749]"
12, , ,25789,Smilkov,Kouty,Kouty,750956,"[49.61159755035111, 14.633353361513672]"
5, , ,25789,Smilkov,Líštěnec,Líštěnec,750956,"[49.61725325416745, 14.636927705661654]"
1, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60365945101131, 14.6201341529179]"
10, , ,25789,Smilkov,Líštěnec,Líštěnec,750956,"[49.61745158499587, 14.637120500555623]"
7, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60563002817561, 14.613428386991204]"
53, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60339407172265, 14.616280167618992]"
49, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60047655362365, 14.61860306698325]"
72, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60469227478147, 14.612771528199442]"
18, , ,25789,Smilkov,Kouty,Kouty,750956,"[49.61181024796464, 14.63346453041386]"
1, , ,25789,Smilkov,Plachova Lhota,Plachova Lhota,750956,"[49.60370062082464, 14.646665698461987]"
9, , ,25789,Smilkov,Líštěnec,Líštěnec,750956,"[49.61679219345548, 14.63745170108044]"
51, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60379759885405, 14.61574780087707]"
75, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.601818882530615, 14.619217871740377]"
39, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.6008525216208, 14.618596493976597]"
99, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60063846574769, 14.625521577356507]"
2, , ,25789,Smilkov,Plachova Lhota,Plachova Lhota,750956,"[49.604014835498006, 14.646990703272952]"
13, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.601653692159765, 14.616571751104514]"
4, , ,25789,Smilkov,Plachova Lhota,Plachova Lhota,750956,"[49.59772481690803, 14.641983349062473]"
45, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60171307677739, 14.618011313543834]"
20, , ,25789,Smilkov,Smilkov,Smilkov,750981,"[49.60149991788884, 14.618167251116262]"
