cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
12, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86142942583149, 15.883890184816115]"
44, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86647301601641, 15.896737949162093]"
14, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86845488221569, 15.892573065561601]"
72, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86327438397556, 15.897646424667872]"
67, , ,53851,Smrček,Smrček-Na sádkách,Smrček-Na sádkách,642002,"[49.85487883930164, 15.897266645928342]"
66, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86801185553822, 15.893531691770045]"
1, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86067017951301, 15.88417407451929]"
48, , ,53851,Smrček,Smrček,Smrček,642002,"[49.870811011456034, 15.891887359340812]"
7, , ,53851,Smrček,Smrček,Smrček,642002,"[49.85909106038621, 15.898250657179368]"
69, , ,53851,Smrček,Smrček-Na sádkách,Smrček-Na sádkách,642002,"[49.85508947759949, 15.896584178352146]"
68, , ,53851,Smrček,Smrček-Na sádkách,Smrček-Na sádkách,642002,"[49.85484154493161, 15.89665730103128]"
35, , ,53851,Smrček,Smrček,Smrček,642002,"[49.864383268781836, 15.897007505951642]"
3, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86084528005701, 15.883590505362415]"
49, , ,53851,Smrček,Smrček,Smrček,642002,"[49.863887926065466, 15.897755918130377]"
39, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86390053592723, 15.89720740623435]"
6, , ,53851,Smrček,Smrček,Smrček,642002,"[49.861273927165634, 15.883750464579364]"
27, , ,53851,Smrček,Smrček,Smrček,642002,"[49.868132106379235, 15.892375238182971]"
30, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86118323633554, 15.884561502491163]"
55, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86806117183591, 15.894290707301224]"
30, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86741838478473, 15.895010863019165]"
28, , ,53851,Smrček,Smrček,Smrček,642002,"[49.866464949690815, 15.895928310711563]"
4, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86613764052605, 15.896610046973265]"
58, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86715589632729, 15.895313988585633]"
5, , ,53851,Smrček,Smrček,Smrček,642002,"[49.8609886929984, 15.883690411550363]"
33, , ,53851,Smrček,Smrček,Smrček,642002,"[49.8672007770792, 15.894689949332733]"
2, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86698700027824, 15.895512112656114]"
18, , ,53851,Smrček,Smrček,Smrček,642002,"[49.868216785347606, 15.891821110879782]"
53, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86457566307872, 15.896614782829063]"
60, , ,53851,Smrček,Smrček,Smrček,642002,"[49.87082577124194, 15.891513747566965]"
20, , ,53851,Smrček,Smrček,Smrček,642002,"[49.870283903501424, 15.891745512000888]"
57, , ,53851,Smrček,Smrček,Smrček,642002,"[49.867253412677144, 15.895178440942265]"
36, , ,53851,Smrček,Smrček,Smrček,642002,"[49.864332841835825, 15.896582506635994]"
31, , ,53851,Smrček,Smrček,Smrček,642002,"[49.8689303016541, 15.872488196015595]"
25, , ,53851,Smrček,Smrček,Smrček,642002,"[49.869502184586466, 15.89243865095199]"
38, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86405759338472, 15.897486946443982]"
71, , ,53851,Smrček,Smrček,Smrček,642002,"[49.864041304482505, 15.898106157263287]"
65, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86382961105451, 15.898536834615136]"
18, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86767193225063, 15.894711602897065]"
24, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86824988896886, 15.893274884131806]"
34, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86928306070986, 15.892627452769204]"
5, , ,53851,Smrček,Smrček,Smrček,642002,"[49.8660281136745, 15.896340053872079]"
13, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86791083739903, 15.89250965892066]"
17, , ,53851,Smrček,Smrček,Smrček,642002,"[49.8679030859768, 15.893933462435838]"
24, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86738572079098, 15.891609828831198]"
22, , ,53851,Smrček,Smrček,Smrček,642002,"[49.87327068945625, 15.888480357585738]"
2, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86048394108981, 15.884076510810134]"
61, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86859035404131, 15.893103073296713]"
41, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86668563295048, 15.896449236186736]"
23, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86465588879364, 15.897139964624824]"
15, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86879382167712, 15.892508540881625]"
42, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86934328602296, 15.892994260452834]"
37, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86412787657853, 15.897346844571471]"
26, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86368201250245, 15.898143527651444]"
59, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86601320718709, 15.895702403303996]"
51, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86635341995434, 15.897110574434594]"
7, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86642732410004, 15.895409782021158]"
19, , ,53851,Smrček,Smrček,Smrček,642002,"[49.87004132452104, 15.891999664444436]"
9, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86706416723977, 15.894979263448572]"
16, , ,53851,Smrček,Smrček,Smrček,642002,"[49.858552338984644, 15.884744194470967]"
3, , ,53851,Smrček,Smrček,Smrček,642002,"[49.866845505937114, 15.89618006585508]"
46, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86994355968387, 15.892544849121137]"
47, , ,53851,Smrček,Smrček,Smrček,642002,"[49.87064552813792, 15.89202913933293]"
45, , ,53851,Smrček,Smrček,Smrček,642002,"[49.869672170400015, 15.892734485484867]"
40, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86470897363736, 15.896502282609898]"
52, , ,53851,Smrček,Smrček,Smrček,642002,"[49.871038828541664, 15.891261883868337]"
23, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86593367955948, 15.897050688040084]"
21, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86609830181105, 15.895630888410823]"
12, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86768817621343, 15.89345882478166]"
63, , ,53851,Smrček,Smrček,Smrček,642002,"[49.867642190201224, 15.894158710155011]"
8, , ,53851,Smrček,Smrček,Smrček,642002,"[49.869799334674006, 15.892155655289217]"
10, , ,53851,Smrček,Smrček,Smrček,642002,"[49.85710968749746, 15.894578111830159]"
64, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86822610926173, 15.891825855994615]"
14, , ,53851,Smrček,Smrček,Smrček,642002,"[49.858428054104444, 15.884661250826674]"
25, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86800242978976, 15.894836042393878]"
56, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86792645122922, 15.894438215274926]"
4, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86064464744127, 15.883809137616748]"
50, , ,53851,Smrček,Smrček,Smrček,642002,"[49.871316503035, 15.89152018000909]"
32, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86718928847161, 15.894381795185092]"
54, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86780573453545, 15.894593677892134]"
10, , ,53851,Smrček,Smrček,Smrček,642002,"[49.867236805272604, 15.894141194825432]"
1, , ,53851,Smrček,Smrček,Smrček,642002,"[49.8688964338335, 15.893432532499007]"
26, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86921735812804, 15.893074061115687]"
15, , ,53851,Smrček,Smrček,Smrček,642002,"[49.85877892628788, 15.884513283496549]"
6, , ,53851,Smrček,Smrček,Smrček,642002,"[49.86626586951837, 15.896048586513498]"
16, , ,53851,Smrček,Smrček,Smrček,642002,"[49.868970005714104, 15.892233712439909]"
62, , ,53851,Smrček,Smrček,Smrček,642002,"[49.866192759887504, 15.897730177535424]"
