cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
14, , ,Sněžné,Blatiny,78251747,"[49.65012116576862, 16.09303844244771]"
73, , ,Sněžné,Podlesí,62387930010,"[49.67173318940036, 16.104386931262198]"
110, , ,Sněžné,Sněžné,218615607,"[50.339625750001304, 16.282113210325356]"
13, , ,Sněžné,Krátká,80823747,"[49.64119515504706, 16.093902390079112]"
15, , ,Sněžné,Sněžné,86538747,"[49.644384065178784, 16.121816242002463]"
46, , ,Sněžné,Milovy,86682747,"[49.66080922007192, 16.09762463941765]"
45, , ,Sněžné,Milovy,86680747,"[49.66100302832799, 16.097772973178476]"
51, , ,Sněžné,Sněžné,86553747,"[49.64713292079813, 16.120690065904625]"
244, , ,Sněžné,Sněžné,62283797010,"[49.642375900961774, 16.1224461244009]"
12, , ,Sněžné,Krátká,80787747,"[49.64151365898917, 16.094015048495695]"
11, , ,Sněžné,Sněžné,0,"[50.34039708980978, 16.269438572535623]"
100, , ,Sněžné,Milovy,86435747,"[49.663778939587125, 16.094943112760166]"
105, , ,Sněžné,Milovy,60989483010,"[49.668556903996155, 16.088318314658203]"
32, , ,Sněžné,Podlesí,84806747,"[49.672538841296266, 16.105582203005874]"
108, , ,Sněžné,Sněžné,86399747,"[49.644823652589444, 16.122262431833224]"
5, , ,Sněžné,Podlesí,84820747,"[49.6689223918471, 16.107159675103507]"
52, , ,Sněžné,Blatiny,78279747,"[49.65081563987976, 16.085651633615427]"
73, , ,Sněžné,Sněžné,86724747,"[49.64611033010764, 16.121073693643094]"
26, , ,Sněžné,Vříšť,87717747,"[49.63684529363199, 16.13425962517293]"
94, , ,Sněžné,Milovy,86431747,"[49.663275386708555, 16.09497040744581]"
68, , ,Sněžné,Sněžné,86424747,"[49.64420914017096, 16.12088889500861]"
6, , ,Sněžné,Sněžné,86574747,"[49.647732239164704, 16.122878579429372]"
98, , ,Sněžné,Sněžné,86364747,"[49.64696381005872, 16.121895646469685]"
10, , ,Sněžné,Sněžné,48238240010,"[50.33470863688268, 16.287865287752545]"
13, , ,Sněžné,Sněžné,218548607,"[50.3564664342402, 16.276911736068453]"
104, , ,Sněžné,Milovy,58072755010,"[49.66856007771967, 16.090929036877444]"
3, , ,Sněžné,Milovy,86735747,"[49.668253910188625, 16.09119248587044]"
10, , ,Sněžné,Vříšť,87734747,"[49.63378482632439, 16.122589941729455]"
12, , ,Sněžné,Vříšť,87728747,"[49.63567052753591, 16.134798877670157]"
72, , ,Sněžné,Podlesí,84831747,"[49.672347959297994, 16.10409236014828]"
21, , ,Sněžné,Vříšť,87745747,"[49.634993319722724, 16.117791976391004]"
235, , ,Sněžné,Sněžné,57564637010,"[49.646104522445455, 16.12468042790532]"
6, , ,Sněžné,Podlesí,84792747,"[49.66221836068297, 16.11026305539244]"
11, , ,Sněžné,Podlesí,84821747,"[49.666251170720436, 16.11081880658816]"
124, , ,Sněžné,Sněžné,86480747,"[49.65405913880751, 16.12150595409501]"
28, , ,Sněžné,Vříšť,87712747,"[49.636768594235924, 16.134716847109605]"
103, , ,Sněžné,Milovy,45099160010,"[49.66044598976466, 16.10117901592046]"
42, , ,Sněžné,Krátká,44673150010,"[49.64153345552875, 16.093472991361274]"
225, , ,Sněžné,Sněžné,35152952010,"[49.65375961068178, 16.1221025221484]"
226, , ,Sněžné,Sněžné,36371097010,"[49.65391892693376, 16.122297443165873]"
234, , ,Sněžné,Sněžné,35818949010,"[49.6459227845493, 16.12467068513207]"
78, , ,Sněžné,Blatiny,37280106010,"[49.65055988842126, 16.091567395426885]"
77, , ,Sněžné,Blatiny,29203080010,"[49.65106154721587, 16.08968019561631]"
231, , ,Sněžné,Sněžné,26557323010,"[49.645351978094624, 16.124297521396826]"
228, , ,Sněžné,Sněžné,26717375010,"[49.64538966081134, 16.123830913520614]"
233, , ,Sněžné,Sněžné,26477397010,"[49.64572494746333, 16.12456621615423]"
229, , ,Sněžné,Sněžné,25264720010,"[49.64563011769463, 16.12389998067944]"
102, , ,Sněžné,Sněžné,86657747,"[49.64856096052396, 16.121933027943914]"
32, , ,Sněžné,Blatiny,78231747,"[49.65035743301373, 16.092007531718544]"
