cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
182, , ,Sobíňov,Sobíňov,0,"[49.70666202106865, 15.759005036816198]"
19, , ,Sobíňov,Sobíňov,0,"[49.70042575147324, 15.76581919223684]"
19, , ,Sobíňov,Sobíňov,364591601,"[49.70041963682942, 15.767740878560323]"
294, , ,Sobíňov,Sobíňov,62071807010,"[49.69972107724669, 15.768231899736197]"
304, , ,Sobíňov,Sobíňov,62228932010,"[49.697256078732394, 15.76193374496181]"
23, , ,Sobíňov,Sobíňov,364495601,"[49.70045442269132, 15.767289658420003]"
33, , ,Sobíňov,Sobíňov,364506601,"[49.699666984629076, 15.76754155310709]"
219, , ,Sobíňov,Sobíňov,364521601,"[49.69834575573477, 15.758696208286905]"
185, , ,Sobíňov,Sobíňov,364556601,"[49.697770134909575, 15.765255026547615]"
15, , ,Sobíňov,Sobíňov,364567601,"[49.70103350764361, 15.7676425405537]"
67, , ,Sobíňov,Sobíňov,364582601,"[49.701700664706735, 15.76784993151649]"
105, , ,Sobíňov,Sobíňov,364607601,"[49.697897532768216, 15.774957101034849]"
64, , ,Sobíňov,Sobíňov,364613601,"[49.70183856516502, 15.7666932053571]"
226, , ,Sobíňov,Sobíňov,364624601,"[49.698515197329876, 15.75983186907281]"
218, , ,Sobíňov,Sobíňov,364645601,"[49.698351841110615, 15.763273370034938]"
75, , ,Sobíňov,Sobíňov,364664601,"[49.6986694782311, 15.763566277873803]"
208, , ,Sobíňov,Sobíňov,364679601,"[49.698165635276965, 15.759886634909657]"
40, , ,Sobíňov,Sobíňov,364686601,"[49.70009543301152, 15.766646216690745]"
197, , ,Sobíňov,Sobíňov,364715601,"[49.698299144528214, 15.768764873558462]"
9, , ,Sobíňov,Sobíňov,364761601,"[49.69915976437962, 15.767454817802236]"
235, , ,Sobíňov,Sobíňov,364773601,"[49.69700368744489, 15.767899979888211]"
265, , ,Sobíňov,Sobíňov,524665601,"[49.69975383957603, 15.764038971802872]"
286, , ,Sobíňov,Sobíňov,15909326010,"[49.69779552310645, 15.766990437016505]"
296, , ,Sobíňov,Sobíňov,26967451010,"[49.701377923810014, 15.76793530859583]"
228, , ,Sobíňov,Sobíňov,364485601,"[49.69977163743793, 15.758696934785387]"
34, , ,Sobíňov,Sobíňov,364486601,"[49.69896618022963, 15.768474854012831]"
30, , ,Sobíňov,Sobíňov,364489601,"[49.698383783143804, 15.765753538922768]"
45, , ,Sobíňov,Sobíňov,364496601,"[49.70202968008532, 15.767974225358428]"
28, , ,Sobíňov,Sobíňov,364499601,"[49.697914796917125, 15.767519098997314]"
275, , ,Sobíňov,Sobíňov,364516601,"[49.69713583610357, 15.77126166589478]"
29, , ,Sobíňov,Sobíňov,364518601,"[49.70042184993597, 15.766780191610689]"
90, , ,Sobíňov,Sobíňov,364519601,"[49.698605145088116, 15.76664147817958]"
49, , ,Sobíňov,Sobíňov,364526601,"[49.69911335707217, 15.765419851240571]"
203, , ,Sobíňov,Sobíňov,364542601,"[49.69880357252892, 15.758417651549504]"
231, , ,Sobíňov,Sobíňov,364548601,"[49.69752748164361, 15.761177754219139]"
42, , ,Sobíňov,Sobíňov,364559601,"[49.69966357257903, 15.767046132874606]"
130, , ,Sobíňov,Sobíňov,364572601,"[49.69742149103607, 15.771072713210353]"
101, , ,Sobíňov,Sobíňov,364601601,"[49.69786156021613, 15.76594196366344]"
102, , ,Sobíňov,Sobíňov,364602601,"[49.697938258715006, 15.76565783901097]"
44, , ,Sobíňov,Sobíňov,364610601,"[49.700540231164815, 15.770300739759364]"
100, , ,Sobíňov,Sobíňov,364612601,"[49.69826154096896, 15.767289976212071]"
225, , ,Sobíňov,Sobíňov,364615601,"[49.69911252320211, 15.757898600410293]"
167, , ,Sobíňov,Sobíňov,364621601,"[49.696699208739005, 15.766332827525131]"
295, , ,Sobíňov,Sobíňov,364638601,"[49.69848795098371, 15.758952304865058]"
85, , ,Sobíňov,Sobíňov,364672601,"[49.69872034047865, 15.768075160611994]"
124, , ,Sobíňov,Sobíňov,364676601,"[49.69874380211494, 15.764150409850188]"
205, , ,Sobíňov,Sobíňov,364677601,"[49.698528711893864, 15.759188418636121]"
93, , ,Sobíňov,Sobíňov,364709601,"[49.69860707638645, 15.765885407532334]"
216, , ,Sobíňov,Sobíňov,364711601,"[49.698156457132804, 15.757268374984994]"
193, , ,Sobíňov,Sobíňov,364713601,"[49.70210700567143, 15.764413753874962]"
131, , ,Sobíňov,Sobíňov,364749601,"[49.69771570239567, 15.773094261854949]"
111, , ,Sobíňov,Sobíňov,364754601,"[49.69807287898815, 15.776054138048769]"
156, , ,Sobíňov,Sobíňov,364770601,"[49.696963483547556, 15.766397538067581]"
269, , ,Sobíňov,Sobíňov,446505601,"[49.700019557611064, 15.764551295334696]"
254, , ,Sobíňov,Sobíňov,459906601,"[49.70029475178906, 15.763866204629325]"
260, , ,Sobíňov,Sobíňov,489686601,"[49.700312629617294, 15.765126859768595]"
263, , ,Sobíňov,Sobíňov,501766601,"[49.69978967169055, 15.764908317471866]"
271, , ,Sobíňov,Sobíňov,531189601,"[49.69943989011867, 15.765330831070472]"
279, , ,Sobíňov,Sobíňov,549976601,"[49.701405329134246, 15.765630180250296]"
284, , ,Sobíňov,Sobíňov,576594601,"[49.70222748331897, 15.763684801671078]"
264, , ,Sobíňov,Sobíňov,15488660010,"[49.6996866901175, 15.764373847040307]"
118, , ,Sobíňov,Sobíňov,364488601,"[49.69878852584934, 15.775550755168883]"
108, , ,Sobíňov,Sobíňov,364504601,"[49.69758428579381, 15.775925920195464]"
7, , ,Sobíňov,Sobíňov,364505601,"[49.69827677688372, 15.760089119356158]"
155, , ,Sobíňov,Sobíňov,364517601,"[49.69834931093712, 15.775568005909623]"
159, , ,Sobíňov,Sobíňov,364522601,"[49.6977928562932, 15.770958034845103]"
180, , ,Sobíňov,Sobíňov,364550601,"[49.698247005100654, 15.771628501018217]"
18, , ,Sobíňov,Sobíňov,364553601,"[49.69780901736709, 15.77527018434795]"
151, , ,Sobíňov,Sobíňov,364555601,"[49.69762190042791, 15.76583963552567]"
55, , ,Sobíňov,Sobíňov,364570601,"[49.70143692586119, 15.767271729475802]"
168, , ,Sobíňov,Sobíňov,364571601,"[49.69679121166474, 15.765873339934654]"
78, , ,Sobíňov,Sobíňov,364576601,"[49.69848678587321, 15.768099579973066]"
150, , ,Sobíňov,Sobíňov,364603601,"[49.698757807853845, 15.7762562663448]"
25, , ,Sobíňov,Sobíňov,364604601,"[49.70233156480654, 15.767717740859325]"
99, , ,Sobíňov,Sobíňov,364611601,"[49.701878046874945, 15.766609005959898]"
1, , ,Sobíňov,Sobíňov,364622601,"[49.701467904169036, 15.768650627835392]"
2, , ,Sobíňov,Sobíňov,364627601,"[49.69782771984096, 15.773519003555126]"
238, , ,Sobíňov,Sobíňov,364636601,"[49.69850219508176, 15.76910668485862]"
224, , ,Sobíňov,Sobíňov,364641601,"[49.697397203043046, 15.761525224675472]"
92, , ,Sobíňov,Sobíňov,364649601,"[49.698420832223185, 15.76744787236126]"
181, , ,Sobíňov,Sobíňov,364651601,"[49.69844962727409, 15.771334340265343]"
138, , ,Sobíňov,Sobíňov,364663601,"[49.69708740457882, 15.769026690468507]"
13, , ,Sobíňov,Sobíňov,364681601,"[49.700698755582444, 15.769122385904033]"
