cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
403,13,Lustigova,Soběslav,Soběslav III,326669308,"[49.26328648818994, 14.714582767484615]"
683, ,Na Ohradě,Soběslav,Soběslav II,0,"[49.25956307728888, 14.725478937273381]"
349,2,Chvalovského nábřeží,Soběslav,Soběslav II,0,"[49.2605860453064, 14.722618323298358]"
55,3,Školní náměstí,Soběslav,Soběslav III,0,"[49.25940752602032, 14.715622013128066]"
252,5,Jeronýmova,Soběslav,Soběslav II,324440308,"[49.25542843403295, 14.72351485928818]"
1070, ,Na Veselském kopci,Soběslav,Soběslav II,596124308,"[49.23929614791428, 14.719965951893322]"
521,5,Pod Zadražilkou,Soběslav,Soběslav III,324940308,"[49.26553333889945, 14.725797477351135]"
72, , ,Soběslav,Chlebov,62333406010,"[49.25532011379289, 14.747544257338998]"
869, ,Wilsonova,Soběslav,Soběslav III,556666308,"[49.268417028268196, 14.716131308555696]"
274,9,28. října,Soběslav,Soběslav II,324365308,"[49.25595518286977, 14.723929530119786]"
401,30,nábř. Otakara Ostrčila,Soběslav,Soběslav III,325052308,"[49.263470530929574, 14.72074299826023]"
10,12,Na Pršíně,Soběslav,Soběslav II,325108308,"[49.25759331458867, 14.718089640336485]"
200,29,Slovenská,Soběslav,Soběslav III,325756308,"[49.265090942736734, 14.710914958917723]"
27,28,Na Pršíně,Soběslav,Soběslav II,327119308,"[49.25736710591691, 14.716188162071706]"
337,19,Chvalovského nábřeží,Soběslav,Soběslav II,324380308,"[49.25811641816929, 14.72320103847528]"
53, , ,Soběslav,Nedvědice,0,"[49.271830325649375, 14.675337140364894]"
510, ,K Čerazi,Soběslav,Soběslav II,325685308,"[49.25412367245486, 14.703806107603715]"
410,7,Riegrova,Soběslav,Soběslav II,0,"[49.25401811299781, 14.725446148997142]"
243,8,Wilsonova,Soběslav,Soběslav III,0,"[49.262405286632195, 14.717555231542509]"
454,14,Jeronýmova,Soběslav,Soběslav II,324711308,"[49.254574822745205, 14.722873871301806]"
47,12,Bechyňská,Soběslav,Soběslav III,0,"[49.25916963438938, 14.714336331790623]"
979, ,K Sedlečku,Soběslav,Soběslav III,62240852010,"[49.264788219564565, 14.727269927352044]"
952, ,Slunečná,Soběslav,Soběslav III,62087847010,"[49.265830241347565, 14.706281012005894]"
1116, ,K Čerazi,Soběslav,Soběslav II,62234839010,"[49.25437179630564, 14.70146245540951]"
123,19,Bezděkova,Soběslav,Soběslav I,325615308,"[49.26090048133135, 14.720042692246222]"
1114, ,Na Pilátě I,Soběslav,Soběslav II,61273737010,"[49.254014294844474, 14.706810893939245]"
202,33,Slovenská,Soběslav,Soběslav III,324190308,"[49.26511125418031, 14.710608884290298]"
547, ,Na Pískách,Soběslav,Soběslav II,61157561010,"[49.25111835946552, 14.727783607900223]"
978, ,Na Propadlišti,Soběslav,Soběslav III,327063308,"[49.26846516852018, 14.700246875688174]"
77, , ,Soběslav,Chlebov,61184839010,"[49.256732770248725, 14.739045027943526]"
1113, , ,Soběslav,Soběslav III,61240686010,"[49.26284451154918, 14.700407209281725]"
421,2,Květnová,Soběslav,Soběslav II,325933308,"[49.249214917369976, 14.722983513822129]"
1112, ,K Čerazi,Soběslav,Soběslav II,60718391010,"[49.25076291762851, 14.703096934118625]"
46,10,tř. Dr. Edvarda Beneše,Soběslav,Soběslav II,0,"[49.25681082426053, 14.72088534077878]"
30,5,Jungmannova,Soběslav,Soběslav III,325680308,"[49.25988562364492, 14.711208245535294]"
734, ,Na Propadlišti,Soběslav,Soběslav III,326308308,"[49.269470256777744, 14.701306591847196]"
1109, , ,Soběslav,Soběslav II,59871792010,"[49.25873610397667, 14.69176039895606]"
125,38,Mrázkova,Soběslav,Soběslav III,325657308,"[49.262797266346155, 14.711098800061423]"
145,10,náměstí Republiky,Soběslav,Soběslav I,327110308,"[49.259566932429316, 14.720948201845228]"
153,3,Petra Voka,Soběslav,Soběslav I,326533308,"[49.2587148251827, 14.720955705494823]"
966, ,V Paloucích,Soběslav,Soběslav III,50366500010,"[49.265083399025784, 14.70663947491182]"
1107, ,Na Propadlišti,Soběslav,Soběslav III,49114256010,"[49.27014622421722, 14.702499348667173]"
886, ,Na Brousku,Soběslav,Soběslav III,48489299010,"[49.2701534601006, 14.716375737385349]"
180, ,Bezděkova,Soběslav,Soběslav I,49657295010,"[49.260868184587586, 14.720266901355895]"
712, ,Chvalovského nábřeží,Soběslav,Soběslav II,47687216010,"[49.260583233994275, 14.72261210484678]"
918, ,Wilsonova,Soběslav,Soběslav III,46034253010,"[49.26873925801819, 14.71659511126586]"
1106, ,Na Cihelně,Soběslav,Soběslav II,46217178010,"[49.25939538841196, 14.68944926116795]"
893, ,V Lukách,Soběslav,Soběslav III,43975098010,"[49.266208999503085, 14.707268986535494]"
934, ,Slunečná,Soběslav,Soběslav III,43313100010,"[49.26610303462359, 14.706472724242435]"
705, , ,Soběslav,Soběslav II,15304411010,"[49.256278752705065, 14.696019341598527]"
927, , ,Soběslav,Soběslav II,15358159010,"[49.256486059031786, 14.695796759980864]"
948, ,Slunečná,Soběslav,Soběslav III,35053951010,"[49.26605753240799, 14.705123454023727]"
950, ,Slunečná,Soběslav,Soběslav III,33870957010,"[49.265982814323074, 14.705720966081788]"
942, ,Slunečná,Soběslav,Soběslav III,32311949010,"[49.266206959234886, 14.703928424501276]"
953, ,Slunečná,Soběslav,Soběslav III,34076947010,"[49.265759010488985, 14.70658460698272]"
1105, ,K Čerazi,Soběslav,Soběslav II,38182040010,"[49.25441713836515, 14.699934295359428]"
988, ,Wilsonova,Soběslav,Soběslav III,38122039010,"[49.26925981514727, 14.71673839191597]"
944, ,Slunečná,Soběslav,Soběslav III,38025456010,"[49.26579049903484, 14.704249210869486]"
947, ,Slunečná,Soběslav,Soběslav III,37888142010,"[49.26604022159995, 14.70482200671366]"
917, ,Wilsonova,Soběslav,Soběslav III,37136090010,"[49.26871258458168, 14.717016458770361]"
974, ,K Sedlečku,Soběslav,Soběslav III,16548604010,"[49.26591622725511, 14.728621761754859]"
1104, ,K Čerazi,Soběslav,Soběslav II,36459098010,"[49.25434777089398, 14.698520916677287]"
957, ,V Paloucích,Soběslav,Soběslav III,37723190010,"[49.26552940081437, 14.70561953935524]"
491,60,Wilsonova,Soběslav,Soběslav III,324700308,"[49.272832278756745, 14.716924147546546]"
518,3,K Libouši,Soběslav,Soběslav III,324946308,"[49.26531712368802, 14.726539810382475]"
525,11,Pod Zadražilkou,Soběslav,Soběslav III,325382308,"[49.26603362638021, 14.724979734771482]"
811, ,Polní,Soběslav,Soběslav III,374220308,"[49.262959699802394, 14.702277093615594]"
