cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
19, , ,76802,Soběsuky,Skržice,Skržice,751871,"[49.23583872833906, 17.34862605905708]"
21, , ,76802,Soběsuky,Skržice,Skržice,751871,"[49.24451976032379, 17.349699115197087]"
46, , ,76802,Soběsuky,Skržice,Skržice,751871,"[49.237969645445276, 17.345970252105207]"
61, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.23527649320771, 17.36077023400217]"
44, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.23309855892076, 17.35875201166009]"
13, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.235458478056806, 17.36121212777645]"
12, , ,76802,Soběsuky,Skržice,Skržice,751871,"[49.23451319329546, 17.347526609874492]"
21, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.23204118052182, 17.361133202106398]"
58, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.23226748926947, 17.36061915332967]"
22, , ,76802,Soběsuky,Milovice,Milovice,751863,"[49.2218456189202, 17.355675140617247]"
28, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.23486632600054, 17.36065145802524]"
60, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.234004656452775, 17.361291178557064]"
33, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.23370768160995, 17.359807380384854]"
35, , ,76802,Soběsuky,Milovice,Milovice,751863,"[49.221374716778236, 17.354645568371733]"
24, , ,76802,Soběsuky,Skržice,Skržice,751871,"[49.236306486161844, 17.348503449258775]"
60, , ,76802,Soběsuky,Milovice,Milovice,751863,"[49.22245423865, 17.358324735409326]"
29, , ,76802,Soběsuky,Skržice,Skržice,751871,"[49.234510874757504, 17.347345921313657]"
22, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.23231446631267, 17.361591199184357]"
2, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.23357997451444, 17.35939752830076]"
40, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.23509003048759, 17.361004309134305]"
18, , ,76802,Soběsuky,Milovice,Milovice,751863,"[49.22161357752495, 17.356831974367612]"
2, , ,76802,Soběsuky,Skržice,Skržice,751871,"[49.23502302817124, 17.347233613499853]"
26, , ,76802,Soběsuky,Milovice,Milovice,751863,"[49.221502653845356, 17.356548556487784]"
34, , ,76802,Soběsuky,Skržice,Skržice,751871,"[49.23699225569147, 17.347131868334074]"
21, , ,76802,Soběsuky,Milovice,Milovice,751863,"[49.22181024066473, 17.355873982929122]"
51, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.23197445132946, 17.360578184899268]"
4, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.234062883772985, 17.359607777178784]"
6, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.23398204822015, 17.359571730089957]"
14, , ,76802,Soběsuky,Soběsuky,Soběsuky,751880,"[49.235232091730666, 17.36122974966914]"
6, , ,76802,Soběsuky,Milovice,Milovice,751863,"[49.22260010584275, 17.356425798736247]"
20, , ,76802,Soběsuky,Milovice,Milovice,751863,"[49.22179725287337, 17.356114717243127]"
