cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
344, ,Severní,Sokoleč,Sokoleč,0,"[50.103953768993264, 15.103277383336142]"
348, ,Severní,Sokoleč,Sokoleč,0,"[50.10486659112033, 15.103234611116815]"
178, ,Jabloňová,Sokoleč,Sokoleč,326347208,"[50.10014332969436, 15.107316768577498]"
90, ,Poděbradská,Sokoleč,Sokoleč,326594208,"[50.100572769560436, 15.105404001602217]"
440, ,Luční,Sokoleč,Sokoleč,60357292010,"[50.093256293593534, 15.10614759155074]"
116, ,Sportovní,Sokoleč,Sokoleč,326438208,"[50.0964256329192, 15.109665343949944]"
61, ,Poděbradská,Sokoleč,Sokoleč,326512208,"[50.09753137947595, 15.106795479821956]"
169, ,Dlouhá,Sokoleč,Sokoleč,326358208,"[50.097751984059144, 15.11076862010325]"
226, ,Dlouhá,Sokoleč,Sokoleč,326359208,"[50.097875637305165, 15.110752281201666]"
436, ,Luční,Sokoleč,Sokoleč,40339055010,"[50.09291071391244, 15.107882425165299]"
437, ,Luční,Sokoleč,Sokoleč,60565352010,"[50.092940083641395, 15.106246026397152]"
66, ,Poděbradská,Sokoleč,Sokoleč,326439208,"[50.09923522848279, 15.105460571920938]"
421, ,Luční,Sokoleč,Sokoleč,36477049010,"[50.09303124354239, 15.107202198938495]"
360, ,Poděbradská,Sokoleč,Sokoleč,678578208,"[50.10162272435634, 15.106320986254877]"
79, ,Poděbradská,Sokoleč,Sokoleč,326522208,"[50.099834262176756, 15.105409417822392]"
98, ,Kolínská,Sokoleč,Sokoleč,326637208,"[50.09579031444734, 15.110119356040904]"
219, ,Dlouhá,Sokoleč,Sokoleč,326573208,"[50.09849957758885, 15.110875619236149]"
231, ,Kolínská,Sokoleč,Sokoleč,326546208,"[50.096075154216514, 15.108188425835067]"
199, ,Poděbradská,Sokoleč,Sokoleč,326588208,"[50.098373310923655, 15.105390834156848]"
118, ,Sportovní,Sokoleč,Sokoleč,326622208,"[50.09697294813791, 15.109291715767085]"
212, ,Lhotecká,Sokoleč,Sokoleč,326515208,"[50.09695652751327, 15.10305241031217]"
204, ,Poděbradská,Sokoleč,Sokoleč,326466208,"[50.09939389248356, 15.106004591440847]"
155, ,Třešňová,Sokoleč,Sokoleč,326671208,"[50.09907866854024, 15.107786720294492]"
431, ,Severní,Sokoleč,Sokoleč,34259945010,"[50.10641257676298, 15.103180771257026]"
430, ,Luční,Sokoleč,Sokoleč,0,"[50.092744450420376, 15.109458469216472]"
428, ,Cerhenská,Sokoleč,Sokoleč,44196127010,"[50.09370985515128, 15.105010613443552]"
426, ,Severní,Sokoleč,Sokoleč,43738104010,"[50.10600044257416, 15.102360982271504]"
418, ,Severní,Sokoleč,Sokoleč,26780392010,"[50.106423918049586, 15.102220085277619]"
417, ,Luční,Sokoleč,Sokoleč,29768380010,"[50.0924224936648, 15.10962129152931]"
411, ,Luční,Sokoleč,Sokoleč,29261088010,"[50.09345983071297, 15.107033169071684]"
422, ,Cerhenská,Sokoleč,Sokoleč,30171562010,"[50.093402977110834, 15.104916831462338]"
424, ,Kolínská,Sokoleč,Sokoleč,38156037010,"[50.096568102759754, 15.107131902547595]"
420, ,Za Myslivnou,Sokoleč,Sokoleč,36300042010,"[50.093252306399414, 15.109131765261926]"
419, ,Za Myslivnou,Sokoleč,Sokoleč,35137954010,"[50.09384564887092, 15.108083476547664]"
415, ,Luční,Sokoleč,Sokoleč,29518213010,"[50.09267700414624, 15.109739631675685]"
403, ,Za Myslivnou,Sokoleč,Sokoleč,28170350010,"[50.093772485925236, 15.108295334847275]"
402, ,Severní,Sokoleč,Sokoleč,27029378010,"[50.106794845875086, 15.102540700051001]"
407, ,Severní,Sokoleč,Sokoleč,28908661010,"[50.10682622983367, 15.103140502639418]"
395, ,Za Myslivnou,Sokoleč,Sokoleč,26749334010,"[50.093580605737905, 15.107727702480037]"
394, ,Severní,Sokoleč,Sokoleč,16481306010,"[50.10674921385172, 15.10363508663599]"
393, ,Za Myslivnou,Sokoleč,Sokoleč,26795445010,"[50.09350408482419, 15.10954655053126]"
397, ,Východní,Sokoleč,Sokoleč,670765208,"[50.095196052799096, 15.111816025518142]"
396, ,Severní,Sokoleč,Sokoleč,26899322010,"[50.106228871226556, 15.102273108424315]"
391, ,Luční,Sokoleč,Sokoleč,25257623010,"[50.09298926613006, 15.107591997902809]"
390, ,Luční,Sokoleč,Sokoleč,25924899010,"[50.0928514908306, 15.10570317948862]"
389, ,Za Myslivnou,Sokoleč,Sokoleč,26201172010,"[50.093549119198364, 15.10921348938806]"
362, ,Ke koupališti,Sokoleč,Sokoleč,23070297010,"[50.10112320994379, 15.108506361417204]"
388, ,Severní,Sokoleč,Sokoleč,15207215010,"[50.1068586005628, 15.10210513812884]"
387, ,Luční,Sokoleč,Sokoleč,25761939010,"[50.09332471434445, 15.107482831104775]"
380, ,Severní,Sokoleč,Sokoleč,25740115010,"[50.107484814212995, 15.103431909747687]"
377, ,Severní,Sokoleč,Sokoleč,24868827010,"[50.10664119347031, 15.10265593333923]"
378, ,Na Březinu,Sokoleč,Sokoleč,24775527010,"[50.10454407197249, 15.102397949606106]"
53, ,Třešňová,Sokoleč,Sokoleč,24633707010,"[50.09770918460299, 15.10777800690043]"
376, ,Severní,Sokoleč,Sokoleč,24621579010,"[50.10688846525703, 15.10356501399118]"
88, ,Švestková,Sokoleč,Sokoleč,326579208,"[50.09929307156147, 15.106320641006063]"
