cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
192, , ,Srní,Srní,0,"[49.08154266019117, 13.468149248081367]"
196, , ,Srní,Srní,122283431,"[49.095045689717246, 13.477221080399449]"
168, , ,Srní,Srní,122277431,"[49.10211462717023, 13.469168366046503]"
170, , ,Srní,Srní,122286431,"[49.08161865701452, 13.454749602487226]"
167, , ,Srní,Srní,162709431,"[49.08241928350116, 13.456013292086585]"
166, , ,Srní,Srní,162710431,"[49.08226789456774, 13.45636239791866]"
164, , ,Srní,Srní,162708431,"[49.08211597653067, 13.45572338740662]"
165, , ,Srní,Srní,162711431,"[49.08193287732513, 13.45609568698856]"
195, , ,Srní,Srní,122276431,"[49.094963545158414, 13.477265788641601]"
169, , ,Srní,Srní,122290431,"[49.100752308873986, 13.471549670229011]"
42, , ,Srní,Srní,117237431,"[49.099024408331935, 13.479366053017822]"
198, , ,Srní,Srní,117241431,"[49.0952322432283, 13.477047780119745]"
222, , ,Srní,Srní,36406099010,"[49.08942847633715, 13.478503906241448]"
47, , ,Srní,Srní,156264431,"[49.07359365286264, 13.506278755651275]"
114, , ,Srní,Srní,117169431,"[49.08774253769227, 13.481963297780108]"
4, , ,Srní,Srní,117259431,"[49.08650081722278, 13.480254119505732]"
53, , ,Srní,Vchynice-Tetov I,121174431,"[49.07086383989489, 13.506625330006488]"
80, , ,Srní,Vchynice-Tetov I,172616431,"[49.05495665078159, 13.510076492763423]"
8, , ,Srní,Vchynice-Tetov I,121157431,"[49.05490952397114, 13.51005957922845]"
10, , ,Srní,Vchynice-Tetov I,121168431,"[49.0524161777791, 13.497224194201175]"
82, , ,Srní,Srní,24674622010,"[49.07521978747811, 13.487002293800511]"
16, , ,Srní,Srní,117112431,"[49.0791345514549, 13.476099415181862]"
135, , ,Srní,Srní,24021325010,"[49.09108049625302, 13.479856146180975]"
69, , ,Srní,Srní,148021431,"[49.081148938058, 13.47743752997885]"
5, , ,Srní,Srní,117255431,"[49.08479439857901, 13.481849139219804]"
9, , ,Srní,Srní,117111431,"[49.085616223438066, 13.480871947265303]"
31, , ,Srní,Srní,117104431,"[49.08529948866404, 13.486135564242234]"
14, , ,Srní,Srní,117135431,"[49.08561804888514, 13.472360029007309]"
124, , ,Srní,Srní,117217431,"[49.088420344773205, 13.480182435794092]"
39, , ,Srní,Srní,117156431,"[49.07383393755239, 13.505215981226737]"
18, , ,Srní,Srní,117211431,"[49.07818083325216, 13.475385485283384]"
24, , ,Srní,Srní,117262431,"[49.08749267534672, 13.480493963164083]"
1, , ,Srní,Srní,117207431,"[49.09282260133745, 13.484377060595902]"
34, , ,Srní,Vchynice-Tetov I,121170431,"[49.05814623488358, 13.504824679431618]"
84, , ,Srní,Vchynice-Tetov I,121177431,"[49.058934251663885, 13.505254467416124]"
3, , ,Srní,Vchynice-Tetov I,121164431,"[49.05242446205999, 13.504042220967898]"
18, , ,Srní,Srní,117286431,"[49.086762219989275, 13.481497764726603]"
55, , ,Srní,Vchynice-Tetov I,121165431,"[49.04860995750234, 13.501763446667049]"
122, , ,Srní,Srní,117272431,"[49.087027986383, 13.481821769231713]"
79, , ,Srní,Vchynice-Tetov I,121173431,"[49.06010623586649, 13.49726010566938]"
