cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
54, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40716157198651, 15.341373079420244]"
40, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40663287638259, 15.342361910674995]"
3, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.404713463788234, 15.343769044486823]"
76, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40488860091481, 15.355457776175449]"
35, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40353518650512, 15.340169744870735]"
55, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.407170875721654, 15.341263939004806]"
32, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40449915021294, 15.344671895628432]"
20, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.404554458494594, 15.340726214325606]"
17, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40466428288785, 15.342128143182759]"
63, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.403642183071426, 15.344075931347538]"
66, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40594281267606, 15.343636342443824]"
42, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.400955428635065, 15.346129863914287]"
70, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.405916966186425, 15.342961638351781]"
65, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40578250839887, 15.343599667630702]"
8, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40574096739696, 15.341307526348356]"
51, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.405332269234634, 15.354262920529278]"
5, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.404875145423375, 15.346319161196467]"
6, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.406607958690195, 15.343067967544284]"
78, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40337707092263, 15.340494704893011]"
61, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.403716381596915, 15.343853736037138]"
80, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.404672788363605, 15.356068264640486]"
29, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40464261106612, 15.34455791665064]"
47, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40474221463799, 15.347372222811813]"
25, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40627925542797, 15.342191824452131]"
83, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40226563041333, 15.34676516883291]"
60, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.4035820210997, 15.343486509268935]"
81, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.4027481499661, 15.340220903681384]"
38, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40699858950953, 15.342422597534917]"
84, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40428698132263, 15.340656802970635]"
52, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.404117600391174, 15.345147591799078]"
75, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.403689474596305, 15.340110763064484]"
48, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40334031475264, 15.339999935323615]"
30, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40414645222285, 15.341363769358463]"
34, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40074923782087, 15.34602235702006]"
77, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40374717497664, 15.340815350614108]"
50, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.405593337494494, 15.354801472056788]"
64, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40344924718995, 15.343931385970558]"
72, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40656584761063, 15.340585219661415]"
24, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.400225714334816, 15.346078248483014]"
14, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.39722976144174, 15.340364036994744]"
43, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.4060746267335, 15.342552692820613]"
44, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40310538673785, 15.341182819692563]"
74, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40309218379671, 15.340378664419775]"
57, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40383760238854, 15.343394673532666]"
67, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40619056362835, 15.343491881059949]"
59, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40378217196733, 15.343629499672797]"
33, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40425693684402, 15.342141670645706]"
49, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.403907171667235, 15.34577153369496]"
45, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40333718061051, 15.341411039460322]"
62, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.4035158629718, 15.34370954109957]"
69, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40395659634854, 15.345544264476793]"
1, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40482076028246, 15.342716447704348]"
41, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40623639197591, 15.351559674431185]"
22, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40645813103199, 15.34231573240644]"
21, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.405217131379274, 15.34379196820572]"
7, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40549102957308, 15.34211588153274]"
82, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40597281083152, 15.340941468578004]"
4, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40495520866779, 15.341286261385493]"
71, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.405667801887624, 15.341566392497695]"
16, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40405681960888, 15.342830948401122]"
15, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40516738428832, 15.341631741061148]"
37, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40503363906715, 15.347416006232324]"
28, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40417272020761, 15.34098182892282]"
79, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.404039416491095, 15.341537821520863]"
58, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40358940149067, 15.343225222637562]"
46, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.40736309956955, 15.342506770969942]"
68, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.406218427369076, 15.34321934131088]"
86, , ,50601,Staré Místo,Staré Místo,Staré Místo,723754,"[50.404122987246595, 15.344545053702884]"
