cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
96, , ,Strahovice,Strahovice,104689806,"[50.00316977298801, 18.08775860057324]"
252, , ,Strahovice,Strahovice,62328958010,"[49.998782700057376, 18.085407699028412]"
250, , ,Strahovice,Strahovice,62237860010,"[50.003350532424726, 18.094495602601032]"
251, , ,Strahovice,Strahovice,61249659010,"[49.99839167333644, 18.08479193520827]"
244, , ,Strahovice,Strahovice,38579409010,"[49.99857069869536, 18.08484369033865]"
243, , ,Strahovice,Strahovice,38533131010,"[49.99706413889145, 18.087864365072562]"
240, , ,Strahovice,Strahovice,26354588010,"[49.999058224512794, 18.08484684094252]"
237, , ,Strahovice,Strahovice,489894806,"[50.00115287897073, 18.091518373532505]"
235, , ,Strahovice,Strahovice,16008768010,"[49.99795812525002, 18.08866587445635]"
98, , ,Strahovice,Strahovice,0,"[50.005619886453125, 18.08739163267897]"
11, , ,Strahovice,Strahovice,104759806,"[50.001955024724865, 18.092381320085806]"
10, , ,Strahovice,Strahovice,104586806,"[50.0021987961337, 18.09248934562593]"
114, , ,Strahovice,Strahovice,104529806,"[50.004333885845256, 18.08785358399152]"
124, , ,Strahovice,Strahovice,104649806,"[50.002912129603224, 18.087958583030634]"
29, , ,Strahovice,Strahovice,104699806,"[50.00401563440342, 18.09083154831931]"
57, , ,Strahovice,Strahovice,104676806,"[49.99886764984469, 18.08899863293776]"
182, , ,Strahovice,Strahovice,104561806,"[49.99973891001415, 18.085100727577583]"
6, , ,Strahovice,Strahovice,104639806,"[50.00363870746971, 18.0921356941618]"
187, , ,Strahovice,Strahovice,104534806,"[49.99922799320991, 18.089348558415473]"
30, , ,Strahovice,Strahovice,104533806,"[50.004023873868825, 18.090638587086865]"
220, , ,Strahovice,Strahovice,104717806,"[50.00116617284218, 18.085784588293546]"
218, , ,Strahovice,Strahovice,104713806,"[49.99861446272155, 18.085323520415606]"
92, , ,Strahovice,Strahovice,104525806,"[50.00244783492578, 18.089338128599504]"
65, , ,Strahovice,Strahovice,104734806,"[49.99854836919625, 18.086843836851248]"
136, , ,Strahovice,Strahovice,104539806,"[49.99921773284816, 18.086594842277762]"
110, , ,Strahovice,Strahovice,104516806,"[50.00433284543076, 18.09125310463516]"
2, , ,Strahovice,Strahovice,104592806,"[50.004217434928655, 18.093871819385566]"
199, , ,Strahovice,Strahovice,104610806,"[50.00319974004787, 18.086153482922658]"
153, , ,Strahovice,Strahovice,104597806,"[49.998402985113344, 18.08593299254331]"
36, , ,Strahovice,Strahovice,104579806,"[50.002315207721324, 18.089639982931203]"
100, , ,Strahovice,Strahovice,104712806,"[50.00359287512365, 18.089221807319184]"
162, , ,Strahovice,Strahovice,104636806,"[49.999635333209866, 18.085473501265522]"
111, , ,Strahovice,Strahovice,104598806,"[50.00439427005384, 18.089197807707293]"
228, , ,Strahovice,Strahovice,104729806,"[50.000315549734275, 18.085714442469644]"
3, , ,Strahovice,Strahovice,104582806,"[50.004469258879254, 18.092917509783486]"
18, , ,Strahovice,Strahovice,104630806,"[50.00112531030193, 18.09182206272621]"
140, , ,Strahovice,Strahovice,104607806,"[50.000305643796665, 18.085271256869365]"
127, , ,Strahovice,Strahovice,104531806,"[50.00176140473434, 18.087035380768054]"
50, , ,Strahovice,Strahovice,104514806,"[49.99961627849894, 18.089361853477538]"
58, , ,Strahovice,Strahovice,104553806,"[49.99924779766106, 18.0888674297162]"
43, , ,Strahovice,Strahovice,104557806,"[50.00039167399417, 18.090193681896857]"
139, , ,Strahovice,Strahovice,104615806,"[50.00013022483021, 18.085168739012175]"
12, , ,Strahovice,Strahovice,104552806,"[50.001699528734584, 18.09238285451386]"
185, , ,Strahovice,Strahovice,104549806,"[50.0019818353687, 18.087549552407058]"
230, , ,Strahovice,Strahovice,393745806,"[49.99733131436932, 18.08859875172989]"
231, , ,Strahovice,Strahovice,450749806,"[50.00166857221997, 18.088344947917008]"
245, , ,Strahovice,Strahovice,42106072010,"[49.99809237547552, 18.084685269517543]"
247, , ,Strahovice,Strahovice,52639417010,"[50.00342987577459, 18.08776187135377]"
1, , ,Strahovice,Strahovice,104659806,"[50.004737647410835, 18.0956760646984]"
4, , ,Strahovice,Strahovice,104605806,"[50.00400563300653, 18.092485754149873]"
5, , ,Strahovice,Strahovice,104502806,"[50.00385154112857, 18.09215680561286]"
7, , ,Strahovice,Strahovice,104585806,"[50.00337218120111, 18.092138460897164]"
8, , ,Strahovice,Strahovice,104590806,"[50.00237817410114, 18.092274628906736]"
9, , ,Strahovice,Strahovice,104594806,"[50.003918160667844, 18.091741612413962]"
13, , ,Strahovice,Strahovice,104568806,"[49.99999641073639, 18.092922908876197]"
14, , ,Strahovice,Strahovice,104655806,"[50.00013415708443, 18.09280603375836]"
15, , ,Strahovice,Strahovice,104544806,"[50.00031693650929, 18.092528975809312]"
16, , ,Strahovice,Strahovice,104711806,"[50.00084868527138, 18.091882080230747]"
17, , ,Strahovice,Strahovice,104651806,"[50.000936396927194, 18.091996077631084]"
19, , ,Strahovice,Strahovice,104694806,"[50.000600059435044, 18.092112158303124]"
20, , ,Strahovice,Strahovice,104697806,"[50.001306715752435, 18.092001354215466]"
21, , ,Strahovice,Strahovice,104519806,"[50.00137912673599, 18.091529382542458]"
22, , ,Strahovice,Strahovice,104548806,"[50.002005721289876, 18.091597558109044]"
23, , ,Strahovice,Strahovice,104546806,"[50.001485239273144, 18.09085676904222]"
24, , ,Strahovice,Strahovice,104739806,"[50.00180496710214, 18.090448917121943]"
