cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
26, , ,Stružinec,Stružinec,281706608,"[50.554665040274735, 15.361979774153633]"
11, , ,Stružinec,Stružinec,281983608,"[50.5555255454049, 15.36991403345404]"
181, , ,Stružinec,Stružinec,281876608,"[50.55988699876106, 15.363409585556008]"
94, , ,Stružinec,Stružinec,281945608,"[50.54582990809028, 15.354531064161122]"
95, , ,Stružinec,Stružinec,281788608,"[50.55965837837926, 15.338275433912402]"
97, , ,Stružinec,Stružinec,281886608,"[50.546229901220755, 15.353341958748084]"
38, , ,Stružinec,Stružinec,281923608,"[50.557086151382535, 15.362853140008067]"
74, , ,Stružinec,Stružinec,281723608,"[50.5539234120012, 15.361070090106459]"
75, , ,Stružinec,Stružinec,281808608,"[50.554444190279426, 15.362620281171173]"
237, , ,Stružinec,Stružinec,49238255010,"[50.545344389459125, 15.35106659220325]"
236, , ,Stružinec,Stružinec,34881953010,"[50.554952781998956, 15.361383035646503]"
25, , ,Stružinec,Pohoří,29782509010,"[50.57340016880541, 15.370428188323888]"
81, , ,Stružinec,Tuhaň,423896608,"[50.56148827960151, 15.329239476163583]"
16, , ,Stružinec,Bezděčín,282765608,"[50.554249115826416, 15.31618580647042]"
24, , ,Stružinec,Pohoří,24927657010,"[50.56806273967471, 15.363223272926405]"
65, , ,Stružinec,Stružinec,281773608,"[50.555897983364936, 15.363928171526174]"
177, , ,Stružinec,Stružinec,281718608,"[50.55476224294247, 15.360240093821691]"
146, , ,Stružinec,Stružinec,281716608,"[50.547052192531396, 15.35795442902593]"
59, , ,Stružinec,Stružinec,281944608,"[50.560217172219346, 15.366182413121214]"
133, , ,Stružinec,Stružinec,281779608,"[50.56589761216956, 15.361627753980331]"
212, , ,Stružinec,Stružinec,21761328010,"[50.55603572042585, 15.367370972809288]"
54, , ,Stružinec,Tuhaň,14893171010,"[50.56075988713346, 15.33555532325552]"
7, , ,Stružinec,Stružinec,14412045010,"[50.548992562745035, 15.354332340658347]"
30, , ,Stružinec,Tuhaň,282776608,"[50.5639939781403, 15.324536523390798]"
233, , ,Stružinec,Stružinec,422369608,"[50.55971586887243, 15.36306652260041]"
129, , ,Stružinec,Stružinec,281898608,"[50.55533942396431, 15.370351329751347]"
15, , ,Stružinec,Tuhaň,282773608,"[50.56820857960526, 15.323991765424045]"
232, , ,Stružinec,Stružinec,429253608,"[50.553718380449524, 15.362151009412297]"
17, , ,Stružinec,Stružinec,281746608,"[50.551683910228704, 15.358212677107124]"
37, , ,Stružinec,Stružinec,281838608,"[50.55674880929751, 15.363349116020165]"
220, , ,Stružinec,Stružinec,418610608,"[50.55611492270571, 15.369508001679892]"
56, , ,Stružinec,Stružinec,281777608,"[50.54913165693726, 15.35824362091572]"
16, , ,Stružinec,Stružinec,281931608,"[50.551341678387296, 15.357327059057212]"
108, , ,Stružinec,Stružinec,281835608,"[50.54489841166379, 15.34990291126945]"
34, , ,Stružinec,Tuhaň,282772608,"[50.56254614546252, 15.328034268760414]"
14, , ,Stružinec,Bezděčín,282739608,"[50.55376608246261, 15.314325946393744]"
150, , ,Stružinec,Stružinec,281831608,"[50.56033369255807, 15.362177510673149]"
174, , ,Stružinec,Stružinec,281714608,"[50.55016520500922, 15.358936863567465]"
190, , ,Stružinec,Stružinec,281772608,"[50.55894555938943, 15.361809514158793]"
78, , ,Stružinec,Stružinec,281880608,"[50.55308750378722, 15.360255407989852]"
90, , ,Stružinec,Stružinec,281883608,"[50.548128225068446, 15.357359668002442]"
11, , ,Stružinec,Tuhaň,282785608,"[50.563501653728764, 15.328751682892221]"
18, , ,Stružinec,Tuhaň,282758608,"[50.56814268037243, 15.320511762439176]"
15, , ,Stružinec,Bezděčín,282738608,"[50.5554965532131, 15.316017711937958]"
19, , ,Stružinec,Stružinec,281731608,"[50.552001612895886, 15.359017796943567]"
123, , ,Stružinec,Stružinec,281896608,"[50.54904255924377, 15.357009850329526]"
105, , ,Stružinec,Stružinec,281767608,"[50.55143524805062, 15.358389381852119]"
26, , ,Stružinec,Tuhaň,282802608,"[50.56538422973364, 15.320027150485865]"
49, , ,Stružinec,Tuhaň,282788608,"[50.56007061247751, 15.333732623071185]"
206, , ,Stružinec,Stružinec,281851608,"[50.55582240637042, 15.369360917652665]"
193, , ,Stružinec,Stružinec,281780608,"[50.55007937580006, 15.358655087221061]"
218, , ,Stružinec,Stružinec,0,"[50.55916354490181, 15.361973868312392]"
112, , ,Stružinec,Stružinec,281998608,"[50.550738437267, 15.357601698676095]"
43, , ,Stružinec,Tuhaň,282759608,"[50.560749785393725, 15.33197491926772]"
2, , ,Stružinec,Tuhaň,282823608,"[50.56057670990428, 15.337005458319917]"
6, , ,Stružinec,Tuhaň,282781608,"[50.561526809100116, 15.33355594357119]"
56, , ,Stružinec,Tuhaň,282767608,"[50.56051967679526, 15.335083259714905]"
72, , ,Stružinec,Tuhaň,282751608,"[50.56013849160058, 15.332803642548472]"
1, , ,Stružinec,Pohoří,279334608,"[50.57480556149185, 15.370726870964598]"
44, , ,Stružinec,Stružinec,281875608,"[50.55990534485117, 15.363626711014765]"
21, , ,Stružinec,Pohoří,279351608,"[50.568894975376054, 15.366353547809322]"
10, , ,Stružinec,Stružinec,281924608,"[50.549419494561405, 15.356168165446737]"
24, , ,Stružinec,Stružinec,281942608,"[50.55397851533826, 15.359042764664652]"
52, , ,Stružinec,Stružinec,281820608,"[50.56637347826693, 15.363511576975288]"
13, , ,Stružinec,Bezděčín,282737608,"[50.553762959375554, 15.313970609465544]"
29, , ,Stružinec,Tuhaň,282798608,"[50.56434041536826, 15.322812415473152]"
5, , ,Stružinec,Pohoří,279343608,"[50.5721631150463, 15.367005724592909]"
69, , ,Stružinec,Stružinec,281830608,"[50.55487234822416, 15.362650167961986]"
200, , ,Stružinec,Stružinec,281744608,"[50.55651867096773, 15.367449758443685]"
19, , ,Stružinec,Tuhaň,282725608,"[50.56940127034073, 15.316448146995768]"
43, , ,Stružinec,Stružinec,281972608,"[50.5587969439179, 15.364270473677376]"
143, , ,Stružinec,Stružinec,281940608,"[50.55954277681022, 15.364991890678885]"
39, , ,Stružinec,Stružinec,281825608,"[50.5574880774616, 15.363190079328616]"
183, , ,Stružinec,Stružinec,281856608,"[50.55558390491494, 15.361117179083841]"
4, , ,Stružinec,Tuhaň,282780608,"[50.56140347572381, 15.335208691798831]"
207, , ,Stružinec,Stružinec,281829608,"[50.55555145862542, 15.369371296568552]"
130, , ,Stružinec,Stružinec,281806608,"[50.56436732367795, 15.360817374112882]"
211, , ,Stružinec,Stružinec,281916608,"[50.55591747358828, 15.367706972637741]"
22, , ,Stružinec,Stružinec,281848608,"[50.55300405965368, 15.358408981754614]"
3, , ,Stružinec,Tuhaň,282734608,"[50.560963136669386, 15.336176310567307]"
41, , ,Stružinec,Tuhaň,282710608,"[50.5609664381623, 15.329617580572402]"
70, , ,Stružinec,Tuhaň,282824608,"[50.56291571708518, 15.324103338030694]"
23, , ,Stružinec,Stružinec,281922608,"[50.553572911462865, 15.35879078488067]"
71, , ,Stružinec,Stružinec,281878608,"[50.55527792367286, 15.362531611330084]"
13, , ,Stružinec,Pohoří,279340608,"[50.57339558885553, 15.36842898278272]"
88, , ,Stružinec,Stružinec,281827608,"[50.54832665958587, 15.357804201384235]"
104, , ,Stružinec,Stružinec,281736608,"[50.54876595807175, 15.357974042395169]"
152, , ,Stružinec,Stružinec,281758608,"[50.55594930979298, 15.363662150352168]"
20, , ,Stružinec,Stružinec,281868608,"[50.55274751490081, 15.3593977520978]"
48, , ,Stružinec,Tuhaň,282720608,"[50.56039210258712, 15.334714934972242]"
1, , ,Stružinec,Tuhaň,282778608,"[50.560337351303474, 15.337372486985434]"
63, , ,Stružinec,Tuhaň,282719608,"[50.561584099831066, 15.331091378082437]"
180, , ,Stružinec,Stružinec,281739608,"[50.554286189694466, 15.359721912296223]"
2, , ,Stružinec,Pohoří,279337608,"[50.57341320753973, 15.369283898792093]"
