cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
164, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11625752380658, 17.249989317487]"
100, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11489383351577, 17.249364595407872]"
32, , ,68601,Stupava,Stupava,Stupava,758612,"[49.118601524998866, 17.248255620978693]"
31, , ,68601,Stupava,Stupava,Stupava,758612,"[49.118020449983376, 17.24777749247983]"
171, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12350112265598, 17.252580812957557]"
11, , ,68601,Stupava,Stupava,Stupava,758612,"[49.10995146461414, 17.247972168611753]"
156, , ,68601,Stupava,Stupava,Stupava,758612,"[49.111143832250306, 17.24596646966037]"
12, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11006752371448, 17.24780107605019]"
55, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11841891044989, 17.248261570195954]"
86, , ,68601,Stupava,Stupava,Stupava,758612,"[49.110534489884735, 17.248387428799052]"
9, , ,68601,Stupava,Stupava,Stupava,758612,"[49.120246881000206, 17.24897118835441]"
45, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12195696154679, 17.2501214495565]"
78, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11220535970836, 17.249003751950365]"
157, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11368437243014, 17.248887359755866]"
149, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12277193600753, 17.25202632332161]"
92, , ,68601,Stupava,Stupava,Stupava,758612,"[49.123085641079804, 17.25092966812235]"
172, , ,68601,Stupava,Stupava,Stupava,758612,"[49.123095896557594, 17.252187868958725]"
75, , ,68601,Stupava,Stupava,Stupava,758612,"[49.113047479874005, 17.249114878638824]"
141, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12210480636028, 17.24989180053]"
70, , ,68601,Stupava,Stupava,Stupava,758612,"[49.114844238330775, 17.249630387908123]"
160, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12302394857892, 17.249790386637923]"
68, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11683374733418, 17.249552504390056]"
90, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11537016384297, 17.249473527595743]"
132, , ,68601,Stupava,Stupava,Stupava,758612,"[49.110505143446325, 17.24648158287938]"
76, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11270276253755, 17.248862645515906]"
16, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11158585017583, 17.24759898304202]"
8, , ,68601,Stupava,Stupava,Stupava,758612,"[49.1236020536533, 17.253157595169608]"
77, , ,68601,Stupava,Stupava,Stupava,758612,"[49.112430435047486, 17.249337729530296]"
47, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12140278183778, 17.24964951537046]"
84, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11075202774469, 17.248354433798383]"
38, , ,68601,Stupava,Stupava,Stupava,758612,"[49.10847876543643, 17.250454019260893]"
17, , ,68601,Stupava,Stupava,Stupava,758612,"[49.112039556149206, 17.248282488624888]"
110, , ,68601,Stupava,Stupava,Stupava,758612,"[49.10970559790802, 17.248099902245553]"
10, , ,68601,Stupava,Stupava,Stupava,758612,"[49.109198342762106, 17.245576111310733]"
152, , ,68601,Stupava,Stupava,Stupava,758612,"[49.111143142500865, 17.24844543644549]"
139, , ,68601,Stupava,Stupava,Stupava,758612,"[49.109518647670626, 17.24579484161089]"
40, , ,68601,Stupava,Stupava,Stupava,758612,"[49.1212356339397, 17.249045769519718]"
176, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11674461078453, 17.2519392806298]"
69, , ,68601,Stupava,Stupava,Stupava,758612,"[49.10936120575785, 17.24729839583952]"
131, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11112404743055, 17.24655535734993]"
103, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12220721037981, 17.2500386058126]"
82, , ,68601,Stupava,Stupava,Stupava,758612,"[49.1253518641153, 17.25192535873729]"
116, , ,68601,Stupava,Stupava,Stupava,758612,"[49.1160301186879, 17.2504092926163]"
115, , ,68601,Stupava,Stupava,Stupava,758612,"[49.113925759486946, 17.24959952575192]"
37, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12047383651204, 17.24818485428745]"
81, , ,68601,Stupava,Stupava,Stupava,758612,"[49.108925390537074, 17.24564202793514]"
112, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11867410528107, 17.24798755867833]"
95, , ,68601,Stupava,Stupava,Stupava,758612,"[49.10938390725829, 17.245511614747237]"
79, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11521891580682, 17.249059220792102]"
54, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11905006002282, 17.248376202213194]"
128, , ,68601,Stupava,Stupava,Stupava,758612,"[49.124714944434004, 17.24893640822214]"
173, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11509185499821, 17.249050958347762]"
108, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12277991560694, 17.250615692992483]"
154, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11690763891224, 17.251872846180355]"
23, , ,68601,Stupava,Stupava,Stupava,758612,"[49.115570029392366, 17.24906365027734]"
18, , ,68601,Stupava,Stupava,Stupava,758612,"[49.112450538387, 17.248460374422702]"
137, , ,68601,Stupava,Stupava,Stupava,758612,"[49.13005875478239, 17.26866555435741]"
91, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11371367735074, 17.249140766785953]"
15, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11104132182174, 17.248122372749766]"
25, , ,68601,Stupava,Stupava,Stupava,758612,"[49.116376143930346, 17.249009667072176]"
14, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11035499992671, 17.24806238416177]"
142, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12268356352672, 17.25228935963162]"
56, , ,68601,Stupava,Stupava,Stupava,758612,"[49.118691222018946, 17.24854119611333]"
58, , ,68601,Stupava,Stupava,Stupava,758612,"[49.1174112958837, 17.248726677083162]"
120, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12196990839624, 17.24963219914637]"
30, , ,68601,Stupava,Stupava,Stupava,758612,"[49.117638951988305, 17.248023025200425]"
153, , ,68601,Stupava,Stupava,Stupava,758612,"[49.123320238888184, 17.252144211962936]"
124, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11951206044611, 17.248178758161668]"
119, , ,68601,Stupava,Stupava,Stupava,758612,"[49.120026068913546, 17.248907064779516]"
113, , ,68601,Stupava,Stupava,Stupava,758612,"[49.1237672539347, 17.253850901772044]"
66, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11632358376568, 17.249632495819753]"
85, , ,68601,Stupava,Stupava,Stupava,758612,"[49.117776556668694, 17.24844148438428]"
13, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12505537272956, 17.251563145658665]"
19, , ,68601,Stupava,Stupava,Stupava,758612,"[49.10907651709187, 17.25048630925316]"
61, , ,68601,Stupava,Stupava,Stupava,758612,"[49.110096443817895, 17.24829046849104]"
155, , ,68601,Stupava,Stupava,Stupava,758612,"[49.122506994254685, 17.24986879951818]"
127, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12368068546213, 17.2490712775231]"
42, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12183005773598, 17.2496660796852]"
93, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12301865240851, 17.250670637390996]"
138, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11031622649163, 17.24608432721596]"
136, , ,68601,Stupava,Stupava,Stupava,758612,"[49.115613910730666, 17.250816591937458]"
74, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11345892586546, 17.24954325838153]"
87, , ,68601,Stupava,Stupava,Stupava,758612,"[49.10993916316475, 17.24918170330205]"
33, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11816102234974, 17.247753274970233]"
129, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12425408203435, 17.258154580978182]"
177, , ,68601,Stupava,Stupava,Stupava,758612,"[49.10870190056608, 17.246138180605673]"
26, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11587899730691, 17.24807482225574]"
147, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12269628650706, 17.249761740351982]"
4, , ,68601,Stupava,Stupava,Stupava,758612,"[49.109792867599516, 17.246674301891773]"
106, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11338585494623, 17.24888569228729]"
20, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11355643025015, 17.248926451596706]"
59, , ,68601,Stupava,Stupava,Stupava,758612,"[49.117310608886896, 17.249211844340696]"
169, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12023104934159, 17.254032564573183]"
148, , ,68601,Stupava,Stupava,Stupava,758612,"[49.112549348584494, 17.248538310674174]"
7, , ,68601,Stupava,Stupava,Stupava,758612,"[49.109676067913114, 17.246843719197155]"
50, , ,68601,Stupava,Stupava,Stupava,758612,"[49.120415933174726, 17.249207148455355]"
163, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11049100940011, 17.24806928598463]"
36, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11888084273563, 17.248407379760668]"
27, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11666970688634, 17.24803816625639]"
53, , ,68601,Stupava,Stupava,Stupava,758612,"[49.1231400804292, 17.250177728511066]"
133, , ,68601,Stupava,Stupava,Stupava,758612,"[49.108994752340664, 17.24662812822736]"
49, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12088866038104, 17.249147557317677]"
57, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11777546674132, 17.24869167503113]"
80, , ,68601,Stupava,Stupava,Stupava,758612,"[49.116117744376474, 17.249466977981065]"
170, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11681379471436, 17.253230790423356]"
71, , ,68601,Stupava,Stupava,Stupava,758612,"[49.114128672662616, 17.2496414409879]"
43, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11306045352575, 17.248482400474803]"
48, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12112763540058, 17.249311230311292]"
5, , ,68601,Stupava,Stupava,Stupava,758612,"[49.10982277129747, 17.24718419109981]"
114, , ,68601,Stupava,Stupava,Stupava,758612,"[49.123062295022734, 17.25329918980889]"
102, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11319122017929, 17.24851832066391]"
122, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11402285324459, 17.248146850960723]"
165, , ,68601,Stupava,Stupava,Stupava,758612,"[49.123254425427255, 17.251709441087943]"
65, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11651304913807, 17.249389812453224]"
101, , ,68601,Stupava,Stupava,Stupava,758612,"[49.112651108367515, 17.24849961062283]"
98, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11185874304558, 17.24898102030312]"
166, , ,68601,Stupava,Stupava,Stupava,758612,"[49.12233926698044, 17.250974016635233]"
6, , ,68601,Stupava,Stupava,Stupava,758612,"[49.10980103267912, 17.247030008778534]"
179, , ,68601,Stupava,Stupava,Stupava,758612,"[49.10997967789044, 17.246192103169744]"
151, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11004220516669, 17.246884397723015]"
134, , ,68601,Stupava,Stupava,Stupava,758612,"[49.109651438796355, 17.245473362429212]"
178, , ,68601,Stupava,Stupava,Stupava,758612,"[49.116599539192244, 17.249304139184993]"
34, , ,68601,Stupava,Stupava,Stupava,758612,"[49.125216862691005, 17.251315444508787]"
162, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11819437291275, 17.248497196580406]"
22, , ,68601,Stupava,Stupava,Stupava,758612,"[49.11433190552228, 17.248876564946734]"
