cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
1, , ,53854,Střemošice,Bílý Kůň,Bílý Kůň,757527,"[49.87620928265061, 16.06972089405302]"
14, , ,53854,Střemošice,Střemošice,Střemošice,757527,"[49.88994911893173, 16.073044516628716]"
13, , ,53854,Střemošice,Střemošice,Střemošice,757527,"[49.89030581752223, 16.07236894545768]"
41, , ,53854,Střemošice,Bílý Kůň,Bílý Kůň,757527,"[49.88190351472891, 16.06670165729833]"
47, , ,53854,Střemošice,Bílý Kůň,Bílý Kůň,757527,"[49.88182334146884, 16.065515711410157]"
22, , ,53854,Střemošice,Střemošice,Střemošice,757527,"[49.891027670609425, 16.073145007087188]"
17, , ,53854,Střemošice,Bílý Kůň,Bílý Kůň,757527,"[49.88163035118082, 16.069290575665512]"
43, , ,53854,Střemošice,Bílý Kůň,Bílý Kůň,757527,"[49.88243045353718, 16.066728323243765]"
18, , ,53854,Střemošice,Bílý Kůň,Bílý Kůň,757527,"[49.881286058119585, 16.067686336203266]"
40, , ,53854,Střemošice,Střemošice,Střemošice,757527,"[49.893855372117336, 16.071569622847388]"
55, , ,53854,Střemošice,Střemošice,Střemošice,757527,"[49.893220695991765, 16.07367527393356]"
51, , ,53854,Střemošice,Bílý Kůň,Bílý Kůň,757527,"[49.881714623408165, 16.066201434958785]"
54, , ,53854,Střemošice,Bílý Kůň,Bílý Kůň,757527,"[49.88151565760912, 16.0656668770676]"
31, , ,53854,Střemošice,Střemošice,Střemošice,757527,"[49.892152915736624, 16.071766419125215]"
37, , ,53854,Střemošice,Střemošice,Střemošice,757527,"[49.893472660558054, 16.072109790012433]"
11, , ,53854,Střemošice,Střemošice,Střemošice,757527,"[49.893055923629255, 16.072838431191723]"
45, , ,53854,Střemošice,Střemošice,Střemošice,757527,"[49.89384301817048, 16.07067712736904]"
38, , ,53854,Střemošice,Bílý Kůň,Bílý Kůň,757527,"[49.882497817643696, 16.0676320849565]"
12, , ,53854,Střemošice,Střemošice,Střemošice,757527,"[49.8908413138433, 16.07229916609959]"
48, , ,53854,Střemošice,Střemošice,Střemošice,757527,"[49.8931746419505, 16.071717592093684]"
