cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
305, , ,Stříbrnice,Stříbrnice,62343967010,"[49.05325965481182, 17.30467416260863]"
172, , ,Stříbrnice,Stříbrnice,375138711,"[49.06785375492367, 17.29738445601626]"
290, , ,Stříbrnice,Stříbrnice,375231711,"[49.054223706751586, 17.304990360582234]"
164, , ,Stříbrnice,Stříbrnice,16337148010,"[49.057271380380826, 17.303280148235913]"
709, , ,Stříbrnice,Stříbrnice,375086711,"[49.07511024081093, 17.31838631303506]"
165, , ,Stříbrnice,Stříbrnice,375091711,"[49.06008887643714, 17.297034187387695]"
257, , ,Stříbrnice,Stříbrnice,375233711,"[49.05818341536621, 17.31238336962011]"
56, , ,Stříbrnice,Stříbrnice,0,"[49.0607692694549, 17.30798098084897]"
300, , ,Stříbrnice,Stříbrnice,16286973010,"[49.054289709309415, 17.303190681418094]"
304, , ,Stříbrnice,Stříbrnice,61294655010,"[49.051726882685635, 17.30387319434615]"
302, , ,Stříbrnice,Stříbrnice,27088350010,"[49.068900019543605, 17.304534289087876]"
303, , ,Stříbrnice,Stříbrnice,61868834010,"[49.05482171031525, 17.30389618323579]"
287, , ,Stříbrnice,Stříbrnice,61120520010,"[49.06962095654715, 17.298097522580015]"
101, , ,Stříbrnice,Stříbrnice,341673808,"[49.32869896745502, 17.248700477891873]"
70, , ,Stříbrnice,Stříbrnice,596951711,"[49.065129714098944, 17.296793355188665]"
296, , ,Stříbrnice,Stříbrnice,48106261010,"[49.061407535177146, 17.306127076137795]"
69, , ,Stříbrnice,Stříbrnice,592517711,"[49.062242811529636, 17.294505122734808]"
295, , ,Stříbrnice,Stříbrnice,44170149010,"[49.05394645365578, 17.3050625697029]"
293, , ,Stříbrnice,Stříbrnice,26769406010,"[49.05686663913207, 17.309119750123436]"
74, , ,Stříbrnice,Stříbrnice,21467065010,"[49.069870481353796, 17.301746100206675]"
182, , ,Stříbrnice,Stříbrnice,374992711,"[49.064250473255186, 17.289526980583542]"
292, , ,Stříbrnice,Stříbrnice,24714745010,"[49.056862324231, 17.307800398436957]"
291, , ,Stříbrnice,Stříbrnice,23252965010,"[49.0569114906637, 17.307861758614465]"
268, , ,Stříbrnice,Stříbrnice,375235711,"[49.057035677892664, 17.30810434387759]"
105, , ,Stříbrnice,Stříbrnice,375054711,"[49.05863229500724, 17.31000944112401]"
25, , ,Stříbrnice,Stříbrnice,15904963010,"[49.0746254117004, 17.321415267493272]"
42, , ,Stříbrnice,Stříbrnice,22591702010,"[49.056389657091515, 17.30692269945058]"
49, , ,Stříbrnice,Stříbrnice,15551362010,"[49.05683528869748, 17.304600704040308]"
284, , ,Stříbrnice,Stříbrnice,597253711,"[49.06071438383306, 17.307977679957954]"
103, , ,Stříbrnice,Stříbrnice,19921414010,"[49.3287028339944, 17.249515378088883]"
289, , ,Stříbrnice,Stříbrnice,16252170010,"[49.05430833412399, 17.303399483519648]"
285, , ,Stříbrnice,Stříbrnice,375203711,"[49.05987547538655, 17.308557554091486]"
102, , ,Stříbrnice,Stříbrnice,382387808,"[49.329035286965826, 17.246890768875723]"
16, , ,Stříbrnice,Stříbrnice,390736711,"[49.05656871258367, 17.30804101587678]"
216, , ,Stříbrnice,Stříbrnice,375116711,"[49.05619697522065, 17.30825721011531]"
178, , ,Stříbrnice,Stříbrnice,374985711,"[49.06579864437776, 17.314476852525235]"
258, , ,Stříbrnice,Stříbrnice,453130711,"[49.05802762859199, 17.309069165196806]"
133, , ,Stříbrnice,Stříbrnice,374983711,"[49.057272655177115, 17.291539939923318]"
47, , ,Stříbrnice,Stříbrnice,549257711,"[49.05642323060901, 17.305476110970524]"
117, , ,Stříbrnice,Stříbrnice,375068711,"[49.057864354840554, 17.309729376866187]"
93, , ,Stříbrnice,Stříbrnice,375021711,"[49.05547445467325, 17.306015709975828]"
235, , ,Stříbrnice,Stříbrnice,374972711,"[49.05532616130431, 17.306364969744326]"
48, , ,Stříbrnice,Stříbrnice,375029711,"[49.05646489773379, 17.305261947096227]"
13, , ,Stříbrnice,Stříbrnice,374987711,"[49.075557219305075, 17.318750831891283]"
88, , ,Stříbrnice,Stříbrnice,375180711,"[49.05922843036055, 17.30858082423021]"
94, , ,Stříbrnice,Stříbrnice,375048711,"[49.053395917193015, 17.30065982190951]"
124, , ,Stříbrnice,Stříbrnice,374963711,"[49.055685510035765, 17.306344910571216]"
225, , ,Stříbrnice,Stříbrnice,375115711,"[49.06219684260541, 17.30513834090969]"
241, , ,Stříbrnice,Stříbrnice,375083711,"[49.06758199625205, 17.29823639218594]"
2, , ,Stříbrnice,Stříbrnice,374978711,"[49.069166777599676, 17.302433068796024]"
10, , ,Stříbrnice,Stříbrnice,160313808,"[49.32753507811727, 17.248847085351542]"
87, , ,Stříbrnice,Stříbrnice,160276808,"[49.327325478500974, 17.249721441379126]"
69, , ,Stříbrnice,Stříbrnice,160281808,"[49.32796032575752, 17.24345638195432]"
66, , ,Stříbrnice,Stříbrnice,160338808,"[49.32742495968386, 17.24906433960137]"
51, , ,Stříbrnice,Stříbrnice,160248808,"[49.3277239286789, 17.244087920480037]"
81, , ,Stříbrnice,Stříbrnice,160302808,"[49.32927528871829, 17.247002973641216]"
86, , ,Stříbrnice,Stříbrnice,160266808,"[49.327892026519905, 17.241530816557948]"
57, , ,Stříbrnice,Stříbrnice,160314808,"[49.32789691967104, 17.243694183647825]"
55, , ,Stříbrnice,Stříbrnice,160320808,"[49.32767573507481, 17.244055585025347]"
201, , ,Stříbrnice,Stříbrnice,375238711,"[49.05801179232747, 17.281486557796455]"
99, , ,Stříbrnice,Stříbrnice,285100808,"[49.32719081561386, 17.249689274912516]"
42, , ,Stříbrnice,Stříbrnice,524131711,"[49.073706452315385, 17.321443837293035]"
115, , ,Stříbrnice,Stříbrnice,375078711,"[49.067580012403475, 17.296975389040792]"
215, , ,Stříbrnice,Stříbrnice,375112711,"[49.05584483284164, 17.306550992827734]"
30, , ,Stříbrnice,Stříbrnice,375014711,"[49.05602404159522, 17.307139906328057]"
263, , ,Stříbrnice,Stříbrnice,560390711,"[49.05759216867915, 17.31124154546471]"
