cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
195, , ,Střítež,Střítež,62414072010,"[49.19110487291767, 15.898527769065328]"
27, , ,Střítež,Střítež,75673745,"[49.44014458217199, 16.256102827590308]"
327, , ,Střítež,Střítež,62281027010,"[49.682385123494704, 18.565120784230114]"
17, , ,Střítež,Střítež,75703745,"[49.441205998300596, 16.257485797489988]"
3, , ,Střítež,Střítež,0,"[49.45497405942387, 15.625729114945162]"
239, , ,Střítež,Střítež,62170796010,"[49.460920834443804, 15.627230664623596]"
326, , ,Střítež,Střítež,62121210010,"[49.68482686994244, 18.57232063603365]"
332, , ,Střítež,Střítež,60843415010,"[49.68177663107251, 18.571048019080298]"
330, , ,Střítež,Střítež,60843413010,"[49.68182394320335, 18.570690989090572]"
331, , ,Střítež,Střítež,60843414010,"[49.68179878911565, 18.570887975974962]"
8, , ,Střítež,Raveň,57793331,"[48.7661314182708, 14.466903440734507]"
8, , ,Střítež,Střítež,57790331,"[48.75802682907293, 14.4422514455852]"
12, , ,Střítež,Střítež,75722745,"[49.44033188070232, 16.25494650033994]"
118, , ,Střítež,Kaplice-nádraží,57701331,"[48.77754996770781, 14.463576661134752]"
14, , ,Střítež,Kaplice-nádraží,104554331,"[48.773264788899645, 14.468180092031549]"
22, , ,Střítež,Střítež,57833331,"[48.77004225444545, 14.453140086297042]"
319, , ,Střítež,Střítež,58026606010,"[49.684764301087945, 18.574192628785745]"
320, , ,Střítež,Střítež,58834068010,"[49.69214051235167, 18.575833515289613]"
318, , ,Střítež,Střítež,57245613010,"[49.67736728243096, 18.56894039334082]"
191, , ,Střítež,Střítež,273533710,"[49.18748587650898, 15.891728509242911]"
236, , ,Střítež,Střítež,57819698010,"[49.46091662193173, 15.626719079926316]"
48, , ,Střítež,Střítež,57192605010,"[49.364183651729036, 15.121534377352512]"
48, , ,Střítež,Střítež,75704745,"[49.44079314083776, 16.25795036776298]"
316, , ,Střítež,Střítež,16129797010,"[49.67931492292476, 18.571127149924585]"
315, , ,Střítež,Střítež,49850244010,"[49.67837849020364, 18.57709821386012]"
230, , ,Střítež,Střítež,50121248010,"[49.45357977635423, 15.625346904271474]"
226, , ,Střítež,Střítež,49554245010,"[49.459539901208466, 15.621680768405085]"
225, , ,Střítež,Střítež,34619945010,"[49.46112972983837, 15.625748345129086]"
311, , ,Střítež,Střítež,34878947010,"[49.67569994123573, 18.568122407595343]"
222, , ,Střítež,Střítež,34038946010,"[49.46058089468562, 15.626253483943074]"
221, , ,Střítež,Střítež,36525058010,"[49.460857332885844, 15.625854625347339]"
312, , ,Střítež,Střítež,36534054010,"[49.6782350772016, 18.577964333350458]"
227, , ,Střítež,Střítež,35874947010,"[49.45301671424221, 15.62807771940682]"
307, , ,Střítež,Střítež,29712377010,"[49.68288693585715, 18.571120728073037]"
1350, ,Spojovací,Střítež,Střítež,29939412010,"[49.200671413126166, 15.889055783182036]"
304, , ,Střítež,Střítež,28930360010,"[49.683464524082986, 18.56976862406055]"
219, , ,Střítež,Střítež,29120080010,"[49.4607181114779, 15.627645399099267]"
301, , ,Střítež,Střítež,29211214010,"[49.67859814091073, 18.57613905214606]"
47, , ,Střítež,Střítež,26938340010,"[49.36319427403984, 15.124879303903024]"
217, , ,Střítež,Střítež,26899329010,"[49.45322864886145, 15.625259403204067]"
218, , ,Střítež,Střítež,26946544010,"[49.460579521659945, 15.625892429184084]"
303, , ,Střítež,Střítež,26684375010,"[49.674380694169486, 18.57062451346244]"
40, , ,Střítež,Raveň,27089333010,"[48.76700135689464, 14.470273502874019]"
215, , ,Střítež,Střítež,26031308010,"[49.45348377595981, 15.62585107752438]"
216, , ,Střítež,Střítež,26200360010,"[49.45339825660388, 15.62522784195538]"
188, ,Hrotovická-Průmyslová Zóna,Střítež,Střítež,0,"[49.20109610301023, 15.892917531992417]"
302, , ,Střítež,Střítež,25792980010,"[49.68289615323213, 18.5690896718709]"
44, , ,Střítež,Raveň,25117649010,"[48.76767309713297, 14.473786421280074]"
39, , ,Střítež,Raveň,25251344010,"[48.7667825677828, 14.469961845482228]"
187, , ,Střítež,Střítež,25391093010,"[49.1888965633034, 15.897926418388199]"
18, , ,Střítež,Střítež,395195832,"[49.67420304270433, 18.55865039123194]"
296, , ,Střítež,Střítež,23808922010,"[49.67730151476858, 18.573299960855636]"
297, , ,Střítež,Střítež,24697687010,"[49.67879806489105, 18.57633624783345]"
61, , ,Střítež,Střítež,75662745,"[49.44061755044107, 16.256301589496683]"
60, , ,Střítež,Střítež,16409512010,"[49.441337360331794, 16.25440071599999]"
136, , ,Střítež,Střítež,14125223707,"[49.459413815947144, 15.631542757248713]"
23, , ,Střítež,Bor,24837693010,"[49.37890209128294, 15.127338465703504]"
299, , ,Střítež,Střítež,24922650010,"[49.67706258599519, 18.568130894656157]"
298, , ,Střítež,Střítež,24752580010,"[49.67324589865714, 18.57133780667612]"
214, , ,Střítež,Střítež,24966581010,"[49.45317944820158, 15.625782653869969]"
141, , ,Střítež,Střítež,14281536707,"[49.4531869036947, 15.629199295131269]"
46, , ,Střítež,Střítež,536274304,"[49.36446822474065, 15.126128632274794]"
72, , ,Střítež,Kaplice-nádraží,57637331,"[48.77265416469137, 14.46724929030026]"
170, , ,Střítež,Střítež,14125363707,"[49.45619843926961, 15.6277637085925]"
155, ,Hrotovická-Průmyslová Zóna,Střítež,Střítež,443024710,"[49.2026906113395, 15.896804190358806]"
59, , ,Střítež,Střítež,109959745,"[49.440443466860295, 16.256026410247816]"
7, , ,Střítež,Střítež,75671745,"[49.43919354405162, 16.25539618700725]"
14, , ,Střítež,Střítež,75729745,"[49.441014191408854, 16.255788881731828]"
4, , ,Střítež,Střítež,75702745,"[49.440146261187124, 16.256660677594457]"
21, , ,Střítež,Střítež,75688745,"[49.44032817527286, 16.255935341211973]"
13, , ,Střítež,Střítež,75693745,"[49.44081750595556, 16.25483762022112]"
46, , ,Střítež,Střítež,16176623010,"[49.44153213336616, 16.25630987112573]"
41, , ,Střítež,Střítež,316159304,"[49.3658985904028, 15.12924907304449]"
56, , ,Střítež,Střítež,273323710,"[49.18847152409253, 15.900047185655435]"
293, , ,Střítež,Střítež,23080377010,"[49.67501800781512, 18.56751354000749]"
