cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
51, , ,Sázavka,Sázavka,363908601,"[49.73506434668482, 15.410719126535597]"
146, , ,Sázavka,Sázavka,541511601,"[49.731984402711475, 15.413681909008577]"
141, , ,Sázavka,Sázavka,27056362010,"[49.73472346644883, 15.413828209150546]"
138, , ,Sázavka,Sázavka,16372997010,"[49.733049715785135, 15.41735000989369]"
135, , ,Sázavka,Sázavka,619795601,"[49.73403038014851, 15.418727893113708]"
140, , ,Sázavka,Sázavka,16231675010,"[49.73444648604071, 15.414552279236855]"
38, , ,Sázavka,Sázavka,363914601,"[49.734322574936975, 15.412674819710608]"
139, , ,Sázavka,Sázavka,16434854010,"[49.73217628133942, 15.413589238236565]"
130, , ,Sázavka,Sázavka,543696601,"[49.7323015616479, 15.412894257160563]"
137, , ,Sázavka,Sázavka,15896763010,"[49.733641335963206, 15.41839698598377]"
136, , ,Sázavka,Sázavka,15854974010,"[49.73421536017785, 15.41900001960521]"
133, , ,Sázavka,Sázavka,559968601,"[49.733497776201396, 15.417851332347182]"
49, , ,Sázavka,Sázavka,363890601,"[49.734965581560864, 15.411299893644438]"
36, , ,Sázavka,Sázavka,363897601,"[49.734206767041755, 15.412965130958803]"
16, , ,Sázavka,Sázavka,363811601,"[49.73039915452394, 15.39923261138149]"
45, , ,Sázavka,Sázavka,363820601,"[49.73474763030853, 15.41162921600188]"
88, , ,Sázavka,Sázavka,363771601,"[49.73470714171739, 15.406036609628247]"
34, , ,Sázavka,Sázavka,363860601,"[49.733985170922054, 15.413386562583288]"
61, , ,Sázavka,Sázavka,363947601,"[49.734606483895526, 15.409441485110257]"
102, , ,Sázavka,Sázavka,363770601,"[49.73191864957327, 15.418132579116524]"
1, , ,Sázavka,Sázavka,363813601,"[49.73155135881886, 15.397872690956772]"
5, , ,Sázavka,Sázavka,363831601,"[49.73093065570684, 15.400015913724772]"
10, , ,Sázavka,Sázavka,363784601,"[49.73066257030696, 15.399377775624957]"
15, , ,Sázavka,Sázavka,363830601,"[49.73555644376244, 15.408436843263647]"
107, , ,Sázavka,Sázavka,363950601,"[49.73185775748778, 15.419650984710271]"
31, , ,Sázavka,Sázavka,363840601,"[49.73343705257269, 15.414200165905344]"
70, , ,Sázavka,Sázavka,363918601,"[49.7333079494936, 15.414485185871788]"
124, , ,Sázavka,Sázavka,363957601,"[49.73309547312287, 15.415979418927087]"
4, , ,Sázavka,Sázavka,363823601,"[49.73096937195581, 15.39911133123553]"
68, , ,Sázavka,Sázavka,363799601,"[49.7330832963782, 15.415245897997783]"
20, , ,Sázavka,Sázavka,363913601,"[49.733348301590546, 15.413190821508415]"
24, , ,Sázavka,Sázavka,363891601,"[49.73292074943834, 15.414393561185404]"
97, , ,Sázavka,Sázavka,363827601,"[49.73217717303572, 15.417505482847648]"
125, , ,Sázavka,Sázavka,416545601,"[49.73748629006782, 15.408273406345298]"
43, , ,Sázavka,Sázavka,363782601,"[49.734724744053324, 15.41180303314573]"
66, , ,Sázavka,Sázavka,363837601,"[49.73322442182978, 15.416241991915497]"
83, , ,Sázavka,Sázavka,363841601,"[49.73033015459086, 15.398428382341697]"
57, , ,Sázavka,Sázavka,363917601,"[49.735152002614484, 15.409105708012905]"
4, , ,Sázavka,Sázavka,500947601,"[49.73512373972255, 15.408382222728488]"
37, , ,Sázavka,Sázavka,363762601,"[49.734309406907585, 15.412859074557275]"
128, , ,Sázavka,Sázavka,363955601,"[49.733015958195274, 15.415889804982667]"
12, , ,Sázavka,Sázavka,363962601,"[49.73392400398615, 15.411019145119834]"
101, , ,Sázavka,Sázavka,363786601,"[49.732053735697924, 15.418010821658195]"
59, , ,Sázavka,Sázavka,363887601,"[49.73195515693191, 15.413937729731142]"
75, , ,Sázavka,Sázavka,363792601,"[49.736103209974445, 15.408532930621448]"
64, , ,Sázavka,Sázavka,363805601,"[49.735606239606106, 15.408577022668444]"
100, , ,Sázavka,Sázavka,363810601,"[49.73020845416903, 15.39895314281286]"
32, , ,Sázavka,Sázavka,363858601,"[49.7335667585745, 15.413787538963895]"
118, , ,Sázavka,Sázavka,465886601,"[49.734501255929814, 15.407130982707086]"
117, , ,Sázavka,Sázavka,407404601,"[49.734428983724136, 15.4075071873486]"
76, , ,Sázavka,Sázavka,363911601,"[49.7350704273496, 15.409673680341792]"
8, , ,Sázavka,Sázavka,363778601,"[49.718014965000975, 15.41203344481047]"
94, , ,Sázavka,Sázavka,363833601,"[49.73310952618524, 15.41504488883926]"
17, , ,Sázavka,Sázavka,363779601,"[49.73360858034706, 15.412376437398093]"
21, , ,Sázavka,Sázavka,363912601,"[49.73323270728378, 15.4134545243454]"
47, , ,Sázavka,Sázavka,363861601,"[49.73436650686374, 15.411623258787941]"
11, , ,Sázavka,Sázavka,363838601,"[49.735253280663514, 15.412012669049801]"
92, , ,Sázavka,Sázavka,363835601,"[49.73561539504955, 15.40714918071047]"
90, , ,Sázavka,Sázavka,363905601,"[49.735370958463285, 15.40745103253533]"
53, , ,Sázavka,Sázavka,363809601,"[49.735416043560875, 15.409784425718335]"
63, , ,Sázavka,Sázavka,363763601,"[49.73201921188246, 15.415248263152755]"
67, , ,Sázavka,Sázavka,363806601,"[49.73200989350246, 15.414293626498647]"
74, , ,Sázavka,Sázavka,363793601,"[49.73176459586998, 15.412703712826888]"
19, , ,Sázavka,Sázavka,363814601,"[49.73180643454051, 15.3978761670273]"
41, , ,Sázavka,Sázavka,363943601,"[49.73286690526677, 15.416403278554343]"
109, , ,Sázavka,Sázavka,363850601,"[49.732206465806726, 15.41196834746262]"
55, , ,Sázavka,Sázavka,363965601,"[49.73465973220211, 15.410872710973893]"
16, , ,Sázavka,Sázavka,363901601,"[49.73360656009111, 15.412144210621042]"
80, , ,Sázavka,Sázavka,363864601,"[49.73176671799991, 15.414270172149504]"
3, , ,Sázavka,Sázavka,363855601,"[49.7355391898353, 15.408094289154338]"
8, , ,Sázavka,Sázavka,363774601,"[49.73395418879262, 15.410040119676177]"
2, , ,Sázavka,Sázavka,363788601,"[49.735352136209194, 15.408433645993707]"
18, , ,Sázavka,Sázavka,363764601,"[49.73355531668755, 15.412606255046303]"
78, , ,Sázavka,Sázavka,363824601,"[49.734022068130166, 15.41069644301919]"
27, , ,Sázavka,Sázavka,363789601,"[49.732826452817456, 15.414988393336861]"
112, , ,Sázavka,Sázavka,363919601,"[49.73460591849737, 15.408095361394503]"
14, , ,Sázavka,Sázavka,363948601,"[49.73368740992046, 15.411730312181003]"
10, , ,Sázavka,Sázavka,363812601,"[49.733525079721645, 15.410045887119308]"
26, , ,Sázavka,Sázavka,363910601,"[49.73496181269748, 15.409846175662993]"
46, , ,Sázavka,Sázavka,414984601,"[49.73438446449425, 15.411273407449128]"
87, , ,Sázavka,Sázavka,363844601,"[49.731453796160416, 15.419161630206242]"
122, , ,Sázavka,Sázavka,363862601,"[49.733128079240274, 15.409807856336895]"
5, , ,Sázavka,Sázavka,363952601,"[49.734899920069324, 15.408981793808177]"
18, , ,Sázavka,Sázavka,363836601,"[49.7311614303725, 15.398601720246441]"
106, , ,Sázavka,Sázavka,363772601,"[49.7319138429429, 15.418365683502817]"
116, , ,Sázavka,Sázavka,363839601,"[49.731817117762425, 15.418901268382122]"
