cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
314, , ,Tasovice,Tasovice,682876713,"[48.83646693377334, 16.153507867523235]"
40, , ,Tasovice,Tasovice,682880713,"[48.83384575714861, 16.15442961295336]"
10, , ,Tasovice,Tasovice,683200713,"[48.832777535882585, 16.13998816457939]"
33, , ,Tasovice,Tasovice,0,"[48.832563512857135, 16.14105928297599]"
43, , ,Tasovice,Tasovice,0,"[48.8332881514732, 16.14454622143951]"
44, , ,Tasovice,Tasovice,0,"[48.834583054184634, 16.143018501462844]"
50, , ,Tasovice,Tasovice,0,"[48.83377521434704, 16.142013563508]"
53, , ,Tasovice,Tasovice,0,"[48.83419487501669, 16.150645697507674]"
548, , ,Tasovice,Tasovice,21238076010,"[48.84046998037463, 16.157354399045495]"
172, , ,Tasovice,Tasovice,682703713,"[48.83383898927247, 16.151903797457337]"
556, , ,Tasovice,Tasovice,62292780010,"[48.84027827150651, 16.159282710348894]"
539, , ,Tasovice,Tasovice,62225233010,"[48.838889605573875, 16.148437532546122]"
645, , ,Tasovice,Tasovice,61012826010,"[48.83391291301033, 16.15605557999967]"
69, , ,Tasovice,Tasovice,683062713,"[48.83309976239066, 16.150289236993924]"
585, , ,Tasovice,Tasovice,61269782010,"[48.84199799638837, 16.159002810156412]"
100, , ,Tasovice,Tasovice,683115713,"[48.8341955858181, 16.146130087585313]"
434, , ,Tasovice,Tasovice,683089713,"[48.84021754649555, 16.153484579497444]"
562, , ,Tasovice,Tasovice,60793419010,"[48.8407505155733, 16.158052936586376]"
490, , ,Tasovice,Tasovice,60781402010,"[48.83994496742239, 16.152711882093122]"
27, , ,Tasovice,Tasovice,0,"[48.832073185503674, 16.13975481654153]"
30, , ,Tasovice,Tasovice,0,"[48.83232257937202, 16.140647067963272]"
34, , ,Tasovice,Tasovice,683014713,"[48.83264019087959, 16.14119133124947]"
578, , ,Tasovice,Tasovice,58125637010,"[48.84168046034958, 16.158347672348544]"
54, , ,Tasovice,Tasovice,841183713,"[48.84030260581325, 16.157118695456756]"
536, , ,Tasovice,Tasovice,57475607010,"[48.83748348426371, 16.151298870806663]"
68, , ,Tasovice,Tasovice,58012936010,"[48.83354712913185, 16.141354236285643]"
558, , ,Tasovice,Tasovice,55880363010,"[48.84030678416953, 16.158736012833142]"
573, , ,Tasovice,Tasovice,50866241010,"[48.84120069509393, 16.159308219993555]"
572, , ,Tasovice,Tasovice,50184340010,"[48.84120525601997, 16.15960910470419]"
575, , ,Tasovice,Tasovice,50731337010,"[48.84128703673686, 16.158772219952944]"
588, , ,Tasovice,Tasovice,50154240010,"[48.84063264873427, 16.14792916318729]"
589, , ,Tasovice,Tasovice,47749181010,"[48.84024718431709, 16.147858766956972]"
622, , ,Tasovice,Tasovice,44887114010,"[48.83965763684443, 16.137169215474596]"
580, , ,Tasovice,Tasovice,45073123010,"[48.841592081425595, 16.158856604847333]"
574, , ,Tasovice,Tasovice,44203143010,"[48.8412538206461, 16.159052211648483]"
56, , ,Tasovice,Tasovice,250923731,"[49.496188964042155, 16.438901922912763]"
491, , ,Tasovice,Tasovice,34652962010,"[48.83995165822322, 16.152942323701723]"
579, , ,Tasovice,Tasovice,38605047010,"[48.841636271170856, 16.15860213882227]"
117, , ,Tasovice,Tasovice,28828490010,"[48.834956560609065, 16.142878814289034]"
532, , ,Tasovice,Tasovice,26887401010,"[48.83830316449868, 16.151486120793873]"
529, , ,Tasovice,Tasovice,26892684010,"[48.837893959661514, 16.15146094347447]"
55, , ,Tasovice,Tasovice,26141847010,"[49.49737450403058, 16.443187328406726]"
146, , ,Tasovice,Tasovice,26566445010,"[48.83446469425999, 16.145116609174966]"
521, , ,Tasovice,Tasovice,24535975010,"[48.830165239385835, 16.151714977166503]"
522, , ,Tasovice,Tasovice,22235052010,"[48.83007233138314, 16.151443150082457]"
59, , ,Tasovice,Tasovice,903432713,"[48.833805209531896, 16.141295820763766]"
61, , ,Tasovice,Tasovice,0,"[48.833757492481, 16.141742829849818]"
239, , ,Tasovice,Tasovice,0,"[48.83725257046592, 16.153998850978255]"
40, , ,Tasovice,Tasovice,0,"[48.833103779340625, 16.143035165499043]"
46, , ,Tasovice,Tasovice,0,"[48.83571376241308, 16.146915876013395]"
503, , ,Tasovice,Tasovice,0,"[48.83716250941386, 16.156647016316043]"
17, , ,Tasovice,Tasovice,702444713,"[48.83359447170813, 16.138864395765918]"
85, , ,Tasovice,Tasovice,839013713,"[48.83002409620157, 16.151163595167905]"
112, , ,Tasovice,Tasovice,0,"[49.50227171114297, 16.45444271531506]"
322, , ,Tasovice,Tasovice,682945713,"[48.82947812344931, 16.14932502902812]"
16, , ,Tasovice,Tasovice,683112713,"[48.83338976743808, 16.1392700531649]"
49, , ,Tasovice,Tasovice,816609713,"[48.834712731760234, 16.13749147859105]"
21, , ,Tasovice,Tasovice,793409713,"[48.832847620395725, 16.140241458325182]"
349, , ,Tasovice,Tasovice,682882713,"[48.83295850694825, 16.158032006169964]"
1, , ,Tasovice,Tasovice,683008713,"[48.833307248212584, 16.13829718263242]"
3, , ,Tasovice,Tasovice,683009713,"[48.8334259689282, 16.138550824688313]"
2, , ,Tasovice,Tasovice,683018713,"[48.83336312871911, 16.137958442956236]"
58, , ,Tasovice,Tasovice,894602713,"[48.83318964589294, 16.13949667500296]"
80, , ,Tasovice,Tasovice,855908713,"[48.82985485697696, 16.150959813802]"
512, , ,Tasovice,Tasovice,0,"[48.83358223811925, 16.157060422156498]"
507, , ,Tasovice,Tasovice,904425713,"[48.83266763607024, 16.15909683781572]"
12, , ,Tasovice,Tasovice,683027713,"[48.832858623635786, 16.140746840898625]"
64, , ,Tasovice,Tasovice,839344713,"[48.83315580024086, 16.158368074481842]"
372, , ,Tasovice,Tasovice,682927713,"[48.829361478213265, 16.148618616792753]"
218, , ,Tasovice,Tasovice,29440152010,"[48.83900785800796, 16.153750065498706]"
494, , ,Tasovice,Tasovice,29251156010,"[48.839209222314565, 16.14873776275365]"
538, , ,Tasovice,Tasovice,29211156010,"[48.838901107722, 16.148612837826224]"
118, , ,Tasovice,Tasovice,30085506010,"[48.83508832422226, 16.14462471967406]"
65, , ,Tasovice,Tasovice,38775079010,"[48.837642637878574, 16.153890243554876]"
577, , ,Tasovice,Tasovice,39015047010,"[48.84140119994117, 16.15824511965544]"
568, , ,Tasovice,Tasovice,38966072010,"[48.8405361650467, 16.15973848508881]"
486, , ,Tasovice,Tasovice,39013043010,"[48.84002447799468, 16.151627062637864]"
553, , ,Tasovice,Tasovice,39557043010,"[48.83985188721762, 16.158704962970887]"
551, , ,Tasovice,Tasovice,39354062010,"[48.83987951872343, 16.158110566525234]"
571, , ,Tasovice,Tasovice,40066043010,"[48.841164363365436, 16.160027546060086]"
584, , ,Tasovice,Tasovice,42408175010,"[48.84194840114192, 16.159261228835582]"
565, , ,Tasovice,Tasovice,43187101010,"[48.84066951623354, 16.15886527144062]"
69, , ,Tasovice,Tasovice,41669048010,"[48.833215617342994, 16.154477723519026]"
586, , ,Tasovice,Tasovice,42255135010,"[48.84203474254788, 16.158725220674324]"
12, , ,Tasovice,Tasovice,222313701,"[49.496477404948685, 16.442033687513852]"
566, , ,Tasovice,Tasovice,52737307010,"[48.84064523470776, 16.15914371492882]"
576, , ,Tasovice,Tasovice,51927325010,"[48.841349095879174, 16.15851466578517]"
587, , ,Tasovice,Tasovice,51682322010,"[48.842094762198045, 16.158440589829553]"
590, , ,Tasovice,Tasovice,53341329010,"[48.83991736960667, 16.147806162794485]"
1, , ,Tasovice,Tasovice,222244701,"[49.4956607954621, 16.440741448745]"
2, , ,Tasovice,Tasovice,222281701,"[49.495255573880435, 16.440893435804597]"
3, , ,Tasovice,Tasovice,222305701,"[49.495280108026364, 16.441486503082736]"
4, , ,Tasovice,Tasovice,222246701,"[49.49509124179464, 16.441879608625598]"
6, , ,Tasovice,Tasovice,222312701,"[49.49568132382185, 16.441404644769428]"
8, , ,Tasovice,Tasovice,222247701,"[49.4956462490621, 16.44204948163244]"
9, , ,Tasovice,Tasovice,222252701,"[49.4959490244107, 16.44223430684281]"
10, , ,Tasovice,Tasovice,222277701,"[49.49631344073748, 16.442269800889022]"
11, , ,Tasovice,Tasovice,222280701,"[49.496306786260064, 16.44167369251711]"
13, , ,Tasovice,Tasovice,222251701,"[49.49675139446715, 16.442195613340694]"
14, , ,Tasovice,Tasovice,222298701,"[49.496914434432874, 16.44182076042726]"
15, , ,Tasovice,Tasovice,222257701,"[49.497133010867444, 16.44158928002992]"
16, , ,Tasovice,Tasovice,222258701,"[49.49662373999993, 16.441300544218823]"
17, , ,Tasovice,Tasovice,222287701,"[49.49700923610154, 16.440874109899806]"
18, , ,Tasovice,Tasovice,222301701,"[49.49590791227738, 16.441032919771867]"
19, , ,Tasovice,Tasovice,222308701,"[49.49640947730953, 16.440836830550733]"
20, , ,Tasovice,Tasovice,222310701,"[49.496105774114525, 16.44051327731545]"
21, , ,Tasovice,Tasovice,222245701,"[49.496609870859054, 16.4412334473634]"
22, , ,Tasovice,Tasovice,222314701,"[49.497880890568815, 16.44129590303619]"
23, , ,Tasovice,Tasovice,222328701,"[49.49688594431917, 16.443186743368113]"
24, , ,Tasovice,Tasovice,222288701,"[49.49676495621977, 16.440873828869005]"
25, , ,Tasovice,Tasovice,222307701,"[49.495941873795495, 16.440624381567297]"
26, , ,Tasovice,Tasovice,222250701,"[49.49741026792557, 16.44116729216722]"
27, , ,Tasovice,Tasovice,222311701,"[49.49555828980239, 16.441203263869298]"
28, , ,Tasovice,Tasovice,222291701,"[49.49754137631386, 16.441103410920615]"
29, , ,Tasovice,Tasovice,222319701,"[49.49541016874598, 16.441533914625282]"
30, , ,Tasovice,Tasovice,222282701,"[49.49735454558348, 16.44139896483823]"
31, , ,Tasovice,Tasovice,222322701,"[49.496941494954044, 16.441316158267853]"
32, , ,Tasovice,Tasovice,222261701,"[49.495367791679726, 16.43880496611499]"
34, , ,Tasovice,Tasovice,222309701,"[49.495770330200735, 16.44213957503037]"
35, , ,Tasovice,Tasovice,222303701,"[49.495794801748815, 16.440843746583468]"
37, , ,Tasovice,Tasovice,222260701,"[49.49811321228684, 16.44138155046347]"
38, , ,Tasovice,Tasovice,222302701,"[49.49801095129006, 16.44134331659149]"
39, , ,Tasovice,Tasovice,222255701,"[49.496298710595944, 16.441938955409636]"
40, , ,Tasovice,Tasovice,222254701,"[49.49592757625301, 16.441432372468846]"
41, , ,Tasovice,Tasovice,222327701,"[49.49636953601883, 16.441288053126975]"
42, , ,Tasovice,Tasovice,222299701,"[49.49507556766398, 16.43939615431079]"
43, , ,Tasovice,Tasovice,222279701,"[49.49537719020683, 16.44195616966322]"
44, , ,Tasovice,Tasovice,222304701,"[49.49532929285117, 16.44242261769751]"
46, , ,Tasovice,Tasovice,222300701,"[49.49572970142973, 16.439938097406916]"
47, , ,Tasovice,Tasovice,222289701,"[49.503896864746864, 16.43852623657923]"
48, , ,Tasovice,Tasovice,222259701,"[49.49523221255917, 16.441952950656724]"
49, , ,Tasovice,Tasovice,222249701,"[49.49505937300132, 16.442065562159147]"
51, , ,Tasovice,Tasovice,237529731,"[49.495660351376344, 16.439602621520784]"
101, , ,Tasovice,Tasovice,222317701,"[49.50371105517202, 16.440849801327342]"
102, , ,Tasovice,Tasovice,222318701,"[49.50374396905451, 16.44055250625224]"
103, , ,Tasovice,Tasovice,222316701,"[49.50334257166021, 16.441009478501616]"
104, , ,Tasovice,Tasovice,222264701,"[49.5011209835372, 16.454165102545637]"
105, , ,Tasovice,Tasovice,222263701,"[49.50129277455922, 16.454163821929487]"
106, , ,Tasovice,Tasovice,222262701,"[49.501453658123076, 16.45413660568233]"
107, , ,Tasovice,Tasovice,222274701,"[49.501606588441746, 16.45412462514629]"
109, , ,Tasovice,Tasovice,222269701,"[49.50191949272648, 16.453946676354775]"
110, , ,Tasovice,Tasovice,222268701,"[49.501920326956366, 16.454210455432246]"
111, , ,Tasovice,Tasovice,222265701,"[49.502368892683464, 16.454662416745794]"
113, , ,Tasovice,Tasovice,222266701,"[49.50213582309072, 16.454187890816968]"
114, , ,Tasovice,Tasovice,222267701,"[49.50213006496816, 16.45385549057199]"
115, , ,Tasovice,Tasovice,222275701,"[49.50244281888263, 16.453927595970196]"
116, , ,Tasovice,Tasovice,226921701,"[49.50254409084882, 16.453952135335843]"
117, , ,Tasovice,Tasovice,222278701,"[49.50279132461372, 16.453993653951123]"
119, , ,Tasovice,Tasovice,222271701,"[49.50329094115639, 16.45377022093576]"
120, , ,Tasovice,Tasovice,222273701,"[49.50174065806222, 16.454101944702415]"
54, , ,Tasovice,Tasovice,222324701,"[49.49673955302897, 16.440016992879887]"
5, , ,Tasovice,Tasovice,222321701,"[49.496935437334244, 16.439469893018043]"
45, , ,Tasovice,Tasovice,222306701,"[49.495070531392834, 16.44159145095402]"
50, , ,Tasovice,Tasovice,222315701,"[49.49762532931208, 16.442019789278632]"
53, , ,Tasovice,Tasovice,222326701,"[49.49678158130045, 16.439343181220835]"
118, , ,Tasovice,Tasovice,222272701,"[49.502994928412264, 16.45393142735393]"
121, , ,Tasovice,Tasovice,222270701,"[49.50355415619404, 16.45365623447449]"
475, , ,Tasovice,Tasovice,858484713,"[48.84079193004492, 16.14860092884633]"
477, , ,Tasovice,Tasovice,880186713,"[48.840439132767116, 16.148963670239873]"
479, , ,Tasovice,Tasovice,885280713,"[48.84036177172594, 16.14949813154779]"
480, , ,Tasovice,Tasovice,863039713,"[48.840346447658256, 16.149775031433094]"
481, , ,Tasovice,Tasovice,863676713,"[48.84030738093286, 16.150097177186762]"
482, , ,Tasovice,Tasovice,886398713,"[48.840280309885685, 16.150458383359112]"
483, , ,Tasovice,Tasovice,859448713,"[48.840243031714124, 16.150684231998763]"
484, , ,Tasovice,Tasovice,861582713,"[48.84021672893878, 16.150935605581868]"
485, , ,Tasovice,Tasovice,862921713,"[48.84016464208708, 16.151205152867657]"
496, , ,Tasovice,Tasovice,865171713,"[48.83920846311357, 16.1483676677296]"
487, , ,Tasovice,Tasovice,892695713,"[48.840074503559876, 16.151810378213412]"
488, , ,Tasovice,Tasovice,856977713,"[48.839972888179425, 16.15214334202919]"
56, , ,Tasovice,Tasovice,867897713,"[48.83482860942081, 16.151621114566627]"
454, , ,Tasovice,Tasovice,840073713,"[48.83957605793148, 16.148441159585243]"
448, , ,Tasovice,Tasovice,844137713,"[48.839449273530434, 16.153001814688285]"
450, , ,Tasovice,Tasovice,841252713,"[48.839447121448494, 16.149491889078647]"
453, , ,Tasovice,Tasovice,870482713,"[48.83953086992395, 16.14868208852023]"
502, , ,Tasovice,Tasovice,871251713,"[48.83720285915969, 16.156461791062114]"
506, , ,Tasovice,Tasovice,867705713,"[48.83885166887032, 16.156601726837437]"
