cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
241, ,Kouřimská,Tatce,Tatce,505338204,"[50.09532829308456, 14.981884181440684]"
241, ,Na Stachově,Tatce,Tatce,505338204,"[50.09537875834274, 14.981620287749632]"
238, ,Pečecká,Tatce,Tatce,492461204,"[50.09148095993058, 14.979709918076953]"
32, ,Lipová,Tatce,Tatce,328096208,"[50.09143190735588, 14.976655981246568]"
82, ,Lipová,Tatce,Tatce,328060208,"[50.09192575126764, 14.976862669522559]"
16, ,Kouřimská,Tatce,Tatce,327930208,"[50.08775171288758, 14.97146658407444]"
44, ,V Chaloupkách,Tatce,Tatce,328148208,"[50.0932903129176, 14.971770096650834]"
114, ,Kouřimská,Tatce,Tatce,327914208,"[50.091647226773055, 14.97838312316211]"
171, ,Ke Hřišti,Tatce,Tatce,327993208,"[50.09257375676264, 14.976083641336945]"
153, ,K Jezírku,Tatce,Tatce,327966208,"[50.0877577656062, 14.975527998214492]"
106, ,Kouřimská,Tatce,Tatce,328072208,"[50.09126082572271, 14.977635653715293]"
132, ,Na Stachově,Tatce,Tatce,327948208,"[50.092508805124645, 14.979036250648091]"
94, ,Ke Hřišti,Tatce,Tatce,327958208,"[50.09251888450895, 14.976433402944494]"
151, ,K Jezírku,Tatce,Tatce,327963208,"[50.08769644270247, 14.974628494278218]"
59, ,Spojovací,Tatce,Tatce,328025208,"[50.09266370836783, 14.976628773614381]"
80, ,V Chaloupkách,Tatce,Tatce,328044208,"[50.09315660924778, 14.971577701615312]"
237, ,Pečecká,Tatce,Tatce,493343204,"[50.091077578222546, 14.979489852953375]"
236, ,Pečecká,Tatce,Tatce,476942204,"[50.091802978642484, 14.979836362487083]"
55, ,Hořanská,Tatce,Tatce,328031208,"[50.09171051611455, 14.975938538788222]"
169, ,Na Stachově,Tatce,Tatce,328057208,"[50.094259420605944, 14.981081887059073]"
95, ,Hořanská,Tatce,Tatce,327956208,"[50.09183474123058, 14.975866068489436]"
66, ,Hořanská,Tatce,Tatce,328012208,"[50.091629489767556, 14.97598874503839]"
122, ,Spojovací,Tatce,Tatce,328047208,"[50.09233816566126, 14.977935094326146]"
60, ,Kouřimská,Tatce,Tatce,327940208,"[50.08910986884843, 14.972132975761415]"
45, ,Zahradní,Tatce,Tatce,328048208,"[50.09305458755621, 14.97152223253705]"
159, ,Hořanská,Tatce,Tatce,328094208,"[50.09332053392759, 14.972439783703775]"
117, ,Pečecká,Tatce,Tatce,328021208,"[50.09199193647241, 14.979284754864896]"
23, ,Podedvorem,Tatce,Tatce,328121208,"[50.089450317504316, 14.972915881013042]"
216, ,Slepá,Tatce,Tatce,328107208,"[50.08843833928882, 14.97307149857135]"
77, ,Na Stachově,Tatce,Tatce,327922208,"[50.096232770718096, 14.982709157583198]"
167, ,Hořanská,Tatce,Tatce,327918208,"[50.09123461892491, 14.976521675867899]"
12, ,K Jezírku,Tatce,Tatce,328042208,"[50.088297328746876, 14.974126220305804]"
244, ,Ke Hřišti,Tatce,Tatce,61178564010,"[50.092835535861006, 14.97623450625785]"
273, ,K Figuře,Tatce,Tatce,60851405010,"[50.094532899571774, 14.980485974179517]"
272, ,Ke Hřišti,Tatce,Tatce,60666521010,"[50.094477296453675, 14.979048348602795]"
15, ,Kouřimská,Tatce,Tatce,327999208,"[50.087590675267506, 14.97144588764607]"
187, ,Kouřimská,Tatce,Tatce,327969208,"[50.08974222194285, 14.974806579549993]"
150, ,Hořanská,Tatce,Tatce,328134208,"[50.09276655871463, 14.97521412309274]"
268, ,Dlážděná,Tatce,Tatce,50954269010,"[50.091342818275926, 14.97326118228941]"
265, ,Ke Hřišti,Tatce,Tatce,28637522010,"[50.09497198973684, 14.979250109850025]"
266, ,Oblouková,Tatce,Tatce,29021622010,"[50.09134443188481, 14.974797017698055]"
263, ,V Lánech,Tatce,Tatce,26893463010,"[50.09252111943475, 14.969682682966651]"
264, ,Ke Hřišti,Tatce,Tatce,29474182010,"[50.09418211166788, 14.97880372671811]"
261, ,Ke Hřišti,Tatce,Tatce,25292598010,"[50.09503644372447, 14.978828350475222]"
