cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
71, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.53099560632477, 17.742033145999123]"
119, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.529542856838255, 17.740371177191935]"
13, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.52733980663612, 17.735515638273405]"
3, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.52504131711144, 17.746272681961976]"
34, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.52780041789497, 17.735212396596516]"
112, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.52648281504668, 17.735210329907527]"
105, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.527935776799715, 17.740295603560202]"
53, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.52844139981987, 17.740302569597766]"
2, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.525618256913454, 17.745821574782482]"
98, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.52812059252669, 17.740605686545667]"
4, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.525393015378334, 17.74598094687077]"
124, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.52696661455281, 17.73645245569115]"
106, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.52793380005009, 17.740046162394528]"
54, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.527315379221406, 17.74318181298589]"
10, , ,75301,Teplice nad Bečvou,Teplice nad Bečvou,Teplice nad Bečvou,766283,"[49.524689677049814, 17.747190886907823]"
