cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
203, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.84843231960345, 13.885265627479225]"
209, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.84815672550185, 13.884554609614705]"
56, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.849330411481446, 13.886511590766213]"
259, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.846551067412584, 13.880994473249745]"
264, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.8466481878141, 13.881352055948605]"
109, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.848078052667134, 13.87896603182366]"
148, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.852778487476904, 13.888113610524051]"
204, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.84791311132833, 13.884960473550827]"
27, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.84452095285516, 13.886282649127445]"
159, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.853821791758804, 13.888582433326341]"
44, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.85096554977154, 13.886412130064238]"
313, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.852876777598, 13.887417095427656]"
58, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.849979762691774, 13.884230304402026]"
162, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.848394257507316, 13.878656259276086]"
28, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.84871047180714, 13.886973679631916]"
200, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.84986760315294, 13.877412510497466]"
250, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.85120569611202, 13.884320849534607]"
285, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.85060304390494, 13.885355214957158]"
278, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.8528078156344, 13.885226399998096]"
244, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.853182632658964, 13.88893642767111]"
266, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.85070980994, 13.882422654199823]"
12, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.849416830408, 13.88355557524859]"
196, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.84981235748261, 13.87885812949723]"
169, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.84912731197632, 13.879110111163188]"
36, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.850671876910496, 13.887447480215876]"
37, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.84924465938975, 13.883172639894909]"
40, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.84888980812405, 13.88025934460514]"
60, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.851222425862005, 13.887408420157767]"
63, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.849430891580674, 13.88457814522823]"
323, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.854676307747326, 13.888587691032933]"
69, , ,26801,Tlustice,Tlustice,Tlustice,767603,"[49.84876694610542, 13.88156552284962]"
