cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
23, , ,Turkovice,Bumbalka,505860606,"[49.948265284828615, 15.541712611003868]"
15, , ,Turkovice,Bumbalka,505857606,"[49.94820123713613, 15.539052767600758]"
60, , ,Turkovice,Turkovice,545084606,"[49.95156313425974, 15.552674374881631]"
61, , ,Turkovice,Turkovice,545122606,"[49.95145660998891, 15.552789183411237]"
7, , ,Turkovice,Bumbalka,505856606,"[49.94836462130685, 15.540848814130651]"
89, , ,Turkovice,Turkovice,545062606,"[49.95321531046051, 15.550076089471059]"
21, , ,Turkovice,Bumbalka,505861606,"[49.94837645761188, 15.542314946674328]"
9, , ,Turkovice,Bumbalka,505854606,"[49.94873309819489, 15.539917653546622]"
25, , ,Turkovice,Turkovice,545128606,"[49.952775525857966, 15.54999450173513]"
40, , ,Turkovice,Turkovice,545094606,"[49.9525160060298, 15.551756460083897]"
85, , ,Turkovice,Turkovice,50628246010,"[49.95057655373788, 15.548530197492708]"
81, , ,Turkovice,Turkovice,46692172010,"[49.95122026940103, 15.547734290754184]"
79, , ,Turkovice,Turkovice,33030975010,"[49.95408444670437, 15.550855474333357]"
80, , ,Turkovice,Turkovice,38151035010,"[49.950994779231756, 15.547861279237551]"
82, , ,Turkovice,Turkovice,38419096010,"[49.951232992947084, 15.54812496213394]"
83, , ,Turkovice,Turkovice,38503108010,"[49.95095048879807, 15.548332952020555]"
1, , ,Turkovice,Rašovy,531896606,"[49.963089965834804, 15.578242605100671]"
21, , ,Turkovice,Rašovy,531886606,"[49.96365478261446, 15.581393482937383]"
32, , ,Turkovice,Rašovy,531903606,"[49.964937602510936, 15.581235324546101]"
122, , ,Turkovice,Rašovy,620685606,"[49.96270140877743, 15.584129132217072]"
123, , ,Turkovice,Rašovy,531988606,"[49.96149598905561, 15.58181543416208]"
129, , ,Turkovice,Rašovy,531927606,"[49.96137407834529, 15.581992917856374]"
74, , ,Turkovice,Turkovice,545132606,"[49.95248068448184, 15.549587108205216]"
78, , ,Turkovice,Turkovice,23258902010,"[49.952480495953786, 15.547060112196922]"
75, , ,Turkovice,Turkovice,634787606,"[49.951055563405475, 15.550811904592905]"
133, , ,Turkovice,Rašovy,21419443010,"[49.96307984259103, 15.582260356092332]"
77, , ,Turkovice,Turkovice,15179912010,"[49.95096817636205, 15.550393273146671]"
131, , ,Turkovice,Rašovy,19975848010,"[49.95966794157861, 15.579647590645774]"
76, , ,Turkovice,Turkovice,15702128010,"[49.950961737700005, 15.548934479798403]"
18, , ,Turkovice,Rašovy,531993606,"[49.96354146689384, 15.582249380726362]"
9, , ,Turkovice,Rašovy,531906606,"[49.964078945694006, 15.581134160270294]"
1, , ,Turkovice,Turkovice,545102606,"[49.95276018214895, 15.546209507121516]"
15, , ,Turkovice,Rašovy,581989606,"[49.963412157102354, 15.582912276733783]"
106, , ,Turkovice,Rašovy,531969606,"[49.95948584938858, 15.58030595616204]"
30, , ,Turkovice,Rašovy,531923606,"[49.963604827147755, 15.581869802769381]"
19, , ,Turkovice,Bumbalka,505865606,"[49.94931771697368, 15.538302357222276]"
98, , ,Turkovice,Rašovy,531938606,"[49.959068485871384, 15.579835148710456]"
29, , ,Turkovice,Rašovy,531939606,"[49.962639054098844, 15.58381754275206]"
27, , ,Turkovice,Turkovice,545106606,"[49.95315483671592, 15.550979885940517]"
100, , ,Turkovice,Rašovy,531974606,"[49.9589968855704, 15.581027775794967]"
120, , ,Turkovice,Rašovy,531910606,"[49.96424997056872, 15.583029484528057]"
43, , ,Turkovice,Turkovice,545123606,"[49.952553393393885, 15.550948026716304]"
89, , ,Turkovice,Rašovy,531947606,"[49.95804031071725, 15.581294021012745]"
10, , ,Turkovice,Rašovy,531946606,"[49.96081510128599, 15.582045596345173]"
36, , ,Turkovice,Rašovy,531996606,"[49.96216181246177, 15.584271639645104]"
6, , ,Turkovice,Rašovy,531973606,"[49.960508952625304, 15.582077884806317]"
20, , ,Turkovice,Rašovy,531913606,"[49.96337126452825, 15.582281539161192]"
94, , ,Turkovice,Rašovy,531952606,"[49.95868521835896, 15.581550830735686]"
2, , ,Turkovice,Turkovice,545139606,"[49.95251249719028, 15.547328929197183]"
87, , ,Turkovice,Rašovy,531967606,"[49.95790031108227, 15.581172352095216]"
38, , ,Turkovice,Turkovice,545081606,"[49.952439429544505, 15.552296733536954]"
12, , ,Turkovice,Rašovy,531949606,"[49.96119244280692, 15.581716091681262]"
90, , ,Turkovice,Rašovy,531942606,"[49.95796151892675, 15.580292138749364]"
58, , ,Turkovice,Turkovice,545087606,"[49.95183773812188, 15.55237651391773]"
8, , ,Turkovice,Turkovice,545119606,"[49.95248933207917, 15.547727399161708]"
1, , ,Turkovice,Bumbalka,505862606,"[49.94985531714355, 15.538834015241608]"
26, , ,Turkovice,Bumbalka,505848606,"[49.947925089993745, 15.541640848228916]"
20, , ,Turkovice,Turkovice,545107606,"[49.95362529199549, 15.549924659559917]"
28, , ,Turkovice,Turkovice,545120606,"[49.95336002049704, 15.550690812157725]"
108, , ,Turkovice,Rašovy,531990606,"[49.959008330992745, 15.580635436055747]"
7, , ,Turkovice,Rašovy,531907606,"[49.96312002360317, 15.582620507218339]"
19, , ,Turkovice,Rašovy,531995606,"[49.96502917785976, 15.57966764793946]"
9, , ,Turkovice,Rašovy,531897606,"[49.96083865410782, 15.581690830788004]"
28, , ,Turkovice,Rašovy,531921606,"[49.96519467469336, 15.58035082581497]"
10, , ,Turkovice,Rašovy,531887606,"[49.96424274185807, 15.580157779034465]"
6, , ,Turkovice,Rašovy,531909606,"[49.96321511538987, 15.58212724044109]"
4, , ,Turkovice,Bumbalka,505864606,"[49.94938521605169, 15.539704474438889]"
95, , ,Turkovice,Rašovy,531953606,"[49.95889719506869, 15.581559218445593]"
24, , ,Turkovice,Bumbalka,505850606,"[49.948033967783054, 15.54205129544513]"
53, , ,Turkovice,Turkovice,545114606,"[49.95274216645269, 15.552459909961168]"
31, , ,Turkovice,Rašovy,531985606,"[49.962897689211985, 15.584078434593733]"
9, , ,Turkovice,Turkovice,545058606,"[49.95260752616344, 15.548003739206836]"
121, , ,Turkovice,Rašovy,531916606,"[49.96127422157138, 15.582206671395875]"
16, , ,Turkovice,Rašovy,531902606,"[49.96347018750274, 15.581299042145126]"
11, , ,Turkovice,Rašovy,531922606,"[49.96447152066762, 15.578543965177449]"
125, , ,Turkovice,Rašovy,531935606,"[49.96424550803164, 15.582541817998221]"
26, , ,Turkovice,Rašovy,531984606,"[49.9637741751361, 15.582909735417184]"
41, , ,Turkovice,Rašovy,531936606,"[49.96164919905086, 15.584149009923461]"
1, , ,Turkovice,Rašovy,531891606,"[49.95960747625167, 15.58224427065141]"
24, , ,Turkovice,Rašovy,531932606,"[49.963977618848254, 15.58299163501651]"
99, , ,Turkovice,Rašovy,531944606,"[49.958985418589755, 15.580298027090482]"
6, , ,Turkovice,Turkovice,545126606,"[49.95220971664146, 15.547638064678702]"
40, , ,Turkovice,Rašovy,531959606,"[49.96175547984403, 15.583992736960075]"
17, , ,Turkovice,Bumbalka,505839606,"[49.94889369948593, 15.5388067932842]"
8, , ,Turkovice,Rašovy,531930606,"[49.963335270675096, 15.583574953507156]"
97, , ,Turkovice,Rašovy,531971606,"[49.95877311898059, 15.580822248260239]"
18, , ,Turkovice,Rašovy,531934606,"[49.96389952413649, 15.582601992215004]"
101, , ,Turkovice,Rašovy,531998606,"[49.959088218537644, 15.581651313491378]"
56, , ,Turkovice,Turkovice,545129606,"[49.951390517892285, 15.551724241625601]"
68, , ,Turkovice,Turkovice,545082606,"[49.95290552049232, 15.548145748313466]"
12, , ,Turkovice,Bumbalka,505843606,"[49.948355377630804, 15.540436024474193]"
116, , ,Turkovice,Rašovy,531908606,"[49.965362597166475, 15.578651875460551]"
46, , ,Turkovice,Turkovice,545089606,"[49.952823664244505, 15.550559716214824]"
2, , ,Turkovice,Rašovy,531892606,"[49.95991629863004, 15.582202212013927]"
92, , ,Turkovice,Rašovy,531965606,"[49.95827893949793, 15.58096406264509]"
7, , ,Turkovice,Turkovice,545116606,"[49.95238845480594, 15.547650921740788]"
34, , ,Turkovice,Rašovy,531950606,"[49.96225066463857, 15.584131013713488]"
11, , ,Turkovice,Turkovice,545097606,"[49.95294061789933, 15.54781464725075]"
96, , ,Turkovice,Rašovy,531976606,"[49.95877224993117, 15.581161341122822]"
55, , ,Turkovice,Turkovice,545071606,"[49.95316006541121, 15.54888719076234]"
19, , ,Turkovice,Rašovy,531933606,"[49.96402488636074, 15.582320923837832]"
27, , ,Turkovice,Rašovy,531986606,"[49.96363585932043, 15.583148174629327]"
13, , ,Turkovice,Rašovy,531917606,"[49.96230366127017, 15.580382414432608]"
31, , ,Turkovice,Rašovy,531905606,"[49.964165171209906, 15.581175577658401]"
105, , ,Turkovice,Rašovy,531970606,"[49.95943300249928, 15.580803001483918]"
32, , ,Turkovice,Turkovice,545105606,"[49.95300978189858, 15.551628052745707]"
35, , ,Turkovice,Turkovice,545080606,"[49.95188486712776, 15.552906109993728]"
15, , ,Turkovice,Turkovice,545074606,"[49.95404021310467, 15.548274977896746]"
31, , ,Turkovice,Turkovice,700768606,"[49.95307402784998, 15.551402199322995]"
17, , ,Turkovice,Rašovy,531895606,"[49.96383774784713, 15.582311630123057]"
88, , ,Turkovice,Rašovy,531954606,"[49.95801786460284, 15.580868079294897]"
5, , ,Turkovice,Rašovy,531937606,"[49.96046618323904, 15.581892205240095]"
14, , ,Turkovice,Turkovice,545064606,"[49.95365854612097, 15.548533791065703]"
26, , ,Turkovice,Turkovice,545098606,"[49.9511287110568, 15.548709931808183]"
2, , ,Turkovice,Rašovy,531920606,"[49.96215362311305, 15.579231313081943]"
27, , ,Turkovice,Rašovy,531889606,"[49.96227276327282, 15.580527401258689]"
71, , ,Turkovice,Turkovice,545142606,"[49.95146907170879, 15.549154586010893]"
