cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
452, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.197023747513036, 16.77540806983993]"
368, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19544679742437, 16.777242343711375]"
409, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.195012137117736, 16.770690513632644]"
208, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.191615230563166, 16.76804581480689]"
173, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19327838689457, 16.7703904500268]"
289, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19131238832826, 16.767013628235244]"
183, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19073017068742, 16.77795585745235]"
41, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.191083490232295, 16.774101424316314]"
107, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.186946999431434, 16.760477675284633]"
311, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.194971300457425, 16.777373652604282]"
373, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19072419328824, 16.770571278857652]"
277, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19319519176762, 16.775364046402295]"
124, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.191057406601786, 16.77730380281093]"
4, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19179866378931, 16.770382271355572]"
381, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.192606888027704, 16.77236664743363]"
283, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19294583417105, 16.772970015337258]"
347, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19260170868202, 16.77222040232972]"
121, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19163331696069, 16.77745195927772]"
440, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19101046361223, 16.776745843899818]"
118, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.191818919979866, 16.777558160811093]"
21, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19578148556254, 16.76928370374967]"
34, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19580424387126, 16.765826795907188]"
4, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19114574068142, 16.778260297280116]"
319, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19574505445811, 16.776378544524263]"
131, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19110606726854, 16.777560709064932]"
374, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19264741775532, 16.771525480295463]"
332, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19522338111916, 16.777251939394425]"
331, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.192699059193124, 16.774288517858317]"
314, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.191180056608495, 16.766129375173275]"
123, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19109249888702, 16.77741858324831]"
127, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19124324695039, 16.77796736696051]"
425, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19386362823731, 16.771731652472937]"
418, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19391261749919, 16.77074407854131]"
300, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.191634930047705, 16.77101306360827]"
202, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19370878365493, 16.7772518104488]"
49, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19095688492178, 16.771658959063288]"
257, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19322983117146, 16.776178584516707]"
200, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19258445591692, 16.7701394779111]"
329, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.191721928056936, 16.76848180624812]"
316, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19111801413213, 16.775061368544318]"
71, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19040737635995, 16.777072698723117]"
382, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19497161534245, 16.770216332607816]"
258, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.18941908737431, 16.767112996413616]"
433, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19126226996157, 16.765005116266636]"
308, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19307302052478, 16.776647648091856]"
191, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19344341057551, 16.77094769657785]"
185, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19178889682678, 16.76881453346433]"
128, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.1900973384591, 16.768463305774958]"
327, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.192504672548615, 16.76948153680565]"
619, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.192796931251614, 16.756725672881533]"
54, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19048050167455, 16.769548024161892]"
435, , ,66405,Tvarožná,Tvarožná,Tvarožná, ,"[49.19078792853917, 16.768200011080076]"
223, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.192972703178974, 16.778414627780222]"
312, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.186419369935194, 16.764881505418288]"
363, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19549865368994, 16.776518249723846]"
229, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19391601585398, 16.77004811092516]"
334, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.1952839087576, 16.769004571860975]"
338, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.19107975144219, 16.765673593851563]"
36, , ,66405,Tvarožná,Tvarožná,Tvarožná,771970,"[49.1907063314364, 16.77646535911809]"
