cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
115, ,Náves,69154,Týnec,Týnec,Týnec,772321,"[48.7772521458203, 17.011576328465814]"
42, , ,34021,Týnec,Týnec,Týnec,772313,"[49.34834759801662, 13.261996902628367]"
184, ,U Kyjovky,69154,Týnec,Týnec,Týnec,772321,"[48.77997385883684, 17.01686096166584]"
203, ,Školní,69154,Týnec,Týnec,Týnec,772321,"[48.77939711343526, 17.011615551504384]"
164, ,U Kyjovky,69154,Týnec,Týnec,Týnec,772321,"[48.78231805042731, 17.016976032434822]"
357, ,Sportovní,69154,Týnec,Týnec,Týnec,772321,"[48.77535145915392, 17.012340206007874]"
323, ,Hrušecká,69154,Týnec,Týnec,Týnec,772321,"[48.7782998613767, 17.006962638308234]"
21, , ,34021,Týnec,Týnec,Týnec,772313,"[49.34820006184629, 13.265237702380698]"
90, ,Vyhnalov,69154,Týnec,Týnec,Týnec,772321,"[48.78086027377051, 17.01497038436988]"
277, ,Juráčkova,69154,Týnec,Týnec,Týnec,772321,"[48.778050153973034, 17.008218892896185]"
353, ,U Kyjovky,69154,Týnec,Týnec,Týnec,772321,"[48.780997120319, 17.016914049941494]"
188, ,Luční,69154,Týnec,Týnec,Týnec,772321,"[48.7796663746725, 17.01549621224121]"
407, ,Sportovní,69154,Týnec,Týnec,Týnec,772321,"[48.77638637723562, 17.013320007519088]"
371, ,Suchý řádek,69154,Týnec,Týnec,Týnec,772321,"[48.778670806665545, 17.0135519819891]"
375, ,Hrušecká,69154,Týnec,Týnec,Týnec,772321,"[48.77855881868854, 17.005653770637508]"
33, ,Obecní,69154,Týnec,Týnec,Týnec,772321,"[48.7763470696154, 17.011611674812173]"
31, , ,34021,Týnec,Týnec,Týnec,772313,"[49.348403698743994, 13.262367880938315]"
174, ,Panská,69154,Týnec,Týnec,Týnec,772321,"[48.781787811563596, 17.014023132019588]"
115, , ,34021,Týnec,Týnec,Týnec,772313,"[49.34953600486004, 13.260635820628185]"
265, ,Panská,69154,Týnec,Týnec,Týnec,772321,"[48.77978053149135, 17.012508032620733]"
94, ,Vyhnalov,69154,Týnec,Týnec,Týnec,772321,"[48.78065403425939, 17.014988611146276]"
306, ,Sluneční,69154,Týnec,Týnec,Týnec,772321,"[48.78221432455797, 17.013612669032792]"
54, ,Rybáře,69154,Týnec,Týnec,Týnec,772321,"[48.777122325477805, 17.013780419571304]"
330, ,U Kyjovky,69154,Týnec,Týnec,Týnec,772321,"[48.78180200099987, 17.01675975126372]"
412, ,Rybáře,69154,Týnec,Týnec,Týnec,772321,"[48.77832875921892, 17.015165749794598]"
331, ,Školní,69154,Týnec,Týnec,Týnec,772321,"[48.778156296673906, 17.010402224271658]"
401, ,Hrušecká,69154,Týnec,Týnec,Týnec,772321,"[48.78020479186051, 17.004450562659436]"
400, ,Hrušecká,69154,Týnec,Týnec,Týnec,772321,"[48.78035353262913, 17.00504300166248]"
16, , ,34021,Týnec,Loreta,Loreta,772313,"[49.36090573521872, 13.28227062311628]"
256, ,Juráčkova,69154,Týnec,Týnec,Týnec,772321,"[48.777506805472726, 17.008077544893048]"
121, , ,34021,Týnec,Týnec,Týnec,772313,"[49.345769076279346, 13.25857207706873]"
178, ,Sluneční,69154,Týnec,Týnec,Týnec,772321,"[48.78168029726421, 17.013126304556206]"
276, ,Hlavní,69154,Týnec,Týnec,Týnec,772321,"[48.77916726431554, 17.00913978925304]"
281, ,Sportovní,69154,Týnec,Týnec,Týnec,772321,"[48.77499469870132, 17.011931007532528]"
111, ,Suchý řádek,69154,Týnec,Týnec,Týnec,772321,"[48.77765372483959, 17.012002515057056]"
396, ,Sportovní,69154,Týnec,Týnec,Týnec,772321,"[48.77414184418905, 17.009872920914027]"
2, , ,34021,Týnec,Týnec,Týnec,772313,"[49.34624641135282, 13.26438168424747]"
56, , ,34021,Týnec,Týnec,Týnec,772313,"[49.34783172339726, 13.2637041846264]"
124, ,Krátká,69154,Týnec,Týnec,Týnec,772321,"[48.7813568758902, 17.0146268844644]"
420, ,Hlavní,69154,Týnec,Týnec,Týnec,772321,"[48.7809506345967, 17.012104567591273]"
267, ,Suchý řádek,69154,Týnec,Týnec,Týnec,772321,"[48.778967759407635, 17.013449070201826]"
292, ,Vinohradní,69154,Týnec,Týnec,Týnec,772321,"[48.77627771310928, 17.009589033057857]"
208, ,Panská,69154,Týnec,Týnec,Týnec,772321,"[48.78043053000797, 17.01303270899217]"
275, ,Sportovní,69154,Týnec,Týnec,Týnec,772321,"[48.7748303512983, 17.011664798921895]"
297, ,Hlavní,69154,Týnec,Týnec,Týnec,772321,"[48.779597045970064, 17.010276740578274]"
8, , ,34021,Týnec,Horní Lhota,Horní Lhota,772275,"[49.341796771392886, 13.280462198229444]"
97, ,Vyhnalov,69154,Týnec,Týnec,Týnec,772321,"[48.78035165562483, 17.014554624005598]"
