cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
288, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.711769437939196, 18.53566119454724]"
157, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.702740155740095, 18.525102877486173]"
158, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.705000577121666, 18.5278825176806]"
229, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.720936934423776, 18.51897186944497]"
236, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.711784140766696, 18.529987502662536]"
4, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71466102782314, 18.522483045170077]"
358, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71118562967649, 18.53220750238543]"
68, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.718745749684736, 18.520406809846765]"
104, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.69933387582243, 18.539085382867796]"
6, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.69625760407086, 18.51661858991894]"
27, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.720874211676325, 18.532509846301828]"
56, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.694918941360655, 18.520269768765647]"
103, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.7019264859088, 18.541581638095767]"
342, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.68881872839417, 18.52827961757506]"
115, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.70299054994848, 18.524780417547625]"
289, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.68805818928381, 18.52131585294355]"
287, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71486155753785, 18.528775818102133]"
42, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71744856054658, 18.52223888959481]"
166, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.69063526993398, 18.532839286504604]"
293, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.715494636881665, 18.545379874885448]"
71, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71900675159339, 18.519718456348]"
38, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.709980830438326, 18.534221442893923]"
249, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71672356751906, 18.535507494552196]"
193, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.716327896977795, 18.546107906312084]"
123, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.69789561126542, 18.52801347602479]"
67, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.711281405469116, 18.513620006461153]"
201, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.70596935187042, 18.527772276534545]"
143, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.70243649545236, 18.55160370948325]"
299, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.70444044344932, 18.540085427825655]"
88, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.72295917682466, 18.541458484150386]"
307, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71265402153063, 18.5377411563512]"
154, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71017935285006, 18.545735950060205]"
250, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.70946458818362, 18.534944408263318]"
354, , ,73953,Třanovice,Třanovice,Třanovice, ,"[49.68808892711245, 18.51937558091361]"
214, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71313873749671, 18.513148633090616]"
163, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.692825845805366, 18.52978494543692]"
167, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.68774970187698, 18.5276146872978]"
13, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71231523093219, 18.540605462730927]"
51, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.70997745520053, 18.535087866591617]"
375, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.701885147812476, 18.539134976854754]"
203, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71571615004895, 18.545017286663825]"
321, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71116678470474, 18.527583613864994]"
339, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71175708390402, 18.52737685229283]"
162, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.71234180231845, 18.526012035997475]"
323, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.711877381454705, 18.526415505678518]"
268, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.708831597138115, 18.530973380520674]"
21, , ,73953,Třanovice,Třanovice,Třanovice,769282,"[49.7197048642397, 18.520091142033543]"
