cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
142, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45527671520162, 15.686404859129652]"
183, , ,54401,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45489825735903, 15.690029424557084]"
230, , ,54401,Třebihošť,Třebihošť,Třebihošť,769975,"[50.43084588331398, 15.712316613577995]"
178, , ,54401,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45514283396569, 15.689139011425258]"
126, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.456425154674236, 15.686032192139242]"
150, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.456217661083414, 15.683334000022684]"
130, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45582690105263, 15.687790274976244]"
149, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45569334126722, 15.682638698436637]"
239, , ,54401,Třebihošť,Třebihošť,Třebihošť,769975,"[50.43126304675065, 15.709374812580121]"
1, , ,54401,Třebihošť,Dolní Dehtov,Dolní Dehtov,642754,"[50.42688432617195, 15.725364042022754]"
162, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45524041167156, 15.688170367842183]"
182, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45635398051146, 15.685577577089798]"
168, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45620884171047, 15.683690242351341]"
123, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45658282797734, 15.684314646074158]"
164, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.455451298307025, 15.687733474691017]"
127, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45610254750742, 15.686546910647852]"
153, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45599505167496, 15.685148889103798]"
141, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.45547316415838, 15.686722370600261]"
18, , ,54401,Třebihošť,Dolní Dehtov,Dolní Dehtov,642754,"[50.42434052777886, 15.725132886314851]"
136, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.454507238548146, 15.688762487730033]"
155, , ,54475,Třebihošť,Třebihošť,Třebihošť,769983,"[50.44843904301602, 15.695692445672107]"
108, , ,54401,Třebihošť,Třebihošť,Třebihošť,769975,"[50.43920821725426, 15.695871853254456]"
107, , ,54401,Třebihošť,Třebihošť,Třebihošť,769975,"[50.43466353126237, 15.707317627635929]"
106, , ,54401,Třebihošť,Třebihošť,Třebihošť,769975,"[50.432388950488935, 15.712366710934967]"
105, , ,54401,Třebihošť,Třebihošť,Třebihošť,769975,"[50.432568314658845, 15.709157677931454]"
2, , ,54401,Třebihošť,Horní Dehtov,Horní Dehtov,642754,"[50.42667694573337, 15.732943176701482]"
104, , ,54401,Třebihošť,Třebihošť,Třebihošť,769975,"[50.43890817962205, 15.69703423594345]"
109, , ,54401,Třebihošť,Třebihošť,Třebihošť,769975,"[50.436210194222056, 15.704347259062976]"
103, , ,54401,Třebihošť,Třebihošť,Třebihošť,769975,"[50.43325343348294, 15.709000469171848]"
101, , ,54401,Třebihošť,Třebihošť,Třebihošť,769975,"[50.43343478276488, 15.708767899116417]"
