cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
269, , ,Třtice,Třtice,62295020010,"[50.17374391382538, 13.848033499438024]"
268, , ,Třtice,Třtice,62302847010,"[50.17339770772632, 13.848785002052294]"
270, , ,Třtice,Třtice,62362187010,"[50.173494719622205, 13.847696220047416]"
113, , ,Třtice,Třtice,255253212,"[50.183899633158916, 13.863857729747501]"
267, , ,Třtice,Třtice,62209799010,"[50.172530735503436, 13.845669298734975]"
214, , ,Třtice,Třtice,62089736010,"[50.183095948652245, 13.85603829219899]"
265, , ,Třtice,Třtice,61224766010,"[50.17357482047399, 13.848431262267802]"
254, , ,Třtice,Třtice,255447212,"[50.17685899116364, 13.847567301150105]"
264, , ,Třtice,Třtice,60882501010,"[50.173892880655856, 13.84850976564234]"
160, , ,Třtice,Třtice,255010212,"[50.18359488110621, 13.853680810573858]"
183, , ,Třtice,Třtice,255458212,"[50.18315801050566, 13.867504606536443]"
22, , ,Třtice,Třtice,255404212,"[50.18469149825808, 13.863195993543654]"
32, , ,Třtice,Třtice,254995212,"[50.184381861137034, 13.865331872834018]"
12, , ,Třtice,Třtice,255454212,"[50.18548169025254, 13.858517548978936]"
208, , ,Třtice,Třtice,26603861010,"[50.183398501018274, 13.855762810085562]"
206, , ,Třtice,Třtice,16063897010,"[50.1828230512211, 13.86712756063362]"
207, , ,Třtice,Třtice,24941883010,"[50.183339403293935, 13.868963416222726]"
42, , ,Třtice,Třtice,255238212,"[50.18498133602142, 13.86747442586667]"
81, , ,Třtice,Třtice,378290212,"[50.18579924529121, 13.859973914935175]"
170, , ,Třtice,Třtice,255427212,"[50.17340936075155, 13.840056663020647]"
205, , ,Třtice,Třtice,24973644010,"[50.18444454070489, 13.853049819698773]"
3, , ,Třtice,Třtice,255121212,"[50.1756423846697, 13.850246193145843]"
2, , ,Třtice,Třtice,255380212,"[50.1757357152418, 13.850564601883006]"
204, , ,Třtice,Třtice,24372897010,"[50.18288647500309, 13.866151080318152]"
203, , ,Třtice,Třtice,22772295010,"[50.18525213892814, 13.866578361587761]"
202, , ,Třtice,Třtice,14764468010,"[50.183200920188504, 13.867282667588206]"
201, , ,Třtice,Třtice,374507212,"[50.1829091572799, 13.866881707491492]"
200, , ,Třtice,Třtice,21668301010,"[50.1832436853665, 13.866961716186864]"
199, , ,Třtice,Třtice,15406325010,"[50.184435171603255, 13.86015517648457]"
198, , ,Třtice,Třtice,15850474010,"[50.182949337858766, 13.866533043479079]"
197, , ,Třtice,Třtice,363392212,"[50.18463510513455, 13.854053920577368]"
255, , ,Třtice,Třtice,255399212,"[50.17367645615867, 13.85070556208933]"
106, , ,Třtice,Třtice,0,"[50.17394600617384, 13.857547775492558]"
15, , ,Třtice,Třtice,255390212,"[50.18440168352802, 13.860645542440954]"
142, , ,Třtice,Třtice,255311212,"[50.17235077037427, 13.845487674033393]"
63, , ,Třtice,Třtice,255081212,"[50.18440905246542, 13.86676969116835]"
219, , ,Třtice,Třtice,255061212,"[50.177430205811966, 13.876068844817084]"
17, , ,Třtice,Třtice,255343212,"[50.17627106236322, 13.85017176317881]"
39, , ,Třtice,Třtice,255387212,"[50.18476690120225, 13.86898513055153]"
49, , ,Třtice,Třtice,255097212,"[50.18517232560029, 13.863024840824961]"
31, , ,Třtice,Třtice,255283212,"[50.18348589963985, 13.860608776164408]"
70, , ,Třtice,Třtice,255191212,"[50.18428897571015, 13.86564336761382]"
26, , ,Třtice,Třtice,255212212,"[50.17679735262535, 13.850747401819218]"
114, , ,Třtice,Třtice,255279212,"[50.172967907256336, 13.84428221598576]"
74, , ,Třtice,Třtice,255244212,"[50.18552750062305, 13.862334357673381]"
28, , ,Třtice,Třtice,255395212,"[50.184770651606065, 13.864741640443814]"
19, , ,Třtice,Třtice,255181212,"[50.18445480120423, 13.862333475908677]"
62, , ,Třtice,Třtice,255401212,"[50.184166533431934, 13.868417614427198]"
83, , ,Třtice,Třtice,255370212,"[50.17405334125808, 13.852815420573057]"
99, , ,Třtice,Třtice,255313212,"[50.17403327900998, 13.855987727185346]"
151, , ,Třtice,Třtice,255288212,"[50.171786408289115, 13.844240460016538]"
67, , ,Třtice,Třtice,255482212,"[50.17379217717972, 13.85017983713028]"
22, , ,Třtice,Třtice,255263212,"[50.17663888590573, 13.850415437614894]"
173, , ,Třtice,Třtice,255123212,"[50.18544535476713, 13.861897732642886]"
99, , ,Třtice,Třtice,255385212,"[50.18411557530246, 13.866981926116832]"
117, , ,Třtice,Třtice,255234212,"[50.184520711194935, 13.865920795615361]"
91, , ,Třtice,Třtice,255172212,"[50.18379908488586, 13.857940198800435]"
59, , ,Třtice,Třtice,255218212,"[50.17373474648959, 13.849271027089783]"
147, , ,Třtice,Třtice,255185212,"[50.18377053647668, 13.859512879882805]"
37, , ,Třtice,Třtice,255393212,"[50.18377794857489, 13.867674748232181]"
133, , ,Třtice,Třtice,255323212,"[50.17273610087522, 13.844632938300508]"
33, , ,Třtice,Třtice,255117212,"[50.177575454575006, 13.8507329473501]"
45, , ,Třtice,Třtice,254985212,"[50.17838826371901, 13.848749117174423]"
131, , ,Třtice,Třtice,255396212,"[50.184394913215684, 13.863212134026481]"
69, , ,Třtice,Třtice,255075212,"[50.173833288745065, 13.850571453089502]"
230, , ,Třtice,Třtice,255264212,"[50.17218149293868, 13.842802793432766]"
28, , ,Třtice,Třtice,255262212,"[50.176921922109734, 13.850849641902414]"
110, , ,Třtice,Třtice,255062212,"[50.18522173786664, 13.860096224503982]"
5, , ,Třtice,Třtice,255215212,"[50.185564554697464, 13.863273462466303]"
122, , ,Třtice,Třtice,254987212,"[50.18386221257481, 13.857143437012764]"
108, , ,Třtice,Třtice,255336212,"[50.172962769673816, 13.845363064465198]"
238, , ,Třtice,Třtice,255436212,"[50.17288464200443, 13.845965163074066]"
161, , ,Třtice,Třtice,254982212,"[50.172381491212484, 13.843698521381503]"
210, , ,Třtice,Třtice,255158212,"[50.17750308394017, 13.877315594090412]"
56, , ,Třtice,Třtice,255155212,"[50.18550482002959, 13.864002821162389]"
18, , ,Třtice,Třtice,255184212,"[50.184915010869595, 13.86187888752361]"
85, , ,Třtice,Třtice,255171212,"[50.17390597793199, 13.853086018251366]"
14, , ,Třtice,Třtice,255193212,"[50.1760958173142, 13.850122310651635]"
199, , ,Třtice,Třtice,255057212,"[50.177062082857944, 13.875054594194571]"
79, , ,Třtice,Třtice,255110212,"[50.18350337031242, 13.857008436307582]"
35, , ,Třtice,Třtice,255058212,"[50.183798481716074, 13.868579344469882]"
6, , ,Třtice,Třtice,255326212,"[50.175686792574005, 13.84974196765876]"
115, , ,Třtice,Třtice,255136212,"[50.173134306855445, 13.844101780844623]"
58, , ,Třtice,Třtice,255017212,"[50.18398080809445, 13.868175620587895]"
212, , ,Třtice,Třtice,255307212,"[50.17772002185856, 13.877298856725918]"
228, , ,Třtice,Třtice,255222212,"[50.17958035249426, 13.885224610329537]"
21, , ,Třtice,Třtice,255388212,"[50.18446524690152, 13.86298525444405]"
