cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
22, , ,53501,Urbanice,Urbanice,Urbanice,774685,"[49.97428704281174, 15.567558240998757]"
75, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.180712676218455, 15.726321453073282]"
114, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.17905775888523, 15.726564377072034]"
37, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.179470376508206, 15.731627630173724]"
89, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.18123235252664, 15.72597945780528]"
73, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.17988543535221, 15.73248279350447]"
107, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.18174605691288, 15.727180290964485]"
43, , ,53501,Urbanice,Urbanice,Urbanice,774685,"[49.97280650581717, 15.57498709063518]"
36, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.178976232882825, 15.729449937513133]"
6, , ,53501,Urbanice,Urbanice,Urbanice,774685,"[49.97178144263829, 15.56978802777128]"
21, , ,53501,Urbanice,Urbanice,Urbanice,774685,"[49.97357745299215, 15.568324570713536]"
109, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.179713753574326, 15.725599762769491]"
70, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.17810595338997, 15.732749591309414]"
36, , ,53501,Urbanice,Urbanice,Urbanice,774685,"[49.971893282148095, 15.569022521522802]"
83, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.18141141913702, 15.726890246200915]"
2, , ,53501,Urbanice,Urbanice,Urbanice,774685,"[49.97433161911803, 15.566973960207934]"
65, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.17992337771045, 15.732399285868492]"
55, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.18019143255758, 15.72829889173376]"
33, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.17911587130149, 15.729501845948473]"
96, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.178381329907076, 15.732055646692258]"
88, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.180770516205044, 15.724467050805112]"
105, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.17660241133371, 15.733879396498784]"
47, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.179497785595444, 15.732209669698012]"
97, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.176858157197216, 15.734390599686291]"
104, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.17847826218164, 15.731780928209844]"
1, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.182427475823886, 15.725389880453358]"
11, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.18076063997211, 15.72617176504346]"
64, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.17978042110847, 15.732264228812577]"
25, , ,53501,Urbanice,Urbanice,Urbanice,774685,"[49.97337558534991, 15.568463057443953]"
81, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.182172313105916, 15.724959634124932]"
66, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.180069539409125, 15.732754847638033]"
51, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.17766950922715, 15.72992145423702]"
69, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.18049565231529, 15.73327602931591]"
12, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.18128430538045, 15.724500104250216]"
80, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.18045900521562, 15.72705231034931]"
95, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.178291992406045, 15.73250083029917]"
84, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.17935139383849, 15.732751242753222]"
77, , ,50327,Urbanice,Urbanice,Urbanice,732923,"[50.18008414083, 15.728814151514174]"
