cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
2930, ,Petra Bezruče,Varnsdorf,Varnsdorf,106414531,"[50.916769798740475, 14.614953200131238]"
2930, ,Žižkova,Varnsdorf,Varnsdorf,106414531,"[50.9172284150466, 14.615013159880617]"
1611, ,T. G. Masaryka,Varnsdorf,Varnsdorf,104863531,"[50.91186831044052, 14.63053128015795]"
3636, ,Kubelíkova,Varnsdorf,Varnsdorf,62245800010,"[50.918302703709145, 14.634591928087604]"
3612, ,Ernsta Thällmanna,Varnsdorf,Varnsdorf,62242878010,"[50.89739380820971, 14.632458452589466]"
1816, ,Děčínská,Varnsdorf,Varnsdorf,105911531,"[50.908546557571604, 14.60484059908466]"
2384, ,Hašlerova,Varnsdorf,Varnsdorf,104916531,"[50.90460239587277, 14.644643597928132]"
2089, ,Fibichova,Varnsdorf,Varnsdorf,106055531,"[50.8942197409251, 14.622493814581032]"
3074, ,Bratislavská,Varnsdorf,Varnsdorf,107754531,"[50.91007345377323, 14.637315712020591]"
2254, ,Kostelní,Varnsdorf,Varnsdorf,105195531,"[50.90349222684494, 14.622415477998045]"
3249, ,Bratislavská,Varnsdorf,Varnsdorf,117557531,"[50.91074290593544, 14.63980492034997]"
1867, ,Náchodská,Varnsdorf,Varnsdorf,105931531,"[50.91349860768499, 14.633383127520169]"
2515, ,Raisova,Varnsdorf,Varnsdorf,106218531,"[50.91352905215905, 14.637463303008156]"
1577, ,Čelakovická,Varnsdorf,Varnsdorf,105817531,"[50.898147887706415, 14.62320789704373]"
1626, ,Na Pastvinách,Varnsdorf,Varnsdorf,105836531,"[50.912756936153585, 14.641143266381702]"
1863, ,Národní,Varnsdorf,Varnsdorf,108120531,"[50.90844092753076, 14.626218895423014]"
607, ,Lesní,Varnsdorf,Varnsdorf,105258531,"[50.90602462742936, 14.6146807461972]"
85, , ,Varnsdorf,Varnsdorf,62389996010,"[50.89766037991634, 14.6154286873096]"
1253, ,Tovární,Varnsdorf,Varnsdorf,105708531,"[50.907971090399236, 14.636027245164087]"
2433, ,Zimní,Varnsdorf,Varnsdorf,106190531,"[50.894241023376445, 14.629515277546927]"
1963, ,Rumburská,Varnsdorf,Varnsdorf,105989531,"[50.919560965185006, 14.602632148725096]"
3635, ,Mladoboleslavská,Varnsdorf,Varnsdorf,161035531,"[50.89822914497939, 14.632949486846863]"
450, ,Štefánikova,Varnsdorf,Varnsdorf,105348531,"[50.91411002326543, 14.620370475816811]"
3589, ,Pohraniční Stráže,Varnsdorf,Varnsdorf,62132965010,"[50.92450896201671, 14.619734556036924]"
2502, ,Raisova,Varnsdorf,Varnsdorf,106249531,"[50.913051316127074, 14.636695472881065]"
2317, ,Raisova,Varnsdorf,Varnsdorf,106141531,"[50.91815702783006, 14.644723228231488]"
2507, ,Raisova,Varnsdorf,Varnsdorf,106240531,"[50.913231150475795, 14.636949995870463]"
3615, ,Ernsta Thällmanna,Varnsdorf,Varnsdorf,62197047010,"[50.89705091488471, 14.631359887150332]"
3423, ,Čáslavská,Varnsdorf,Varnsdorf,14753177010,"[50.92161551690924, 14.615480238508415]"
3638, ,Tichá,Varnsdorf,Varnsdorf,62335811010,"[50.898901186068706, 14.622124096749177]"
1505, ,Žilinská,Varnsdorf,Varnsdorf,105789531,"[50.91489123496895, 14.634209593052594]"
21, ,Na Haldách,Varnsdorf,Varnsdorf,105343531,"[50.91598989671685, 14.609221421330698]"
3224, ,Otáhalova,Varnsdorf,Varnsdorf,115755531,"[50.909949615459404, 14.623367153807509]"
