cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
132, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.510075052803195, 15.039490597797538]"
69, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.511913914665364, 15.037315464647818]"
93, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51326421110666, 15.036768923686948]"
83, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51226309186329, 15.038986746872533]"
9, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.511774500186604, 15.036089920038457]"
61, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51297009949644, 15.03607535949807]"
116, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.510350851366454, 15.038781429723748]"
121, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51096967917907, 15.037002865176818]"
56, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51073839530376, 15.03692220282448]"
29, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.5120912962848, 15.041039917556832]"
108, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.5089278264422, 15.037601838808857]"
119, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.511778178316064, 15.042194843777796]"
65, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.510800456348115, 15.04089223817056]"
73, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.509623737241256, 15.036165156919438]"
2, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.5111651172694, 15.037575493303342]"
99, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51335512846895, 15.03494061000178]"
20, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51201898641254, 15.038401342241736]"
97, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51322599232199, 15.037068936843513]"
22, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.50872188687039, 15.040218602674623]"
36, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51056022526481, 15.040731041508652]"
103, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.509624269559275, 15.03736613831427]"
46, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51236768875318, 15.036027855968527]"
26, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.512158835834796, 15.040441680484074]"
58, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51132424205252, 15.037850247358241]"
4, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.5105341946519, 15.037296919698406]"
31, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51179986235635, 15.040916724969323]"
90, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51357390235257, 15.035816233929026]"
40, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.493379361642006, 15.038585089081547]"
33, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.511250661169136, 15.040747210163733]"
80, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51189560747023, 15.04043821549989]"
30, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51198432649259, 15.041492805196938]"
135, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.518525185753205, 15.021184882498709]"
76, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.50981573111456, 15.036271297131051]"
127, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51015756595148, 15.03907042374078]"
24, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.512410741682366, 15.039556208360068]"
67, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.517728140221585, 15.01861374058448]"
13, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51264742305205, 15.036766040179034]"
138, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.50927374110466, 15.03643319070162]"
71, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51034364219542, 15.036541061658317]"
28, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51213889956471, 15.04083302047501]"
7, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51140310060233, 15.036513018000893]"
21, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.511952159196255, 15.038723454654129]"
100, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.50966273115692, 15.036745846508296]"
23, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51226685060604, 15.039139172925188]"
32, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51721296885235, 15.017880615011613]"
49, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51035708146822, 15.041370644527229]"
4, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.517524893741786, 15.018138879872042]"
133, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.503232147853, 15.02251263707917]"
124, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.509784414802276, 15.0388381483344]"
85, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51000807700628, 15.036326684362239]"
14, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.51210284213499, 15.03671832763205]"
115, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.5098165736814, 15.038358348633771]"
51, , ,39428,Velká Chyška,Velká Chyška,Velká Chyška,778389,"[49.5109939192358, 15.03737275943313]"
