cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
260, ,Kašparská,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86644262585263, 18.09405655153263]"
550, ,Slunečná,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.8573474451401, 18.09908686317333]"
608, ,U Jízdárny,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.8569267468987, 18.097455075363566]"
338, ,Budovatelů,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.85791091252344, 18.09560331551155]"
371, ,9. května,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.857278381966864, 18.09649965548235]"
184, ,Kolářská,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.864309721890656, 18.09558408983941]"
159, ,Zahradní,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86159467563981, 18.0937852934026]"
134, ,9. května,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.85868673538681, 18.09647171806128]"
253, ,Na Kopci,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86163689147474, 18.08978675308271]"
581, ,U Jízdárny,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.855457633322295, 18.0980506483427]"
389, ,Budovatelů,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86033991143741, 18.091308470576646]"
96, ,Na Rohuli,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86238171123408, 18.09327960878476]"
780, ,9. května,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.85644757282659, 18.095450601078184]"
83, ,Větrná,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86415805931548, 18.090592847734108]"
412, ,Opavská,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86306118158321, 18.10254526885089]"
153, ,Pionýrská,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86502876396096, 18.0909188577782]"
686, ,Pod Úbedřím,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.85703706873531, 18.100971971896104]"
118, ,Řemeslnická,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86262713300569, 18.094312642353476]"
47, ,9. května,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86326012658904, 18.095735362432244]"
449, ,Za Humny,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86479156781487, 18.091522619768487]"
56, ,Opavská,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.86465153677379, 18.096740984698055]"
109, ,9. května,74764,Velká Polom,Velká Polom,Velká Polom,778591,"[49.85956050337906, 18.096386640913334]"
