cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
37, , ,Velká Skrovnice,Velká Skrovnice,428114611,"[50.02716645574399, 16.321633678999838]"
40, , ,Velká Skrovnice,Velká Skrovnice,428165611,"[50.02834087282457, 16.319716017731405]"
16, , ,Velká Skrovnice,Malá Skrovnice,428131611,"[50.03939436736489, 16.307688208066764]"
12, , ,Velká Skrovnice,Malá Skrovnice,428161611,"[50.03648898547516, 16.309210323371754]"
19, , ,Velká Skrovnice,Velká Skrovnice,428195611,"[50.02773076590877, 16.322867938784523]"
67, , ,Velká Skrovnice,Velká Skrovnice,428236611,"[50.02949505697364, 16.315469188981897]"
99, , ,Velká Skrovnice,Velká Skrovnice,44274309010,"[50.02629613177671, 16.32103877869139]"
98, , ,Velká Skrovnice,Velká Skrovnice,37441050010,"[50.02653690793531, 16.320112223617045]"
95, , ,Velká Skrovnice,Velká Skrovnice,24531453010,"[50.026846696618456, 16.32014265060312]"
81, , ,Velká Skrovnice,Velká Skrovnice,428186611,"[50.03152694444805, 16.312910846901715]"
59, , ,Velká Skrovnice,Velká Skrovnice,428230611,"[50.03113692196477, 16.31490280245836]"
38, , ,Velká Skrovnice,Velká Skrovnice,428106611,"[50.02764337222134, 16.32090299241348]"
71, , ,Velká Skrovnice,Velká Skrovnice,428167611,"[50.02743893523247, 16.321078949137696]"
22, , ,Velká Skrovnice,Velká Skrovnice,428112611,"[50.02586775226328, 16.322167835248656]"
80, , ,Velká Skrovnice,Velká Skrovnice,428238611,"[50.030504253705004, 16.317435620719642]"
21, , ,Velká Skrovnice,Malá Skrovnice,428148611,"[50.037650986276304, 16.30925798129734]"
78, , ,Velká Skrovnice,Velká Skrovnice,428179611,"[50.02592035313834, 16.321532240416367]"
17, , ,Velká Skrovnice,Malá Skrovnice,428119611,"[50.03968195209724, 16.307398500283234]"
57, , ,Velká Skrovnice,Velká Skrovnice,428184611,"[50.030517957492165, 16.31499597061836]"
64, , ,Velká Skrovnice,Velká Skrovnice,428232611,"[50.02966764397126, 16.315570352447715]"
26, , ,Velká Skrovnice,Malá Skrovnice,428223611,"[50.03817744892479, 16.308956216785887]"
45, , ,Velká Skrovnice,Velká Skrovnice,428140611,"[50.02877403383528, 16.318696150712036]"
