cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
91, , ,Velký Rybník,Velký Rybník,38668037010,"[49.49034227802796, 15.309909963520125]"
103, , ,Velký Rybník,Velký Rybník,26836417010,"[49.485707529086405, 15.311526608997298]"
28, , ,Velký Rybník,Velký Rybník,334733304,"[49.47564168059924, 15.314995787203237]"
80, , ,Velký Rybník,Velký Rybník,334734304,"[49.475449694565086, 15.314532080232809]"
76, , ,Velký Rybník,Velký Rybník,318342304,"[49.488267478342316, 15.309141301119968]"
79, , ,Velký Rybník,Velký Rybník,318391304,"[49.4910757657619, 15.305914839296209]"
11, , ,Velký Rybník,Velký Rybník,318343304,"[49.49021529386167, 15.307360692060852]"
62, , ,Velký Rybník,Velký Rybník,318344304,"[49.489448629176415, 15.30917794091744]"
54, , ,Velký Rybník,Velký Rybník,318369304,"[49.48920568640208, 15.306762368934294]"
63, , ,Velký Rybník,Velký Rybník,318345304,"[49.48938729536551, 15.309203675888622]"
64, , ,Velký Rybník,Velký Rybník,318346304,"[49.48932708192208, 15.309243106713426]"
65, , ,Velký Rybník,Velký Rybník,318347304,"[49.48926574809555, 15.309268841539057]"
72, , ,Velký Rybník,Velký Rybník,318348304,"[49.4896794403484, 15.309008240214096]"
31, , ,Velký Rybník,Velký Rybník,318422304,"[49.49080423124346, 15.307469737098646]"
47, , ,Velký Rybník,Velký Rybník,318352304,"[49.472669477883024, 15.334968142208762]"
69, , ,Velký Rybník,Velký Rybník,318364304,"[49.48913976019176, 15.309390510164022]"
73, , ,Velký Rybník,Velký Rybník,318366304,"[49.490710227364445, 15.306653121913596]"
32, , ,Velký Rybník,Velký Rybník,318321304,"[49.49036311613327, 15.308946006717383]"
16, , ,Velký Rybník,Velký Rybník,318333304,"[49.491431874520735, 15.306722657475095]"
21, , ,Velký Rybník,Velký Rybník,318354304,"[49.48694161903845, 15.30988376164507]"
19, , ,Velký Rybník,Velký Rybník,318350304,"[49.48685587986252, 15.310275888578245]"
