cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
120, , ,Velký Valtinov,Velký Valtinov,62374505010,"[50.74851188192677, 14.744655016576901]"
117, , ,Velký Valtinov,Velký Valtinov,50390276010,"[50.75685747346381, 14.748405185431883]"
72, , ,Velký Valtinov,Velký Valtinov,0,"[50.74142542195733, 14.7207717191941]"
73, , ,Velký Valtinov,Velký Valtinov,0,"[50.741041637441796, 14.720309347436494]"
76, , ,Velký Valtinov,Velký Valtinov,0,"[50.73894527927611, 14.719864270237801]"
87, , ,Velký Valtinov,Velký Valtinov,0,"[50.73505021031344, 14.736202896054698]"
71, , ,Velký Valtinov,Velký Valtinov,0,"[50.742220338006945, 14.722019461808147]"
97, , ,Velký Valtinov,Velký Valtinov,0,"[50.72580766505137, 14.725899237481174]"
99, , ,Velký Valtinov,Velký Valtinov,0,"[50.72705936283305, 14.727722172507093]"
102, , ,Velký Valtinov,Velký Valtinov,0,"[50.72563487192621, 14.72739288277558]"
103, , ,Velký Valtinov,Velký Valtinov,0,"[50.73872301687333, 14.71895348949222]"
116, , ,Velký Valtinov,Velký Valtinov,368748501,"[50.7421967041906, 14.723668080971777]"
113, , ,Velký Valtinov,Velký Valtinov,23836861010,"[50.74749515628754, 14.742993944217952]"
112, , ,Velký Valtinov,Velký Valtinov,199268501,"[50.7426175316637, 14.734642009696708]"
110, , ,Velký Valtinov,Velký Valtinov,392377501,"[50.74293583553308, 14.737333586514929]"
86, , ,Velký Valtinov,Velký Valtinov,0,"[50.733977497819254, 14.736142091142323]"
85, , ,Velký Valtinov,Velký Valtinov,0,"[50.73439310556, 14.736031517143648]"
67, , ,Velký Valtinov,Velký Valtinov,0,"[50.738907571970685, 14.720230638226976]"
15, , ,Velký Valtinov,Velký Valtinov,199218501,"[50.748880478747466, 14.745601389094983]"
66, , ,Velký Valtinov,Velký Valtinov,199279501,"[50.741622608936694, 14.735066683264307]"
64, , ,Velký Valtinov,Velký Valtinov,199226501,"[50.73890109850418, 14.72820397639894]"
57, , ,Velký Valtinov,Velký Valtinov,199239501,"[50.75640970082172, 14.74874489787239]"
70, , ,Velký Valtinov,Velký Valtinov,199259501,"[50.743395585488535, 14.736341169758003]"
36, , ,Velký Valtinov,Velký Valtinov,199233501,"[50.743561400908185, 14.73818210430705]"
74, , ,Velký Valtinov,Velký Valtinov,199288501,"[50.74052392103849, 14.719606324322374]"
31, , ,Velký Valtinov,Velký Valtinov,199266501,"[50.74429822746487, 14.738605794725045]"
49, , ,Velký Valtinov,Velký Valtinov,199253501,"[50.75771040177895, 14.748448656002708]"
100, , ,Velký Valtinov,Velký Valtinov,199184501,"[50.72741744656938, 14.727670207209233]"
55, , ,Velký Valtinov,Velký Valtinov,199295501,"[50.75836395209411, 14.747191927468677]"
79, , ,Velký Valtinov,Velký Valtinov,199190501,"[50.74367964665474, 14.7238897514173]"
65, , ,Velký Valtinov,Velký Valtinov,199204501,"[50.746414971953804, 14.736388012004626]"
88, , ,Velký Valtinov,Velký Valtinov,199241501,"[50.73562996156871, 14.736952274282043]"
47, , ,Velký Valtinov,Velký Valtinov,199188501,"[50.74916349606381, 14.747041010628656]"
24, , ,Velký Valtinov,Velký Valtinov,199205501,"[50.74482489953298, 14.738507770664144]"
83, , ,Velký Valtinov,Velký Valtinov,199202501,"[50.733037846527665, 14.733067121011445]"
4, , ,Velký Valtinov,Velký Valtinov,199290501,"[50.755180159167956, 14.748313689542542]"
90, , ,Velký Valtinov,Velký Valtinov,199262501,"[50.73628052588953, 14.737611489690261]"
80, , ,Velký Valtinov,Velký Valtinov,199213501,"[50.745544258477224, 14.723407250422278]"
27, , ,Velký Valtinov,Velký Valtinov,199209501,"[50.743170432040834, 14.737850441791377]"
69, , ,Velký Valtinov,Velký Valtinov,199198501,"[50.74393421117975, 14.735978053142121]"
58, , ,Velký Valtinov,Velký Valtinov,199258501,"[50.7494727439179, 14.747221548195233]"
23, , ,Velký Valtinov,Velký Valtinov,199203501,"[50.74649097945943, 14.741364750402882]"
78, , ,Velký Valtinov,Velký Valtinov,199220501,"[50.74192612093033, 14.72123966103991]"
7, , ,Velký Valtinov,Velký Valtinov,199193501,"[50.75230745261951, 14.746856407792656]"
81, , ,Velký Valtinov,Velký Valtinov,199244501,"[50.744830993470984, 14.724043529505545]"
94, , ,Velký Valtinov,Velký Valtinov,199212501,"[50.73944174047523, 14.739030029179029]"
13, , ,Velký Valtinov,Velký Valtinov,199247501,"[50.74928675554644, 14.745838741754277]"
56, , ,Velký Valtinov,Velký Valtinov,199246501,"[50.755879498776416, 14.748481023336424]"
41, , ,Velký Valtinov,Velký Valtinov,199251501,"[50.74136125423608, 14.737277958517916]"
98, , ,Velký Valtinov,Velký Valtinov,199249501,"[50.726648482528915, 14.7271827163944]"
35, , ,Velký Valtinov,Velký Valtinov,199196501,"[50.74343650504874, 14.73855406977609]"
20, , ,Velký Valtinov,Velký Valtinov,199286501,"[50.747425819995804, 14.742434180929417]"
75, , ,Velký Valtinov,Velký Valtinov,199217501,"[50.74014592137976, 14.719289389303077]"
28, , ,Velký Valtinov,Velký Valtinov,199264501,"[50.745014247176464, 14.739261840727936]"
37, , ,Velký Valtinov,Velký Valtinov,199257501,"[50.742692172477625, 14.737082762992731]"
18, , ,Velký Valtinov,Velký Valtinov,199263501,"[50.747731764384554, 14.743693837711033]"
61, , ,Velký Valtinov,Velký Valtinov,199219501,"[50.75659949211704, 14.745429652233785]"
29, , ,Velký Valtinov,Velký Valtinov,331326501,"[50.74419736719228, 14.737227282220246]"
9, , ,Velký Valtinov,Velký Valtinov,199282501,"[50.75066364828984, 14.748789760554152]"
38, , ,Velký Valtinov,Velký Valtinov,199276501,"[50.742303229448176, 14.735854993263874]"
89, , ,Velký Valtinov,Velký Valtinov,199265501,"[50.73598914905894, 14.738007210811661]"
32, , ,Velký Valtinov,Velký Valtinov,199267501,"[50.744376780416786, 14.738822700471102]"
21, , ,Velký Valtinov,Velký Valtinov,199238501,"[50.746961201143016, 14.74151516292614]"
40, , ,Velký Valtinov,Velký Valtinov,199278501,"[50.74182021750554, 14.736016761413795]"
34, , ,Velký Valtinov,Velký Valtinov,199215501,"[50.74434496271762, 14.738437758841002]"
6, , ,Velký Valtinov,Velký Valtinov,199280501,"[50.75448229745458, 14.748491432499874]"
26, , ,Velký Valtinov,Velký Valtinov,199223501,"[50.745542138265165, 14.73943356441799]"
93, , ,Velký Valtinov,Velký Valtinov,199183501,"[50.7394920364231, 14.733902713509673]"
60, , ,Velký Valtinov,Velký Valtinov,199230501,"[50.74192492933798, 14.72290041775382]"
95, , ,Velký Valtinov,Velký Valtinov,199206501,"[50.73192500288144, 14.730844281145615]"
46, , ,Velký Valtinov,Velký Valtinov,199179501,"[50.74604701618253, 14.739238641257593]"
54, , ,Velký Valtinov,Velký Valtinov,199292501,"[50.759300012095, 14.745720879967603]"
62, , ,Velký Valtinov,Velký Valtinov,199270501,"[50.74233752174974, 14.734014086664992]"
91, , ,Velký Valtinov,Velký Valtinov,199254501,"[50.73647125431848, 14.738222941667722]"
96, , ,Velký Valtinov,Velký Valtinov,199211501,"[50.73239485895686, 14.731608352877018]"
16, , ,Velký Valtinov,Velký Valtinov,199201501,"[50.74855642127548, 14.745247728060866]"
1, , ,Velký Valtinov,Velký Valtinov,199284501,"[50.75226661681191, 14.747957827692527]"
59, , ,Velký Valtinov,Velký Valtinov,199232501,"[50.742569061381005, 14.733563968631508]"
68, , ,Velký Valtinov,Velký Valtinov,199289501,"[50.74217342096858, 14.733327373134628]"
2, , ,Velký Valtinov,Velký Valtinov,199285501,"[50.75219558343942, 14.748176578480056]"
39, , ,Velký Valtinov,Velký Valtinov,199277501,"[50.74153021399524, 14.735503277213912]"
63, , ,Velký Valtinov,Velký Valtinov,199269501,"[50.75094336283834, 14.746126174621855]"
30, , ,Velký Valtinov,Velký Valtinov,199225501,"[50.74452609316486, 14.737973649937787]"
92, , ,Velký Valtinov,Velký Valtinov,199236501,"[50.736556152009015, 14.738766874027958]"
7, , ,Velký Valtinov,Velký Valtinov,266929501,"[50.75023701515055, 14.749685898560303]"
9, , ,Velký Valtinov,Velký Valtinov,266931501,"[50.75023159696283, 14.750194196545156]"
