cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
1, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.3530012044565, 15.748686427103083]"
93, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35557150754002, 15.753429505808976]"
60, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34723657039131, 15.745892216910834]"
84, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.348737978082305, 15.743578829195288]"
43, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35861574215036, 15.751583227408396]"
45, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.345944170224556, 15.748491671036795]"
30, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.3594778599315, 15.749452841062192]"
125, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34828762854389, 15.743931198837853]"
19, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35934038303061, 15.747773243087511]"
91, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.355393622776965, 15.7537944607038]"
54, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.357114122801555, 15.74893080064405]"
5, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35808626395822, 15.750704948889544]"
8, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35916909086653, 15.75255471792499]"
59, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.3466251297591, 15.747032085828346]"
82, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.348612208413854, 15.744010296422223]"
115, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.347419346170106, 15.745306490325726]"
2, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35299646864818, 15.749006704188261]"
125, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.3464025783536, 15.753176240172298]"
70, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34787473521333, 15.744998618978842]"
81, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35752840797948, 15.748619266567673]"
88, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.349031156395554, 15.742936906184461]"
135, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35483098434711, 15.755894529610362]"
75, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.348088232668744, 15.744666359801123]"
77, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.348211177560174, 15.74446875896519]"
121, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.355166986563596, 15.75515107123644]"
7, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35861989075948, 15.749853832308986]"
1, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.358324547563754, 15.750818353289459]"
72, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34798698592614, 15.744824527498475]"
15, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35933651218226, 15.748361601347904]"
32, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35941715752763, 15.749825091643775]"
65, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.358032745657844, 15.751547549303371]"
72, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35737885631162, 15.750065584117378]"
104, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34558370167696, 15.748565840115479]"
17, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35023168787474, 15.753498322046331]"
4, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35950633064131, 15.752773479276653]"
123, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35556767279174, 15.753169828930956]"
90, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35548344893839, 15.753685690793949]"
69, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34789181599093, 15.74521106710127]"
49, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35966406499709, 15.746216304855304]"
110, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35515031055385, 15.756914083052271]"
39, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35891972402495, 15.751048753943753]"
44, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34577877692723, 15.74870609907185]"
113, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35461557108236, 15.756870037866888]"
66, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.3566228367493, 15.748522364802374]"
83, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34865187410707, 15.743757375474981]"
101, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35716399807407, 15.74841000890126]"
91, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35835850400506, 15.752029278282484]"
63, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35918832482496, 15.747071096691931]"
9, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35318103248041, 15.748716207279477]"
112, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35474531948546, 15.756526687942406]"
78, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34834170428833, 15.744513258915683]"
92, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.355555153242, 15.753535303736985]"
4, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35856738382965, 15.750229072418989]"
31, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35944706311348, 15.749671601799859]"
68, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35796817413288, 15.75187875785515]"
74, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.3566712030685, 15.74912724670901]"
79, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35874971080803, 15.750379118249029]"
100, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35684895260482, 15.748630529447992]"
52, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.358079631190506, 15.75250144516747]"
95, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35869930621848, 15.751570156681366]"
6, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35996829910632, 15.746352599425942]"
105, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.354983153693034, 15.754899551029917]"
23, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.36026040936169, 15.745856101672134]"
3, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35518563551606, 15.754959228755324]"
120, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34786107714551, 15.744640495921022]"
118, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.347672147657015, 15.74492231448795]"
61, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35779942758222, 15.75217848505377]"
56, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34660422336689, 15.747403593726563]"
119, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34775431750033, 15.744799976857504]"
116, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34749414423368, 15.745181287655198]"
107, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.355907465044105, 15.757047633090108]"
67, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.357770204897776, 15.750248307311189]"
27, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34424747431689, 15.749804014188328]"
124, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35578721346958, 15.752808549057253]"
71, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.357362267468744, 15.750531610477152]"
65, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34765363545891, 15.745541428768938]"
23, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34431306341905, 15.75030733101708]"
95, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35540410904778, 15.754375553480786]"
38, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35900711146694, 15.7508240896119]"
64, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34751657674201, 15.745522768507403]"
89, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.349145314896575, 15.742704998566575]"
12, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35320736178839, 15.748013204720785]"
104, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35616608945847, 15.757251939588388]"
18, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.360166557107675, 15.746739130848356]"
86, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.358070078637496, 15.74881293651022]"
48, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34569728932992, 15.748144191256689]"
34, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34491281993295, 15.749245161239283]"
141, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.3482083749347, 15.744078605346356]"
71, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34801245766361, 15.745068517521508]"
140, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34989300468742, 15.753873890892564]"
122, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35468783397431, 15.757507366905305]"
111, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.355019581060326, 15.757196058536598]"
55, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34683526303992, 15.747293334063187]"
109, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.346888476076884, 15.746040501001078]"
131, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.354510985467456, 15.75534465916627]"
119, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.355757172543825, 15.75749770995751]"
24, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.3444136340619, 15.75011422611158]"
117, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34758325930498, 15.745056237270072]"
17, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35940181908032, 15.748034202099285]"
108, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.355481723668994, 15.757142009704133]"
106, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.34664704926426, 15.746363959031974]"
5, , ,54454,Velký Vřešťov,Velký Vřešťov,Velký Vřešťov,779831,"[50.35915176099314, 15.752067700388812]"
