cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
143, ,Čelakovského,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27156053594507, 14.330271014914944]"
163, ,Hálkova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.269716201943176, 14.32919527001384]"
577, ,Štěp. Bendy,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27174675431512, 14.321336649789615]"
990, ,V Cihelnách,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27155420513064, 14.315684571555174]"
804, ,Jiráskova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26941362547636, 14.336400894129717]"
561, ,Pod Horami,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.268526819929036, 14.33673577048295]"
523, ,Pod Horami,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26538756407826, 14.333716388340292]"
117, ,Palackého,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.2702024449667, 14.329141050858853]"
131, ,Čelakovského,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27164323964321, 14.329976358004078]"
160, ,Čelakovského,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.270381006090474, 14.330839524197398]"
434, ,Riegrova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26850454526379, 14.326606554331699]"
26, , ,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26791741969747, 14.309916434600504]"
440, ,Maršála Rybalka,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27511295272291, 14.31585777895416]"
335, ,Riegrova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26976373353275, 14.331677660995684]"
933, ,Kaštanová,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.276937141071954, 14.344658356442299]"
555, ,Klicperova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.270763373583826, 14.327229517300426]"
270, ,Riegrova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26876674057102, 14.328215186143025]"
441, ,Žižkova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26749825565509, 14.323893713298888]"
694, ,Nová,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27156154929858, 14.33228189988275]"
621, ,Tomkova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26691930459654, 14.331219015274188]"
769, ,Lomená,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.268207169408754, 14.33681785613901]"
365, ,Lidická,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26863684361196, 14.333382667894861]"
453, ,Opletalova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26845707898592, 14.326351729096396]"
722, ,U Letního kina,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.271491618246685, 14.337575868322114]"
126, ,Žižkova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.2704759031253, 14.323042337435611]"
417, ,Pražská,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26963781475491, 14.332309940282228]"
423, ,Pražská,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26925065210362, 14.332511620124022]"
458, ,Fr. Novotného,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26770859385928, 14.33066357046598]"
356, ,B. Němcové,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.271174499347104, 14.329972252349734]"
106, ,Havlíčkova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27054454438076, 14.328156711097234]"
631, ,Pod Horami,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.265944032060546, 14.332294779842156]"
485, ,Jos. Dvořáka,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26765985329502, 14.327542853844356]"
3, , ,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27103888073911, 14.339300281126201]"
718, ,U Letního kina,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.2706782748608, 14.338157119645436]"
609, ,B. Němcové,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27219999034661, 14.329157933125241]"
273, ,nám. A. Dvořáka,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27202306575431, 14.325203162770068]"
778, ,Lomená,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26791434774398, 14.33705259979366]"
608, ,Palackého,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.266475440329, 14.334430608380774]"
452, ,Žižkova,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.26732151328015, 14.323926216150195]"
700, ,Fr. Šafaříka,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.272269395562006, 14.327383993055044]"
936, ,Kaštanová,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27651947138834, 14.345371927141313]"
888, ,U Střelnice,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27355706406975, 14.344823077035317]"
889, ,U Střelnice,27746,Veltrusy,Veltrusy,Veltrusy,779873,"[50.27340125518903, 14.344601851659899]"
