cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
63, , ,Veřovice,Veřovice,419067804,"[49.53589477103414, 18.120857891410783]"
64, , ,Veřovice,Veřovice,419344804,"[49.534855705744555, 18.121276533154884]"
67, , ,Veřovice,Veřovice,419333804,"[49.53487543030512, 18.121007721434363]"
68, , ,Veřovice,Veřovice,419417804,"[49.53441090865024, 18.12032296710643]"
21, , ,Veřovice,Veřovice,418972804,"[49.531777162483834, 18.113255277143857]"
280, , ,Veřovice,Veřovice,419421804,"[49.539110114443446, 18.118568436469467]"
674, , ,Veřovice,Veřovice,39618105010,"[49.53246182191263, 18.11216092452993]"
692, , ,Veřovice,Veřovice,61133520010,"[49.53517256895946, 18.11109216125552]"
347, , ,Veřovice,Veřovice,419221804,"[49.540926959745164, 18.095471798064306]"
39, , ,Veřovice,Veřovice,419068804,"[49.53822078549277, 18.111463636807915]"
37, , ,Veřovice,Veřovice,419144804,"[49.537598872298, 18.098520246456424]"
495, , ,Veřovice,Veřovice,419246804,"[49.53890973411808, 18.115890841115952]"
45, , ,Veřovice,Veřovice,418953804,"[49.53824640366422, 18.103008099928218]"
693, , ,Veřovice,Veřovice,729298804,"[49.53637575818685, 18.11327575961933]"
690, , ,Veřovice,Veřovice,61090499010,"[49.53824354262902, 18.133088764706628]"
689, , ,Veřovice,Veřovice,61037482010,"[49.5351571268208, 18.114299982659784]"
691, , ,Veřovice,Veřovice,61125685010,"[49.53536879444443, 18.120982235404902]"
685, , ,Veřovice,Veřovice,60617429010,"[49.536996549181616, 18.111693828267583]"
582, , ,Veřovice,Veřovice,418853804,"[49.53195154917124, 18.134723544959165]"
684, , ,Veřovice,Veřovice,60098315010,"[49.53532324951293, 18.113657969587724]"
688, , ,Veřovice,Veřovice,418731804,"[49.53808773381265, 18.098639395470908]"
686, , ,Veřovice,Veřovice,60288206010,"[49.535500334954335, 18.116679425494635]"
132, , ,Veřovice,Veřovice,418803804,"[49.537872992321965, 18.12776355810992]"
504, , ,Veřovice,Veřovice,419230804,"[49.538909757677935, 18.115598176259372]"
673, , ,Veřovice,Veřovice,44953162010,"[49.53595025919704, 18.130602815411606]"
672, , ,Veřovice,Veřovice,16413802010,"[49.537534333188184, 18.11932102272371]"
671, , ,Veřovice,Veřovice,43081152010,"[49.53975142964927, 18.127149299870062]"
668, , ,Veřovice,Veřovice,34856951010,"[49.53786054320545, 18.129124471172368]"
669, , ,Veřovice,Veřovice,34553943010,"[49.540448096294114, 18.09505544812719]"
666, , ,Veřovice,Veřovice,29530164010,"[49.53517456766924, 18.11704649360262]"
663, , ,Veřovice,Veřovice,26921322010,"[49.5349431347275, 18.11410980004971]"
664, , ,Veřovice,Veřovice,28828352010,"[49.53865255517896, 18.121194879464838]"
670, , ,Veřovice,Veřovice,26858444010,"[49.53986521940361, 18.115732469501413]"
55, , ,Veřovice,Veřovice,26877471010,"[49.53880187887917, 18.11229778604482]"
659, , ,Veřovice,Veřovice,26163786010,"[49.53200917223336, 18.131925117382142]"
660, , ,Veřovice,Veřovice,25632872010,"[49.5361337296014, 18.112991728992906]"
83, , ,Veřovice,Veřovice,419447804,"[49.52069387648222, 18.14020353282221]"
653, , ,Veřovice,Veřovice,813721804,"[49.5350335487822, 18.113639885655836]"
82, , ,Veřovice,Veřovice,419442804,"[49.52061876013841, 18.140310705109584]"
658, , ,Veřovice,Veřovice,24333496010,"[49.53554401238273, 18.119714903555522]"
77, , ,Veřovice,Veřovice,21858291010,"[49.534098531520655, 18.134527881402136]"
243, , ,Veřovice,Veřovice,419058804,"[49.53230899584096, 18.131801457277255]"
656, , ,Veřovice,Veřovice,24176937010,"[49.53528096162575, 18.11323194156886]"
183, , ,Veřovice,Veřovice,418677804,"[49.53842434669581, 18.105871497879953]"
194, , ,Veřovice,Veřovice,418736804,"[49.537599110360105, 18.1237644577519]"
149, , ,Veřovice,Veřovice,0,"[49.53530174241252, 18.127153741772805]"
606, , ,Veřovice,Veřovice,15093845010,"[49.533413445295714, 18.128226935748376]"
428, , ,Veřovice,Veřovice,419094804,"[49.538228937304105, 18.109074237287018]"
28, , ,Veřovice,Veřovice,419090804,"[49.54079849517111, 18.095812424896497]"
607, , ,Veřovice,Veřovice,418822804,"[49.5387867331199, 18.107625550509155]"
181, , ,Veřovice,Veřovice,418725804,"[49.53773700489985, 18.123177168056873]"
289, , ,Veřovice,Veřovice,419281804,"[49.537012066194514, 18.13291440505919]"
30, , ,Veřovice,Veřovice,419436804,"[49.53961649124001, 18.09676342380846]"
330, , ,Veřovice,Veřovice,418784804,"[49.53821308137829, 18.12992293951006]"
89, , ,Veřovice,Veřovice,418786804,"[49.53443472600316, 18.132513187348884]"
414, , ,Veřovice,Veřovice,418996804,"[49.54030065692452, 18.111359796504594]"
186, , ,Veřovice,Veřovice,419079804,"[49.539440035603164, 18.099977612118067]"
79, , ,Veřovice,Veřovice,418915804,"[49.53587323167885, 18.12672984712056]"
98, , ,Veřovice,Veřovice,419283804,"[49.5365131641458, 18.13081810341136]"
170, , ,Veřovice,Veřovice,419168804,"[49.53531381097137, 18.12846966843666]"
259, , ,Veřovice,Veřovice,419277804,"[49.5356697341334, 18.128380012535647]"
557, , ,Veřovice,Veřovice,419070804,"[49.53875561172907, 18.097962101311644]"
386, , ,Veřovice,Veřovice,418675804,"[49.53253200889837, 18.132229017571742]"
157, , ,Veřovice,Veřovice,419165804,"[49.53866599177075, 18.104104971741837]"
26, , ,Veřovice,Veřovice,418773804,"[49.539759830976166, 18.098158797015657]"
362, , ,Veřovice,Veřovice,418919804,"[49.53802467947439, 18.1301009359283]"
487, , ,Veřovice,Veřovice,418687804,"[49.53881168549084, 18.108690185817743]"
206, , ,Veřovice,Veřovice,419262804,"[49.538480893548254, 18.107486657169115]"
385, , ,Veřovice,Veřovice,419454804,"[49.52027869995852, 18.140204005605746]"
390, , ,Veřovice,Veřovice,419141804,"[49.535526234845356, 18.113101669092398]"
349, , ,Veřovice,Veřovice,419458804,"[49.538247698243545, 18.13052853812816]"
165, , ,Veřovice,Veřovice,418983804,"[49.53852463199046, 18.110767976444034]"
470, , ,Veřovice,Veřovice,418807804,"[49.53504368374319, 18.122958545870492]"
331, , ,Veřovice,Veřovice,418870804,"[49.53956856884077, 18.10237367728287]"
150, , ,Veřovice,Veřovice,419386804,"[49.53895049347739, 18.104343829483348]"
110, , ,Veřovice,Veřovice,418967804,"[49.53673311146381, 18.126613732875132]"
424, , ,Veřovice,Veřovice,418971804,"[49.5401096782162, 18.10157905377309]"
305, , ,Veřovice,Veřovice,419183804,"[49.53930171926983, 18.115822562537247]"
274, , ,Veřovice,Veřovice,419217804,"[49.53528213245694, 18.11214998131179]"
381, , ,Veřovice,Veřovice,419440804,"[49.52045062018226, 18.13973717641555]"
162, , ,Veřovice,Veřovice,418830804,"[49.538419901417136, 18.105164717124573]"
200, , ,Veřovice,Veřovice,419014804,"[49.53930760727053, 18.118762271239326]"
267, , ,Veřovice,Veřovice,419020804,"[49.53792182421229, 18.127354742244766]"
492, , ,Veřovice,Veřovice,419135804,"[49.53433269999753, 18.131833518530673]"
228, , ,Veřovice,Veřovice,418789804,"[49.52977187828125, 18.134473465709277]"
433, , ,Veřovice,Veřovice,419202804,"[49.54105937250202, 18.09988288184333]"
213, , ,Veřovice,Veřovice,419216804,"[49.5372751577641, 18.12204677813424]"
299, , ,Veřovice,Veřovice,418730804,"[49.53477256385244, 18.128001848631897]"
242, , ,Veřovice,Veřovice,418735804,"[49.5388939270964, 18.101313869646777]"
437, , ,Veřovice,Veřovice,419414804,"[49.538066438191805, 18.129568249194016]"
478, , ,Veřovice,Veřovice,419228804,"[49.53845780278197, 18.125520890919407]"
237, , ,Veřovice,Veřovice,419176804,"[49.53859115942502, 18.109094543483124]"
248, , ,Veřovice,Veřovice,419178804,"[49.53699284059114, 18.131946140289763]"
197, , ,Veřovice,Veřovice,419483804,"[49.53974579096797, 18.112072945445835]"
219, , ,Veřovice,Veřovice,418964804,"[49.53872720469101, 18.123445610280513]"
402, , ,Veřovice,Veřovice,419065804,"[49.53772449606183, 18.126271810135094]"
99, , ,Veřovice,Veřovice,418674804,"[49.53713912426443, 18.1316628824945]"
510, , ,Veřovice,Veřovice,418760804,"[49.54040498768807, 18.098390327213043]"
84, , ,Veřovice,Veřovice,418761804,"[49.52993262950318, 18.134285378176646]"
298, , ,Veřovice,Veřovice,419392804,"[49.52546542265953, 18.13888122234028]"
78, , ,Veřovice,Veřovice,419396804,"[49.53600080141048, 18.12643523642443]"
382, , ,Veřovice,Veřovice,419438804,"[49.5206200224807, 18.139700488658452]"
8, , ,Veřovice,Veřovice,418688804,"[49.53893807349841, 18.109477551441657]"
244, , ,Veřovice,Veřovice,418911804,"[49.53252584526017, 18.13164738630314]"
180, , ,Veřovice,Veřovice,418722804,"[49.53859806755692, 18.123712717730115]"
175, , ,Veřovice,Veřovice,418795804,"[49.53828587863965, 18.128512261604325]"
317, , ,Veřovice,Veřovice,419111804,"[49.53601259735017, 18.129956420876876]"
179, , ,Veřovice,Veřovice,419299804,"[49.538734290690854, 18.099476872604736]"
415, , ,Veřovice,Veřovice,419010804,"[49.53853914874659, 18.132153586249157]"
58, , ,Veřovice,Veřovice,419295804,"[49.53924053255983, 18.11633017003707]"
427, , ,Veřovice,Veřovice,418908804,"[49.53225458801066, 18.13416636969189]"
265, , ,Veřovice,Veřovice,418928804,"[49.539552353078115, 18.11279264850059]"
23, , ,Veřovice,Veřovice,418984804,"[49.539420804616775, 18.10027150271707]"
205, , ,Veřovice,Veřovice,419029804,"[49.53909583585838, 18.128943845270026]"
39, , ,Veřovice,Veřovice,419383804,"[49.53888313208067, 18.09955378356338]"
430, , ,Veřovice,Veřovice,418780804,"[49.53972484863475, 18.113282513404588]"
296, , ,Veřovice,Veřovice,418717804,"[49.53776292394268, 18.111966811717764]"
384, , ,Veřovice,Veřovice,419446804,"[49.520830122369084, 18.14006039531273]"
62, , ,Veřovice,Veřovice,418695804,"[49.53895347950751, 18.119198515692382]"
235, , ,Veřovice,Veřovice,419349804,"[49.53676796025332, 18.1224897930401]"
655, , ,Veřovice,Veřovice,23418677010,"[49.539984763464666, 18.10868391402447]"
657, , ,Veřovice,Veřovice,419472804,"[49.53300021550381, 18.1288929270729]"
652, , ,Veřovice,Veřovice,23247885010,"[49.53459451160983, 18.1319923558401]"
651, , ,Veřovice,Veřovice,22954139010,"[49.534252259680535, 18.135796927302653]"
649, , ,Veřovice,Veřovice,22951003010,"[49.536665494520406, 18.122434290979893]"
654, , ,Veřovice,Veřovice,21487945010,"[49.53189361111588, 18.121068137727807]"
640, , ,Veřovice,Veřovice,14823655010,"[49.53550337631211, 18.120108734045022]"
650, , ,Veřovice,Veřovice,21861311010,"[49.536807917793624, 18.112470540576695]"
648, , ,Veřovice,Veřovice,15009670010,"[49.54150298629358, 18.11580221458994]"
223, , ,Veřovice,Veřovice,0,"[49.53259714855579, 18.133842804653643]"
321, , ,Veřovice,Veřovice,419343804,"[49.53728261497499, 18.13196251885661]"
647, , ,Veřovice,Veřovice,600744804,"[49.53370884636834, 18.13197316484605]"
536, , ,Veřovice,Veřovice,419477804,"[49.537994156413326, 18.114037516807443]"
76, , ,Veřovice,Veřovice,0,"[49.53435316983634, 18.130626677269994]"
4, , ,Veřovice,Veřovice,419462804,"[49.54207683912547, 18.095829711188372]"
42, , ,Veřovice,Veřovice,418685804,"[49.538453004421726, 18.10174508774729]"
176, , ,Veřovice,Veřovice,419463804,"[49.53377013459385, 18.13351636467924]"
480, , ,Veřovice,Veřovice,418925804,"[49.53917814858737, 18.096106468931165]"
417, , ,Veřovice,Veřovice,418794804,"[49.531942174371395, 18.12688716054611]"
247, , ,Veřovice,Veřovice,419201804,"[49.53750322486507, 18.12630113731983]"
91, , ,Veřovice,Veřovice,419292804,"[49.534060747697566, 18.131726255452993]"
566, , ,Veřovice,Veřovice,682209804,"[49.53911821630639, 18.1061453454819]"
309, , ,Veřovice,Veřovice,419203804,"[49.53566550946995, 18.12892494492985]"
218, , ,Veřovice,Veřovice,418842804,"[49.53807035941268, 18.128154390497837]"
227, , ,Veřovice,Veřovice,419003804,"[49.53393545379038, 18.11299043760494]"
518, , ,Veřovice,Veřovice,418770804,"[49.53860565717153, 18.12686711230176]"
151, , ,Veřovice,Veřovice,418995804,"[49.538772851177114, 18.098942763388077]"
177, , ,Veřovice,Veřovice,419330804,"[49.53910736362554, 18.121451453318866]"
535, , ,Veřovice,Veřovice,418893804,"[49.53518418013034, 18.129602925546575]"
284, , ,Veřovice,Veřovice,419261804,"[49.53830758210845, 18.12246150433261]"
71, , ,Veřovice,Veřovice,418787804,"[49.537853560480904, 18.122754896135376]"
107, , ,Veřovice,Veřovice,419103804,"[49.5365028335282, 18.127123183229156]"
351, , ,Veřovice,Veřovice,418833804,"[49.5378573509196, 18.0979081921903]"
363, , ,Veřovice,Veřovice,418886804,"[49.53731687872961, 18.106680062233696]"
63, , ,Veřovice,Veřovice,418754804,"[49.53848857965806, 18.119751118348976]"
251, , ,Veřovice,Veřovice,418883804,"[49.539535933138886, 18.12017890855505]"
275, , ,Veřovice,Veřovice,418952804,"[49.53826159699298, 18.109322667982433]"
543, , ,Veřovice,Veřovice,419038804,"[49.53913305853618, 18.128355583881667]"
313, , ,Veřovice,Veřovice,418930804,"[49.53689665151663, 18.13122806327806]"
51, , ,Veřovice,Veřovice,418890804,"[49.53844315318512, 18.09844056377884]"
160, , ,Veřovice,Veřovice,419024804,"[49.53866728225459, 18.10079366118444]"
159, , ,Veřovice,Veřovice,419083804,"[49.53891123146442, 18.118913092608647]"
233, , ,Veřovice,Veřovice,418683804,"[49.53880777296972, 18.119614345385273]"
212, , ,Veřovice,Veřovice,419096804,"[49.54013680003876, 18.096413342686063]"
568, , ,Veřovice,Veřovice,419314804,"[49.5373507635237, 18.127663055362465]"
589, , ,Veřovice,Veřovice,419347804,"[49.53958651204985, 18.093990566549955]"
199, , ,Veřovice,Veřovice,418692804,"[49.5386973269306, 18.10993388320075]"
283, , ,Veřovice,Veřovice,419199804,"[49.53857256240255, 18.12185688868931]"
209, , ,Veřovice,Veřovice,419139804,"[49.53713397101371, 18.130776764150824]"
455, , ,Veřovice,Veřovice,418998804,"[49.53575650133606, 18.12253603321746]"
297, , ,Veřovice,Veřovice,418917804,"[49.5372855995586, 18.132517034536505]"
138, , ,Veřovice,Veřovice,419163804,"[49.53922764083943, 18.117438346855277]"
388, , ,Veřovice,Veřovice,418901804,"[49.537896159137574, 18.11899873226849]"
376, , ,Veřovice,Veřovice,419023804,"[49.53824288601816, 18.12427596977867]"
413, , ,Veřovice,Veřovice,418902804,"[49.540501015098634, 18.09608484755661]"
373, , ,Veřovice,Veřovice,418782804,"[49.5317614632739, 18.13300806293402]"
405, , ,Veřovice,Veřovice,418980804,"[49.53787689849205, 18.130443213502943]"
505, , ,Veřovice,Veřovice,419466804,"[49.537482656526755, 18.130495727595747]"
3, , ,Veřovice,Veřovice,419052804,"[49.542354720527676, 18.134534956722472]"
74, , ,Veřovice,Veřovice,418963804,"[49.53793987318336, 18.131690337777215]"
477, , ,Veřovice,Veřovice,419242804,"[49.5376632604004, 18.131943751461378]"
561, , ,Veřovice,Veřovice,419104804,"[49.537086402411994, 18.100289509381163]"
49, , ,Veřovice,Veřovice,419329804,"[49.53751573486559, 18.123350060500258]"
53, , ,Veřovice,Veřovice,418762804,"[49.53724150597053, 18.12493537536654]"
337, , ,Veřovice,Veřovice,418774804,"[49.537518489004064, 18.10662584710051]"
352, , ,Veřovice,Veřovice,419173804,"[49.53666380288234, 18.131583888355657]"
435, , ,Veřovice,Veřovice,419485804,"[49.53975455589404, 18.113696966343706]"
80, , ,Veřovice,Veřovice,419373804,"[49.5440061020896, 18.09778162754126]"
131, , ,Veřovice,Veřovice,419352804,"[49.53604674173962, 18.1276772634274]"
11, , ,Veřovice,Veřovice,419384804,"[49.53842996088561, 18.10834712822563]"
36, , ,Veřovice,Veřovice,418703804,"[49.539056137602884, 18.09879088637519]"
316, , ,Veřovice,Veřovice,419013804,"[49.53976821314023, 18.095900607980735]"
154, , ,Veřovice,Veřovice,418857804,"[49.53929970770782, 18.119418848504512]"
368, , ,Veřovice,Veřovice,418678804,"[49.538410497652876, 18.12382308147433]"
412, , ,Veřovice,Veřovice,418881804,"[49.536357743504794, 18.126631689741576]"
440, , ,Veřovice,Veřovice,419196804,"[49.540551033860346, 18.09707177994431]"
467, , ,Veřovice,Veřovice,419257804,"[49.537948790389876, 18.124636923505214]"
130, , ,Veřovice,Veřovice,419161804,"[49.53787092919172, 18.131388960331144]"
340, , ,Veřovice,Veřovice,418946804,"[49.5385439680427, 18.132653359906843]"
195, , ,Veřovice,Veřovice,419059804,"[49.53461531687591, 18.128631502180337]"
512, , ,Veřovice,Veřovice,418781804,"[49.53890318057182, 18.108987105007426]"
