cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
68, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.51127098233355, 15.569507699628721]"
66, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.512408418483545, 15.565853051863197]"
54, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.510424407302594, 15.575506622979763]"
55, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.510064196822135, 15.576115158369769]"
65, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.51121900926312, 15.57105147155024]"
50, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.51136261156802, 15.573761880813981]"
56, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.510151461917985, 15.57653872512375]"
58, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.514361246667235, 15.560110415288207]"
57, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.50990831944712, 15.577721333581932]"
62, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.51003070365244, 15.574403164012958]"
52, , ,50782,Vidochov,Stupná,Stupná,781720,"[50.49465728466378, 15.584817715421604]"
59, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.5088085401683, 15.578485404750513]"
60, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.507262164275446, 15.578979772387548]"
61, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.50986920829042, 15.574888497372704]"
63, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.511042946414236, 15.571582223685152]"
122, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.51360641634763, 15.567399092509941]"
53, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.509119129384956, 15.578170416562413]"
67, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.511575268089366, 15.57015959000498]"
36, , ,50901,Vidochov,Vidochov,Vidochov,781738,"[50.51242875657881, 15.567510857573499]"
