cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
56, , ,Vidonín,Vidonín,52967744,"[49.376904621508686, 16.221408069193856]"
20, , ,Vidonín,Vidonín,52876744,"[49.37623008558087, 16.22122019301999]"
75, , ,Vidonín,Vidonín,52968744,"[49.37697020439365, 16.221438269794223]"
76, , ,Vidonín,Vidonín,52955744,"[49.38093304315643, 16.221180292698335]"
72, , ,Vidonín,Vidonín,52858744,"[49.378277636102354, 16.22186284528886]"
70, , ,Vidonín,Vidonín,52856744,"[49.37825707934278, 16.22207431935568]"
71, , ,Vidonín,Vidonín,52857744,"[49.37826786389712, 16.221975424767596]"
73, , ,Vidonín,Vidonín,52859744,"[49.37828842047584, 16.221763950613255]"
25, , ,Vidonín,Vidonín,52926744,"[49.37976561832397, 16.222159089456042]"
79, , ,Vidonín,Vidonín,260098746,"[49.380142430706705, 16.222481815527754]"
5, , ,Vidonín,Vidonín,52865744,"[49.37942576502842, 16.227568306492447]"
64, , ,Vidonín,Vidonín,52930744,"[49.37746412926554, 16.222243086301965]"
53, , ,Vidonín,Vidonín,52877744,"[49.37644924341554, 16.220865048213813]"
1, , ,Vidonín,Vidonín,52896744,"[49.38020469800897, 16.221290190579012]"
61, , ,Vidonín,Vidonín,52881744,"[49.37635523141151, 16.221490368523444]"
43, , ,Vidonín,Vidonín,52883744,"[49.37791408083174, 16.222361696725688]"
9, , ,Vidonín,Vidonín,52902744,"[49.379474709845134, 16.22330373736373]"
69, , ,Vidonín,Vidonín,52943744,"[49.378927902287614, 16.221952657185632]"
55, , ,Vidonín,Vidonín,52918744,"[49.3762737297383, 16.21970008313859]"
48, , ,Vidonín,Vidonín,52916744,"[49.37586479884925, 16.219707851684326]"
32, , ,Vidonín,Vidonín,52889744,"[49.38421547881581, 16.22484634778718]"
14, , ,Vidonín,Vidonín,52878744,"[49.37986276183257, 16.220752674339185]"
42, , ,Vidonín,Vidonín,52867744,"[49.37625120802209, 16.22008430907424]"
46, , ,Vidonín,Vidonín,52862744,"[49.3759586919169, 16.219555591184506]"
50, , ,Vidonín,Vidonín,52933744,"[49.37626572056464, 16.220570353930594]"
10, , ,Vidonín,Vidonín,52923744,"[49.37913663222736, 16.22266408687077]"
40, , ,Vidonín,Vidonín,52869744,"[49.37740481732599, 16.221685938793836]"
54, , ,Vidonín,Vidonín,52888744,"[49.37550435910052, 16.218888647057376]"
60, , ,Vidonín,Vidonín,52920744,"[49.37695785999337, 16.222051920234524]"
16, , ,Vidonín,Vidonín,52863744,"[49.37929216754768, 16.221952795529017]"
15, , ,Vidonín,Vidonín,52942744,"[49.37976920415556, 16.22112236407242]"
31, , ,Vidonín,Vidonín,52884744,"[49.3797636188893, 16.222362082709147]"
19, , ,Vidonín,Vidonín,52904744,"[49.37775424917741, 16.221821985496412]"
35, , ,Vidonín,Vidonín,52873744,"[49.380059865489706, 16.22104503394793]"
22, , ,Vidonín,Vidonín,52906744,"[49.37956901449856, 16.225252145235]"
11, , ,Vidonín,Vidonín,52969744,"[49.37888726874996, 16.2222438510664]"
66, , ,Vidonín,Vidonín,52932744,"[49.377359812328734, 16.222194517817343]"
29, , ,Vidonín,Vidonín,52909744,"[49.38002240282102, 16.22084445175871]"
13, , ,Vidonín,Vidonín,52880744,"[49.37946182906179, 16.22089668492625]"
23, , ,Vidonín,Vidonín,52891744,"[49.379050011110245, 16.22201297054691]"
