cis_d,cis_o,naz_ul_a,naz_obec,naz_cast,cuzkbud_id,lat_lon
321, , ,Vladislav,Vladislav,62331600010,"[49.20991665336713, 15.994245407415297]"
4, , ,Vladislav,Vladislav,303549710,"[49.213875023894886, 15.99115018667536]"
69, , ,Vladislav,Vladislav,303665710,"[49.21074240696982, 15.993265801844807]"
8, , ,Vladislav,Hostákov,303733710,"[49.232054472883085, 15.975960949032496]"
32, , ,Vladislav,Střížov,29700303010,"[49.19818971351237, 15.979342753438422]"
82, , ,Vladislav,Hostákov,14411968010,"[49.232857306489166, 15.968914119787012]"
2, , ,Vladislav,Hostákov,303705710,"[49.232562481087086, 15.97246987789688]"
3, , ,Vladislav,Vladislav,303438710,"[49.21054575091328, 15.989088635577668]"
254, , ,Vladislav,Vladislav,303557710,"[49.21220941004221, 15.996895072193897]"
255, , ,Vladislav,Vladislav,303557710,"[49.21208166908382, 15.996977032124967]"
311, , ,Vladislav,Vladislav,26724335010,"[49.2131923598665, 15.994947455271477]"
309, , ,Vladislav,Vladislav,26484406010,"[49.21291855490228, 15.994443320878169]"
308, , ,Vladislav,Vladislav,25517936010,"[49.21287305248906, 15.994202661612848]"
307, , ,Vladislav,Vladislav,15901995010,"[49.213563473598384, 15.992808691483983]"
304, , ,Vladislav,Vladislav,16066921010,"[49.213185681082344, 15.994147141474636]"
81, , ,Vladislav,Hostákov,24748532010,"[49.23282866979266, 15.969436277032704]"
306, , ,Vladislav,Vladislav,24568858010,"[49.21309239907819, 15.993873509741192]"
155, , ,Vladislav,Vladislav,303365710,"[49.21336411717671, 15.990550135353812]"
50, , ,Vladislav,Vladislav,303690710,"[49.2098445970773, 15.990816121734333]"
305, , ,Vladislav,Vladislav,23910243010,"[49.21397090230481, 15.994353169553458]"
162, , ,Vladislav,Vladislav,303445710,"[49.21149463352553, 15.991559377380094]"
247, , ,Vladislav,Vladislav,303589710,"[49.20857206050585, 15.988375349731763]"
303, , ,Vladislav,Vladislav,23061352010,"[49.21378433863511, 15.993805897653596]"
19, , ,Vladislav,Hostákov,303762710,"[49.23182381268287, 15.972518490722285]"
79, , ,Vladislav,Hostákov,23794105010,"[49.23205307037876, 15.972201164614104]"
302, , ,Vladislav,Vladislav,22667346010,"[49.212643021770106, 15.989641830537108]"
301, , ,Vladislav,Vladislav,16460664010,"[49.2134029973998, 15.994979145985212]"
298, , ,Vladislav,Vladislav,15123828010,"[49.21368900444951, 15.994099211431902]"
299, , ,Vladislav,Vladislav,16245194010,"[49.21359473128328, 15.995000374738426]"
