cis_d,cis_o,naz_ul_a,psc,naz_obec,naz_cast,naz_cast_d,kod_ku_a,lat_lon
56, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73103379942669, 15.172571196165975]"
175, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72773979342157, 15.162372149426764]"
15, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73200607386764, 15.174580081423793]"
25, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73296520601223, 15.172528956807206]"
152, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.729742349463024, 15.164117617384742]"
11, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73167777890012, 15.175599027084276]"
76, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.732477491171146, 15.173688494975918]"
343, , ,28522,Vlastějovice,Březina,Březina,783331,"[49.72780207392044, 15.160755435726648]"
2, , ,28522,Vlastějovice,Milošovice,Milošovice,783366,"[49.715172518434215, 15.151784608692063]"
147, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72937874435619, 15.164105253254665]"
3, , ,28522,Vlastějovice,Kounice,Kounice,783358,"[49.71875066420239, 15.170728245070922]"
174, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72792196120228, 15.162601987952899]"
41, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73360545591162, 15.17313295794386]"
77, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.731800979924564, 15.172755166683181]"
67, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73078885380395, 15.17195524558593]"
36, , ,28522,Vlastějovice,Kounice,Kounice,783358,"[49.720163240078406, 15.194998076327101]"
14, , ,28522,Vlastějovice,Milošovice,Milošovice,783366,"[49.71607938225688, 15.15812777307224]"
281, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72992854679792, 15.163834864889036]"
119, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.729456293455044, 15.17403941355283]"
48, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.74138249332437, 15.17871714894682]"
67, , ,28522,Vlastějovice,Budčice,Budčice,783382,"[49.71950388850982, 15.182167520464231]"
71, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73009486568914, 15.170659169654357]"
50, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73113497872459, 15.174472441779331]"
190, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73189178443979, 15.16917661466945]"
68, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.7309867291658, 15.17170392654686]"
177, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72760277067463, 15.16246902918797]"
7, , ,28522,Vlastějovice,Milošovice,Milošovice,783366,"[49.71567384517827, 15.15796475688763]"
63, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.7301721579429, 15.171814283378941]"
49, , ,28522,Vlastějovice,Kounice,Kounice,783358,"[49.716473298519126, 15.197077493313582]"
65, , ,28522,Vlastějovice,Budčice,Budčice,783382,"[49.720105410578185, 15.182426900593542]"
123, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72989291249581, 15.165500372827177]"
180, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73175038431309, 15.169330280754096]"
66, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72963071741305, 15.170925223891254]"
8, , ,28522,Vlastějovice,Milošovice,Milošovice,783366,"[49.71531771906321, 15.159686156107263]"
124, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72974660838452, 15.16537533114301]"
29, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73177661612404, 15.172116677921188]"
122, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73000030575416, 15.165702989556141]"
89, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.730557222651335, 15.171153772357883]"
66, , ,28522,Vlastějovice,Budčice,Budčice,783382,"[49.71993009430649, 15.18227957139402]"
110, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73345995312021, 15.174053648487416]"
34, , ,28522,Vlastějovice,Kounice,Kounice,783358,"[49.71985172099386, 15.194737606445289]"
31, , ,28522,Vlastějovice,Kounice,Kounice,783358,"[49.71949253947604, 15.189831040679994]"
167, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.7304130576909, 15.16576163389828]"
135, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.729818229973446, 15.177962989947087]"
161, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72967691310333, 15.163655039096849]"
144, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72980077827735, 15.164385800205764]"
1, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.734296047112245, 15.17183644361584]"
160, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72830659160985, 15.163197511879186]"
159, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72844625392859, 15.163351817778839]"
57, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73248572516672, 15.179539352895977]"
93, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.730997436810796, 15.174083448952699]"
30, , ,28522,Vlastějovice,Kounice,Kounice,783358,"[49.7194666017757, 15.189626423468875]"
145, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72962334512191, 15.16432282193254]"
158, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72860698632166, 15.16343206075804]"
26, , ,28522,Vlastějovice,Budčice,Budčice,783382,"[49.722880812668194, 15.18357374015407]"
153, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72963058424914, 15.163971800449838]"
6, , ,28522,Vlastějovice,Volavá Lhota,Volavá Lhota,783391,"[49.73396354637116, 15.206187574692368]"
98, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.729232288548346, 15.17269906778522]"
113, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.731463207757706, 15.178612816625453]"
146, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72949715381657, 15.164221794782447]"
95, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72996511640216, 15.17059728129742]"
70, , ,28522,Vlastějovice,Budčice,Budčice,783382,"[49.7199346089432, 15.180796731607131]"
35, , ,28522,Vlastějovice,Kounice,Kounice,783358,"[49.720064666374114, 15.194681873395748]"
142, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.7298723149245, 15.16448359734367]"
48, , ,28522,Vlastějovice,Kounice,Kounice,783358,"[49.716452355753646, 15.197263329472422]"
270, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73010996156558, 15.163849512712048]"
97, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72967730944583, 15.173464594841102]"
74, , ,28522,Vlastějovice,Budčice,Budčice,783382,"[49.72010912082474, 15.181153925120766]"
72, , ,28522,Vlastějovice,Budčice,Budčice,783382,"[49.72028167373149, 15.180938292831275]"
12, , ,28522,Vlastějovice,Volavá Lhota,Volavá Lhota,783391,"[49.734514276820484, 15.207106277360706]"
292, , ,28522,Vlastějovice,Kounice,Kounice,783358,"[49.720025738222546, 15.191282610972973]"
1311, , ,28522,Vlastějovice,Budčice,Budčice,783382,"[49.7208935117098, 15.18380825602238]"
148, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72923243872488, 15.163980217080857]"
277, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73091189730605, 15.178934377439791]"
282, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.7316267269499, 15.168711317943403]"
133, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.72962442779021, 15.16499383491335]"
13, , ,28523,Vlastějovice,Vlastějovice,Vlastějovice,783382,"[49.73220983734184, 15.175318823113098]"
